N	2gram	Tiupa_Lite_1	OGranits
1	и в	8	13
2	и его	4	12
3	прежде всего	11	9
4	может быть	13	8
5	не может	5	8
6	и не	12	8
7	и т.п	4	7
8	в его	7	7
9	точки зрения	6	7
10	эстетический объект	3	7
11	только в	8	6
12	как бы	7	6
13	не только	24	6
14	то что	10	6
15	таким образом	3	6
16	художественного произведения	1	5
17	в материале	1	5
18	и т.д	1	5
19	все же	4	5
20	в поэзии	1	5
21	с точки	2	5
22	хотя бы	2	5
23	эстетического объекта	6	5
24	мы не	1	4
25	произведения как	1	4
26	тех пор	1	4
27	еще и	3	4
28	но в	3	4
29	до тех	1	4
30	мы можем	1	4
31	то же	5	4
32	лишь в	4	4
33	в сознании	2	4
34	в своей	4	4
35	было бы	2	4
36	не является	2	4
37	в каждом	1	4
38	и то	2	3
39	в ее	1	3
40	самом деле	2	3
41	в пределах	3	3
42	так и	4	3
43	говорить о	1	3
44	в их	3	3
45	пор пока	1	3
46	по отношению	3	3
47	в поэтике	1	3
48	за пределы	2	3
49	общего с	2	3
50	в которой	1	3
51	в себе	7	3
52	языка как	1	3
53	к одному	1	3
54	не как	4	3
55	в одном	1	3
56	так как	1	3
57	материала и	1	3
58	но и	17	3
59	как и	6	3
60	и уже	1	3
61	со всей	1	3
62	что же	1	3
63	не в	8	3
64	да и	3	3
65	но для	1	3
66	никогда не	4	3
67	и все	1	3
68	превращается в	2	3
69	отношению к	2	3
70	не столько	5	3
71	что в	3	3
72	в искусстве	2	3
73	ничего общего	1	3
74	для себя	5	2
75	и др	3	2
76	данном случае	4	2
77	художественных произведений	1	2
78	зависимости от	1	2
79	в произведении	1	2
80	роль в	2	2
81	на две	1	2
82	и этот	1	2
83	есть не	1	2
84	мог бы	1	2
85	человеческой речи	1	2
86	не исчерпывается	1	2
87	если бы	1	2
88	к предмету	1	2
89	с самого	1	2
90	а также	5	2
91	в чем	1	2
92	между тем	2	2
93	в общем	1	2
94	нуждается в	3	2
95	во всей	1	2
96	что они	1	2
97	вслед за	1	2
98	наконец в	1	2
99	его на	1	2
100	как в	5	2
101	в данном	5	2
102	в этом	12	2
103	автора героя	1	2
104	в том	16	2
105	тот же	1	2
106	в действительности	1	2
107	в целом	8	2
108	и тем	4	2
109	все эти	2	2
110	с одной	2	2
111	уже в	5	2
112	мы получим	1	2
113	кажется что	1	2
114	в нем	2	2
115	при этом	19	2
116	для него	2	2
117	в другом	2	2
118	вовсе не	1	2
119	в зависимости	1	2
120	общения и	1	2
121	тем что	2	2
122	в них	1	2
123	объект и	2	2
124	в области	3	2
125	с другой	3	2
126	а как	2	2
127	в самом	3	2
128	может стать	1	2
129	одной стороны	2	2
130	соответствии с	1	2
131	более того	1	2
132	не на	2	2
133	а не	16	2
134	другой стороны	1	2
135	между собою	1	2
136	не мог	3	2
137	несмотря на	3	2
138	в связи	4	2
139	том что	14	2
140	в г	1	2
141	от своего	2	2
142	в отношении	1	2
143	своего рода	11	2
144	литературного произведения	4	2
145	с этой	5	2
146	художественное произведение	2	2
147	не менее	7	2
148	самого начала	1	2
149	не имеет	1	2
150	замкнутого круга	2	2
151	сознания и	1	2
152	пути к	1	2
153	собственно говоря	1	2
154	от всех	1	2
155	и является	2	2
156	а в	3	2
157	еще в	4	2
158	нет ничего	2	2
159	героя и	1	2
160	в словесном	1	2
161	имеет место	1	2
162	могут быть	2	2
163	в своих	4	2
164	к тому	2	2
165	одним из	5	1
166	также и	3	1
167	же как	1	1
168	человека и	2	1
169	в виду	3	1
170	того же	2	1
171	должно звучать	1	1
172	в некоторых	1	1
173	своем составе	2	1
174	как известно	1	1
175	на основе	1	1
176	только потому	1	1
177	последнее время	1	1
178	и есть	3	1
179	в себя	2	1
180	ту же	2	1
181	сознания с	1	1
182	можно лишь	1	1
183	на том	2	1
184	едва ли	1	1
185	для которой	1	1
186	можно было	2	1
187	в борьбе	1	1
188	возникающее в	1	1
189	мы имеем	1	1
190	к тем	1	1
191	и о	1	1
192	мы в	2	1
193	комплексов в	1	1
194	говоря и	1	1
195	вопрос о	1	1
196	быть может	1	1
197	для этого	4	1
198	выходит за	1	1
199	в решении	2	1
200	но может	1	1
201	как то	1	1
202	подхода к	1	1
203	на себя	2	1
204	с ее	1	1
205	и который	1	1
206	сводится к	3	1
207	из того	2	1
208	но даже	1	1
209	ему в	1	1
210	то это	2	1
211	другом месте	1	1
212	в мире	2	1
213	и он	1	1
214	рассчитана на	2	1
215	и что	1	1
216	произведение и	1	1
217	еще не	4	1
218	хх веке	5	1
219	нам представляется	1	1
220	столь же	4	1
221	в различных	1	1
222	тем как	1	1
223	в конечном	5	1
224	появляется и	1	1
225	к нему	1	1
226	воздействия на	2	1
227	на самом	1	1
228	но не	4	1
229	то он	2	1
230	сознания не	1	1
231	предстает не	1	1
232	борьба с	1	1
233	может и	1	1
234	отношение к	1	1
235	художественного впечатления	2	1
236	тут же	1	1
237	всего является	1	1
238	средств и	1	1
239	на то	1	1
240	один и	1	1
241	в художественной	1	1
242	и эстетического	1	1
243	событии художественного	1	1
244	в одной	1	1
245	в своем	11	1
246	по своей	3	1
247	один из	3	1
248	и как	1	1
249	одной из	1	1
250	что он	5	1
251	или иную	2	1
252	поэтику и	1	1
253	который в	1	1
254	в значительной	1	1
255	художественного события	1	1
256	чуть ли	2	1
257	в литературоведении	1	1
258	иной характер	1	1
259	по которым	1	1
260	со всеми	1	1
261	так в	1	1
262	в этой	4	1
263	в последнее	1	1
264	для всех	1	1
265	что к	1	1
266	с их	3	1
267	в дальнейшем	1	1
268	иннокентия анненского	1	1
269	не можем	1	1
270	мы чувствуем	1	1
271	и у	1	1
272	только на	2	1
273	себя и	1	1
274	вследствие этого	1	1
275	в нашей	2	1
276	и если	1	1
277	века к	1	1
278	в статье	1	1
279	и других	1	1
280	на эту	1	1
281	конечном счете	4	1
282	ту или	2	1
283	всем своем	1	1
284	одно из	3	1
285	в понимании	1	1
286	никто не	1	1
287	состоит в	11	1
288	в виде	1	1
289	в конце	4	1
290	только с	1	1
291	подобно тому	2	1
292	отличие от	5	1
293	на этом	2	1
294	или иных	1	1
295	не должно	1	1
296	и всякое	1	1
297	позволить себе	1	1
298	на всю	1	1
299	вторжение в	1	1
300	в особенности	1	1
301	к другому	1	1
302	были для	1	1
303	бы быть	1	1
304	в лирике	3	1
305	и здесь	1	1
306	его в	3	1
307	как к	1	1
308	и лучше	1	1
309	искусства в	1	1
310	и сложнее	1	1
311	если говорить	1	1
312	которая как	1	1
313	и говорил	1	1
314	то само	1	1
315	мира это	1	1
316	и находит	1	1
317	в хх	6	1
318	само собою	1	1
319	для них	2	1
320	произведение как	1	1
321	не было	3	1
322	а на	1	1
323	ряда произведений	1	1
324	далеко не	3	1
325	из наиболее	2	1
326	не всегда	1	1
327	он и	3	1
328	уже у	1	1
329	отнюдь не	2	1
330	с миром	4	1
331	понятие о	1	1
332	должно быть	1	1
333	все произведение	1	1
334	такой же	1	1
335	автора и	1	1
336	если не	1	1
337	свободы художника	1	1
338	хх века	10	1
339	но при	2	1
340	и вполне	2	1
341	чувствуем что	1	1
342	себе в	2	1
343	эти слова	1	1
344	художественного творчества	3	1
345	и особенно	1	1
346	как все	2	1
347	наконец даже	1	1
348	как это	8	1
349	путь от	1	1
350	которого является	1	1
351	существует как	1	1
352	когда ребенок	1	1
353	или нет?	2	1
354	в отличие	5	1
355	в которых	1	1
356	быть это	3	1
357	в столь	2	1
358	он говорит	1	1
359	на три	1	1
360	художника оказывается	2	1
361	к этому	1	1
362	такого рода	10	1
363	тому как	2	1
364	и вот	1	1
365	тем не	2	1
366	в эпоху	1	1
367	и более	1	1
368	для понимания	2	1
369	своего времени	2	1
370	быть не	1	1
371	что такое	2	1
372	только то	2	1
373	существует только	1	1
374	между людьми	1	1
375	призыв к	1	1
376	в условиях	1	1
377	до конца	1	1
378	вплоть до	2	1
379	литературы как	1	1
380	в начале	1	1
381	в то	5	1
382	как о	1	1
383	одна из	3	1
384	к новым	1	1
385	тех или	1	1
386	объекта и	2	1
387	уже на	1	1
388	но такой	1	1
389	иметь в	1	1
390	при таком	1	1
391	или в	1	1
392	на одном	1	1
393	при наличии	1	1
394	же время	5	1
395	воспринимающее сознание	2	1
396	оказались бы	1	1
397	в основе	3	1
398	находит свое	1	1
399	тем более	2	1
400	от него	1	1
401	из существеннейших	1	1
402	говоря словами	3	1
403	только что	1	1
404	потому что	3	1
405	в новых	1	1
406	связи с	6	1
407	же слова	1	1
408	для осуществления	1	1
409	счете к	1	1
410	этом отношении	2	1
411	этот не	1	1
412	традиций и	1	1
413	от первого	1	1
414	не знает	1	1
415	сказать что	1	1
416	впервые в	1	1
417	все то	1	1
418	поэт не	1	1
419	понимается как	1	1
420	о литературе	1	1
421	ли не	3	1
422	с его	5	1
423	произведения и	1	1
424	всего в	3	1
