N	2gram	Berdyaev_V_1	Istorich
1	и в	16	25
2	вместе с	1	22
3	что он	4	22
4	и т	2	20
5	т д	2	18
6	может быть	1	17
7	не только	2	13
8	но и	5	13
9	в его	4	12
10	так как	9	11
11	уже не	2	11
12	и не	20	11
13	в этом	4	10
14	тем что	2	10
15	все же	1	10
16	в виде	1	9
17	с другой	1	9
18	еще не	8	8
19	и на	1	8
20	все эти	3	8
21	что в	3	8
22	на него	1	8
23	и что	3	8
24	мы видим	1	8
25	с тем	2	8
26	другой стороны	1	8
27	связь с	1	8
28	том что	2	8
29	в нем	4	7
30	как и	4	7
31	потому что	4	7
32	то что	9	7
33	только в	2	7
34	превращается в	3	7
35	но это	3	7
36	тот кто	2	7
37	как в	1	6
38	это не	2	6
39	в этих	3	6
40	не в	3	6
41	что и	3	6
42	прежде всего	2	6
43	могут быть	2	6
44	в том	3	6
45	мы не	2	5
46	в ней	4	5
47	но не	2	5
48	что это	1	5
49	но все	1	5
50	живет в	1	5
51	видим что	1	5
52	как мы	1	5
53	в образе	4	5
54	мы увидим	1	5
55	так же	1	5
56	для нас	2	5
57	и это	2	4
58	то же	1	4
59	в ее	1	4
60	от этого	3	4
61	в истории	8	4
62	его на	1	4
63	и хотя	1	4
64	в которой	1	4
65	что все	4	4
66	и тем	1	4
67	не всегда	1	4
68	того как	1	4
69	с ним	2	4
70	за ним	3	4
71	если не	3	4
72	все это	5	4
73	в которых	1	3
74	его не	2	3
75	на себя	5	3
76	то это	3	3
77	в роли	1	3
78	если в	1	3
79	о превращении	1	3
80	его к	2	3
81	в целом	1	3
82	в этой	1	3
83	их в	3	3
84	на этом	1	3
85	человека в	1	3
86	для того	1	3
87	того чтобы	2	3
88	в себя	2	3
89	на том	2	3
90	никогда не	3	3
91	и с	1	3
92	и вообще	1	3
93	после того	1	3
94	но мы	2	3
95	к нему	1	3
96	в форме	2	3
97	и все	4	3
98	всех людей	3	3
99	над ним	1	3
100	ее и	2	3
101	а в	2	3
102	они не	1	3
103	по которым	2	2
104	вопрос о	1	2
105	человека и	6	2
106	мы и	2	2
107	во всех	3	2
108	уже в	1	2
109	он делает	1	2
110	под землей	1	2
111	и по	1	2
112	о чем	1	2
113	и мы	3	2
114	это одна	1	2
115	их на	1	2
116	в своей	3	2
117	таким же	1	2
118	ее в	2	2
119	как можно	1	2
120	она не	1	2
121	одна из	2	2
122	тебя на	1	2
123	меня в	1	2
124	роль в	1	2
125	и сам	2	2
126	на нее	1	2
127	что от	2	2
128	ничего не	1	2
129	находится в	1	2
130	там он	1	2
131	от них	1	2
132	в которую	1	2
133	того что	5	2
134	ли он	1	2
135	во всем	1	2
136	богом и	1	2
137	и они	3	2
138	его и	2	2
139	превращаются в	2	2
140	вовсе не	1	2
141	у него	1	2
142	уже и	1	2
143	и вместе	1	2
144	и быть	1	2
145	говорит о	1	2
146	а не	7	2
147	с которым	1	2
148	один из	2	2
149	его по	1	2
150	что мы	4	2
151	в одно	1	2
152	что во	3	2
153	и потому	7	2
154	как бы	5	2
155	это значит	1	2
156	с этой	1	2
157	думают что	1	2
158	и для	3	2
159	к этому	1	2
160	им и	1	2
161	жизни и	3	2
162	и вновь	1	2
163	совсем как	1	1
164	дел и	1	1
165	пусть не	1	1
166	же теперь	1	1
167	за которым	1	1
168	и есть	4	1
169	не имеют	1	1
170	должна быть	3	1
171	он дал	1	1
172	и могут	1	1
173	ней мы	1	1
174	что уже	1	1
175	нас это	1	1
176	я не	1	1
177	же что	1	1
178	зависимости от	1	1
179	думаю что	1	1
180	в сердце	1	1
181	не был	1	1
182	но как	1	1
183	мы же	3	1
184	отношение к	1	1
185	себе и	1	1
186	что они	7	1
187	и я	4	1
188	себя за	1	1
189	говорит что	1	1
190	но в	3	1
191	в противоположность	1	1
192	и говорит	1	1
193	и если	1	1
194	вера в	2	1
195	одно целое	1	1
196	они в	3	1
197	есть один	1	1
198	и вот	1	1
199	и сказал	1	1
200	него в	1	1
201	единственный путь	1	1
202	ценности и	2	1
203	том свете	1	1
204	перешло в	1	1
205	мы указывали	1	1
206	в жизни	3	1
207	перестала быть	1	1
208	люди не	2	1
209	она и	1	1
210	были в	1	1
211	и уже	1	1
212	для чего	1	1
213	и тогда	2	1
214	один это	1	1
215	места в	1	1
216	в их	1	1
217	этому же	1	1
218	в своем	1	1
219	в мировом	1	1
220	чтобы освободить	1	1
221	в одном	1	1
222	в конце	3	1
223	что есть	5	1
224	и другое	1	1
225	не имеет	3	1
226	на котором	1	1
227	не по	1	1
228	это мы	2	1
229	так много	2	1
230	найти в	1	1
231	и всегда	1	1
232	мире и	1	1
233	в сознании	1	1
234	в процессе	1	1
235	тебя и	1	1
236	чтобы сделать	2	1
237	к тому	3	1
238	его с	1	1
239	они и	2	1
240	оно не	3	1
241	в виду	1	1
242	на вершине	1	1
243	людей он	3	1
244	переход к	1	1
245	но нет	1	1
246	это только	1	1
247	мы в	1	1
248	основана на	1	1
249	составные части	1	1
250	те которых	1	1
251	говорят что	1	1
252	и начало	1	1
253	нет у	4	1
254	это лишь	1	1
255	вслед за	2	1
256	снять с	1	1
257	в русском	1	1
258	но с	1	1
259	для таких	1	1
260	хотя бы	3	1
261	идет по	1	1
262	тот же	3	1
263	о небе	1	1
264	еще и	1	1
265	и так	1	1
266	и ее	1	1
267	их не	1	1
268	же и	1	1
269	утверждают что	1	1
270	что не	4	1
271	или даже	1	1
272	не так	2	1
273	искать в	1	1
274	для него	2	1
275	это самые	1	1
276	в котором	4	1
277	он великий	1	1
278	небе и	1	1
279	но люди	1	1
280	в руки	1	1
281	ее на	1	1
282	в легенде	1	1
283	что на	1	1
284	не были	1	1
285	ней и	1	1
286	животное и	1	1
287	мы это	2	1
288	есть не	1	1
289	что человек	1	1
290	их от	3	1
291	я был	1	1
292	близок к	1	1
293	а с	2	1
294	то и	1	1
295	не было	3	1
296	и самые	1	1
297	с братьями	1	1
298	стороны в	1	1
299	нет ничего	3	1
300	теперь только	2	1
301	очень важное	1	1
302	свое особое	1	1
303	как это	1	1
304	их к	1	1
305	конечно не	2	1
306	в изображении	1	1
307	легенде о	1	1
308	а потом	1	1
309	в тот	1	1
310	имел как	1	1
311	в состоянии	1	1
312	есть и	1	1
313	на пути	1	1
314	неба и	1	1
315	д и	1	1
316	и от	1	1
317	это он	1	1
318	что оно	1	1
319	мира и	1	1
320	гораздо шире	1	1
321	они бросают	1	1
322	от него	2	1
323	у них	1	1
324	бы в	1	1
325	я думаю	2	1
326	есть уже	2	1
327	освобождения и	1	1
328	к ее	1	1
329	в самом	1	1
330	в искусстве	1	1
331	и другие	1	1
332	в своих	1	1
333	во всяком	2	1
334	все что	4	1
