N	4gram	Losev_Dial_4	Analitik
1	в то же время	6	6
2	и не может быть	1	4
3	не что иное как	8	4
4	есть не что иное	5	3
5	но в то же	2	2
6	исходя из того что	1	2
7	в коем случае не	2	2
8	ни в коем случае	2	2
9	и не в том	1	1
10	в течение всего своего	1	1
11	оно и не может	1	1
12	личности выражающее и выявляющее	1	1
13	выражающее и выявляющее личность	1	1
14	нечто остающееся совершенно неизменным	1	1
15	на самом же деле	1	1
16	слово о личности слово	1	1
17	течение всего своего изменения	1	1
18	одна и та же	1	1
19	в том случае если	1	1
20	никогда другой такой же	1	1
21	совершенно неизменным в течение	1	1
22	одной и той же	3	1
23	принадлежащее личности выражающее и	1	1
24	другой такой же точно	1	1
25	и не будет никогда	1	1
26	с этой точки зрения	2	1
27	о личности слово принадлежащее	1	1
28	она есть нечто остающееся	1	1
29	остающееся совершенно неизменным в	1	1
30	коем случае не есть	2	1
31	такой же точно личности	1	1
32	неизменным в течение всего	1	1
33	абсолютно самородна оригинальна не	1	1
34	было и не будет	1	1
35	личности слово принадлежащее личности	1	1
36	не будет никогда другой	1	1
37	лишь в том случае	1	1
38	оригинальна не было и	1	1
39	не было и не	1	1
40	есть нечто остающееся совершенно	1	1
41	есть слово о личности	1	1
42	будет никогда другой такой	1	1
43	не говоря уже о	3	1
44	самородна оригинальна не было	1	1
45	слово принадлежащее личности выражающее	1	1
