N	2gram	Tiupa_Anal_3	Problemy
1	и в	18	43
2	и не	12	29
3	может быть	9	23
4	как бы	10	22
5	не может	2	18
6	в пределах	4	16
7	как и	14	14
8	но и	13	14
9	в этом	14	13
10	точки зрения	3	13
11	что он	4	13
12	в нем	2	12
13	в одном	4	12
14	слова в	1	12
15	не только	22	11
16	в каждом	3	11
17	не в	6	11
18	по себе	4	11
19	и на	4	10
20	но в	2	10
21	как мы	1	10
22	в его	7	10
23	прежде всего	5	10
24	в сущности	5	9
25	еще не	6	9
26	он не	6	9
27	никогда не	5	9
28	в большинстве	2	9
29	то же	3	8
30	лишь в	5	8
31	для него	6	8
32	с точки	2	8
33	и его	13	8
34	с самим	2	8
35	большинстве случаев	1	8
36	перед нами	4	7
37	в самом	5	7
38	к себе	1	7
39	в то	3	7
40	слова с	1	7
41	и сам	4	7
42	в другом	1	7
43	двуголосое слово	1	7
44	до сих	1	7
45	а не	9	7
46	о себе	2	7
47	сих пор	1	7
48	то что	2	7
49	так сказать	2	6
50	при этом	11	6
51	не как	2	6
52	здесь не	3	6
53	приводит к	4	6
54	в том	9	6
55	у него	1	6
56	интенций в	1	6
57	и все	2	6
58	сам по	1	5
59	самом деле	2	5
60	нам кажется	2	5
61	к другому	1	5
62	и он	2	5
63	но не	7	5
64	по отношению	7	5
65	хотя и	2	5
66	в себе	2	5
67	все эти	2	5
68	на то	1	5
69	да и	2	5
70	таким образом	4	5
71	было бы	3	5
72	рядом с	1	5
73	в слове	5	5
74	самим собою	1	5
75	о том	6	5
76	никак не	1	5
77	же время	3	5
78	так что	1	5
79	вовсе не	1	5
80	в той	2	5
81	чужой голос	1	5
82	все это	3	5
83	бы в	1	5
84	а в	10	5
85	на фоне	1	5
86	героя и	4	5
87	отношению к	7	5
88	и до	1	4
89	он ничего	1	4
90	мы не	3	4
91	слово о	1	4
92	я не	1	4
93	с его	8	4
94	во всех	2	4
95	отличие от	2	4
96	сама по	2	4
97	его собственных	1	4
98	там где	2	4
99	в своем	4	4
100	такое слово	1	4
101	в произведении	3	4
102	человека в	1	4
103	в них	2	4
104	далеко не	4	4
105	должно быть	1	4
106	в своей	1	4
107	в отличие	2	4
108	я для	1	4
109	в самой	1	4
110	или как	1	4
111	авторской интенции	1	4
112	к тому	6	4
113	в чужом	1	4
114	этот вопрос	1	4
115	только в	2	4
116	в стиле	1	4
117	ни одного	1	4
118	как раз	7	4
119	одном слове	1	4
120	с другой	7	4
121	на этот	1	4
122	то есть	10	4
123	не могут	1	4
124	другого человека	1	4
125	но это	1	4
126	слово здесь	1	4
127	в результате	5	4
128	между ними	1	4
129	совершенно не	2	4
130	себе самому	2	4
131	что в	9	4
132	мы уже	1	3
133	той же	5	3
134	что если	1	3
135	он был	1	3
136	он сам	1	3
137	мы будем	1	3
138	за пределы	1	3
139	в художественном	1	3
140	когда он	2	3
141	и к	4	3
142	тому же	3	3
143	чем у	1	3
144	самим собой	1	3
145	это не	2	3
146	эту минуту	1	3
147	в жизни	2	3
148	двуголосого слова	1	3
149	а за	1	3
150	и их	1	3
151	в их	6	3
152	в диалоге	1	3
153	даже в	2	3
154	в одно	1	3
155	этих трех	1	3
156	на два	2	3
157	на него	1	3
158	себе самом	1	3
159	ничего не	3	3
160	слова как	1	3
161	во всем	3	3
162	могут быть	2	3
163	той или	3	3
164	не менее	4	3
165	в себя	2	3
166	так и	14	3
167	не за	1	3
168	если бы	1	3
169	и даже	8	3
170	с ним	1	3
171	и здесь	2	3
172	между тем	5	3
173	что и	5	3
174	и только	1	3
175	наконец в	1	3
176	его в	3	3
177	тот же	1	3
178	и ее	2	3
179	теперь в	1	3
180	со всеми	2	3
181	себя в	4	3
182	есть в	1	3
183	уже не	5	3
184	тем что	2	3
185	к самому	1	3
186	или иной	5	3
187	о своей	2	3
188	себя и	1	3
189	он и	3	3
190	все же	4	3
191	и для	2	3
192	в эту	1	3
193	это все	1	3
194	в романе	2	3
195	не знает	1	3
196	другой стороны	5	3
197	того же	5	3
198	есть и	1	3
199	героя в	1	3
200	я и	3	2
201	а между	1	2
202	отношения к	2	2
203	человека и	1	2
204	бы развернуть	1	2
205	тем же	1	2
206	из его	1	2
207	и о	1	2
208	вопрос о	1	2
209	на себя	2	2
210	бы ни	1	2
211	от друга	1	2
212	мы и	1	2
213	как если	1	2
214	герой не	1	2
215	отношение к	1	2
216	друг от	1	2
217	к третьему	2	2
218	как в	3	2
219	с этим	3	2
220	как нам	5	2
221	и как	4	2
222	в точке	2	2
223	в первом	2	2
224	сливается с	1	2
225	та же	1	2
226	бы и	2	2
227	в целом	3	2
228	момент его	1	2
229	бы не	1	2
230	из этих	3	2
231	с их	3	2
232	мы обратимся	1	2
233	к миру	1	2
234	романе достоевского	1	2
235	и еще	1	2
236	а затем	1	2
237	об этом	2	2
238	входит в	2	2
239	ко второму	3	2
240	на почве	1	2
241	он есть	1	2
242	лишь на	3	2
243	автора и	1	2
244	слово а	1	2
245	том что	12	2
246	затем и	1	2
247	себе а	1	2
248	мысли и	1	2
249	пор совершенно	1	2
250	что было	1	2
251	а вот	2	2
252	и герой	1	2
253	дело в	2	2
254	одна из	2	2
255	на себе	1	2
256	уст в	1	2
257	и без	3	2
258	его речи	1	2
259	тем не	2	2
260	и является	1	2
261	а лишь	1	2
262	что на	1	2
263	перед ним	1	2
264	у нас	1	2
265	сюжета в	1	2
266	в категориях	1	2
267	указывает на	3	2
268	здесь мы	1	2
269	для себя	1	2
270	в конце	5	2
271	всего этого	1	2
272	особенно в	1	2
273	что у	1	2
274	он так	1	2
275	для этого	1	2
276	произведения как	2	2
277	в глаза	2	2
278	все его	1	2
279	от них	1	2
280	автор как	1	2
281	от одного	1	2
282	в форме	2	2
283	и следует	2	2
284	того что	1	2
285	этом смысле	1	2
286	одного сознания	1	2
287	в стороне	1	2
288	и так	1	2
289	уже в	3	2
290	его и	1	2
291	ведь это	1	2
292	типа или	1	2
293	мы можем	2	2
294	каждый из	1	2
295	на меня	2	2
296	в самый	1	2
297	словами самого	1	2
298	автора как	1	2
299	его мысли	1	2
300	а с	1	2
301	и др	1	2
302	что не	3	2
303	превращается в	1	2
304	он только	1	2
305	они могут	1	2
306	по своему	2	2
307	в первой	8	2
308	например в	2	2
309	этого слова	2	2
310	своей жизни	1	2
311	высказывания и	1	2
312	так ли	1	2
313	между собой	1	2
314	себе еще	1	2
315	для автора	1	2
316	здесь двуголосое	1	2
317	бы он	1	2
318	хотя бы	1	2
319	не есть	4	2
320	с теми	1	2
321	с ними	1	2
322	сказать что	2	2
323	их с	1	2
324	ее в	1	2
325	в своих	1	2
326	который не	2	2
327	за перегородкой	1	2
328	в таком	1	2
329	во всяком	2	2
330	обращено к	1	1
331	лишь после	1	1
332	таком случае	1	1
333	рассматривать в	1	1
334	две реплики	1	1
335	на самом	1	1
336	или к	1	1
337	это и	2	1
338	в чужой	1	1
339	его внутреннюю	1	1
340	и есть	1	1
341	раз во	1	1
342	видеть в	2	1
343	жизни здесь	1	1
344	уже по	2	1
345	есть не	2	1
346	в повестях	8	1
347	и само	1	1
348	при анализе	1	1
349	собой как	1	1
350	героя нашего	2	1
351	ни единого	1	1
352	он как	1	1
353	принадлежит к	4	1
354	ему в	1	1
355	бы сказать	1	1
356	целое и	1	1
357	на них	1	1
358	себя а	1	1
359	от себя	1	1
360	в сюжете	1	1
361	тем как	1	1
362	иного рода	1	1
363	то мы	1	1
364	герой приобщается	1	1
365	с одной	2	1
366	но как	3	1
367	самого сюжета	1	1
368	если в	3	1
369	с отцом	1	1
370	ведет по	1	1
371	в общем	2	1
372	человеческих отношений	1	1
373	в новом	2	1
374	уже как	1	1
375	и стилизации	1	1
376	учение о	1	1
377	диалога и	1	1
378	идет о	1	1
379	в рамках	3	1
380	каждая из	1	1
381	одном из	1	1
382	пределах одной	1	1
383	себе не	1	1
384	его кругозора	1	1
385	и отчасти	1	1
386	к чему	1	1
387	в романтической	1	1
388	отношения с	1	1
389	тон в	1	1
390	так или	1	1
391	без учета	1	1
392	в ответ	2	1
393	тут и	1	1
394	степени и	1	1
395	в этой	6	1
396	сознания с	1	1
397	ведет себя	1	1
398	не могла	2	1
399	всеми остальными	1	1
400	все они	2	1
401	что она	2	1
402	есть одна	1	1
403	свою собственную	1	1
404	принадлежат и	1	1
405	однако он	1	1
406	ни были	1	1
407	характер в	1	1
408	у пушкина	3	1
409	этом мире	1	1
410	и по	2	1
411	чтобы их	1	1
412	его можно	1	1
413	но дело	1	1
414	однако в	5	1
415	поэтому слово	1	1
416	значительной степени	2	1
417	не следует	1	1
418	слова не	1	1
419	этом он	2	1
420	в мире	5	1
421	связанных с	1	1
422	себя не	1	1
423	устная интонация	1	1
424	с другими	1	1
425	как к	2	1
426	который и	1	1
427	по природе	1	1
428	и иных	1	1
429	за ней	1	1
430	оно стремится	1	1
431	делаю что	1	1
432	д как	1	1
433	из нее	1	1
434	нет в	1	1
435	их как	1	1
436	но лишь	1	1
437	в ее	3	1
438	место и	1	1
439	не всегда	3	1
440	несмотря на	2	1
441	о чем	4	1
442	прозе в	1	1
443	мере не	1	1
444	и тогда	1	1
445	остается в	1	1
446	не мог	2	1
447	менее чем	1	1
448	в г	1	1
449	во второй	7	1
450	от своего	1	1
451	или точнее	2	1
452	свою речь	1	1
453	как все	1	1
454	не становится	1	1
455	в книге	1	1
456	еще нет	1	1
457	оно живет	1	1
458	с уверенностью	1	1
459	от его	2	1
460	оно никогда	1	1
461	общий смысл	1	1
462	остается вне	1	1
463	теми же	1	1
464	отцом и	1	1
465	по крайней	4	1
466	высказывания в	1	1
467	а от	1	1
468	но они	2	1
469	отчетливо и	1	1
470	эти две	1	1
471	автора он	1	1
472	даже отчасти	1	1
473	этой повести	1	1
474	в основе	1	1
475	отрешиться от	1	1
476	героев и	1	1
477	само по	1	1
478	трех случаев	1	1
479	того чтобы	1	1
480	действующие лица	1	1
481	не могло	1	1
482	для всего	1	1
483	только не	3	1
484	не приносит	1	1
485	роману как	1	1
486	этих двух	1	1
487	по своей	2	1
488	прибегать к	1	1
489	с новой	1	1
490	связи с	1	1
491	в метель	1	1
492	зрение и	1	1
493	вследствие этой	1	1
494	не от	2	1
495	очень часто	1	1
496	с явным	1	1
497	рассказчиком с	1	1
498	его за	2	1
499	не способен	1	1
500	служить и	1	1
501	рассказчиком в	1	1
502	индивидуально-характерный образ	1	1
503	достоевского где	1	1
504	с ее	3	1
505	повесть на	1	1
506	для читателя	1	1
507	и будем	1	1
508	голоса в	1	1
509	так в	3	1
510	и ту	2	1
511	те же	2	1
512	не с	2	1
513	здесь как	1	1
514	живет в	1	1
515	отсюда и	1	1
516	мог бы	1	1
517	и каждый	1	1
518	произведения не	1	1
519	жизнь и	3	1
520	с героем	2	1
521	является в	1	1
522	поэтому в	2	1
523	жанра в	1	1
524	будем рассматривать	1	1
525	чего она	1	1
526	один голос	1	1
527	можно сказать	4	1
528	любви к	2	1
529	в значительной	2	1
530	одного произведения	1	1
531	от него	1	1
532	на всех	1	1
533	путь через	1	1
534	не умеет	1	1
535	а у	1	1
536	как жанр	1	1
537	во втором	4	1
538	крайней мере	4	1
539	резко отличается	1	1
540	хочу и	1	1
541	художественном мире	1	1
542	человека как	1	1
543	может иметь	1	1
544	не друг	1	1
545	и мир	1	1
546	все больше	1	1
547	как объект	1	1
548	действительности не	1	1
549	является подлинным	1	1
550	один из	2	1
551	же если	1	1
552	одной из	1	1
553	вступить в	2	1
554	в устах	1	1
555	то в	2	1
556	ему и	1	1
557	еще и	3	1
558	всяком случае	2	1
559	в уста	1	1
560	в качестве	12	1
561	человека с	1	1
562	отражение в	1	1
563	с нею	2	1
564	раз в	1	1
565	вопроса о	2	1
566	со своим	1	1
567	своим собственным	1	1
568	ним не	1	1
569	чем с	1	1
570	или даже	1	1
571	глаза и	1	1
572	мы знаем	1	1
573	себя впрочем	1	1
574	как справедливо	2	1
575	я в	5	1
576	содержания а	1	1
577	при всей	1	1
578	не о	1	1
579	рассказчика слово	1	1
580	не случайно	8	1
581	подлинная жизнь	1	1
582	как носитель	1	1
583	человек как	1	1
584	повесть о	2	1
585	не говорит	1	1
586	во всей	1	1
587	как будто	1	1
588	и делает	1	1
589	мы оставляем	1	1
590	и строго	1	1
591	о которых	2	1
592	лишь для	1	1
593	не было	3	1
594	были бы	3	1
595	что могло	1	1
596	из двух	1	1
597	одной стороны	2	1
598	и т.п	5	1
599	слове рассказчика	1	1
600	или иначе	1	1
601	каждом из	1	1
602	не обязательно	1	1
603	а именно	1	1
604	за обладание	1	1
605	к которому	1	1
606	чем он	1	1
607	и между	1	1
608	он во	1	1
609	один и	1	1
610	но о	1	1
611	в местечко	1	1
612	говорит о	2	1
613	равной степени	1	1
614	которые здесь	1	1
615	от этого	1	1
