N	3gram	Bakhtin_Pr_1	Myshleni
1	с точки зрения	6	18
2	для того чтобы	2	15
3	в том что	3	15
4	с другой стороны	4	9
5	с одной стороны	3	8
6	по отношению к	19	7
7	по сравнению с	1	5
8	не может быть	11	5
9	в то время	1	5
10	до сих пор	1	4
11	то время как	1	4
12	в высшей степени	5	4
13	в этом отношении	2	4
14	к выводу что	1	4
15	можно сказать что	2	4
16	смысле этого слова	1	3
17	на то что	1	3
18	то же самое	2	3
19	можно было бы	3	3
20	к тому что	1	3
21	в свою очередь	1	3
22	и тем самым	2	3
23	скажем только что	1	2
24	в какой мере	2	2
25	на первый план	2	2
26	звуковой стороны слова	1	2
27	на этот вопрос	1	2
28	то же время	3	2
29	в равной мере	1	2
30	и в частности	2	2
31	в данном случае	4	2
32	в значительной степени	1	2
33	в целом в	1	2
34	в наши задачи	1	2
35	ни в какой	1	2
36	в самом деле	3	2
37	в то же	3	2
38	таким образом и	1	2
39	но не на	1	1
40	также и на	1	1
41	в области изучения	2	1
42	а следовательно и	1	1
43	как таковая она	1	1
44	его можно было	1	1
45	во всей полноте	1	1
46	в дальнейшем и	1	1
47	дело в том	1	1
48	как мы указывали	1	1
49	на самом деле	3	1
50	в этом смысле	3	1
51	в том же	2	1
52	во всех своих	2	1
53	к его значению	1	1
54	и не может	2	1
55	и в то	2	1
56	в отличие от	5	1
57	но и в	2	1
58	как мы увидим	3	1
59	и именно в	1	1
60	хотя и не	1	1
61	к такому выводу	1	1
62	не вмешивается в	1	1
63	всего то что	1	1
64	строгом смысле слова	1	1
65	и как бы	1	1
66	которые не могли	1	1
67	то что в	1	1
68	полном согласии с	1	1
69	в известной мере	1	1
70	одной стороны и	1	1
71	в одном и	1	1
72	но если так	1	1
73	как это ни	1	1
74	то что является	1	1
75	если бы мы	1	1
76	не только в	2	1
77	и с точки	1	1
78	к вопросу о	1	1
79	точки зрения с	1	1
80	как мы это	1	1
81	его значение в	1	1
82	и в этом	1	1
83	которые могли бы	1	1
84	в строгом смысле	2	1
85	и от всех	1	1
86	не может возникнуть	1	1
87	как такового так	1	1
88	о которых мы	1	1
89	все то что	3	1
90	мышления и в	1	1
91	того что с	1	1
92	с его помощью	1	1
93	только в этой	1	1
94	которой не было	1	1
95	смысле слова и	1	1
96	совершенно независимо от	2	1
97	и пр в	1	1
98	смысле слова но	1	1
99	прежде всего от	1	1
100	в конечном счете	4	1
101	которые могут быть	1	1
102	хотя бы в	1	1
103	как мы уже	1	1
104	в полном согласии	1	1
105	первый план выступает	1	1
106	и т д	1	1
107	тем не менее	3	1
108	относится не к	1	1
109	как и в	1	1
110	является как бы	1	1
111	она не может	1	1
112	в одинаковой степени	1	1
113	более сложным и	1	1
114	той или иной	2	1
