N	3gram	Bakhtin_Pr_3	Russkaja
1	то же время	5	10
2	в то же	5	10
3	с точки зрения	2	9
4	в том что	3	7
5	во всяком случае	1	6
6	а между тем	2	5
7	до сих пор	5	5
8	более или менее	3	4
9	не может быть	1	4
10	можно было бы	1	3
11	и не может	1	3
12	и то что	1	3
13	к вопросу о	1	3
14	в конце концов	1	3
15	той или иной	1	3
16	с самим собой	1	2
17	мы говорили в	1	2
18	о том что	2	2
19	и тем самым	1	2
20	друг от друга	1	2
21	в большинстве случаев	4	2
22	уже знаем что	1	1
23	или хотя бы	1	1
24	состоит в том	1	1
25	прежде всего в	1	1
26	по отношению к	1	1
27	что для этого	1	1
28	в том числе	11	1
29	во всем мире	2	1
30	то же самое	1	1
31	мы уже знаем	1	1
32	некоторых из них	1	1
33	и не к	1	1
34	по отношению ко	1	1
35	в этом отношении	1	1
36	в его жизни	1	1
37	том числе и	10	1
38	по крайней мере	1	1
39	не подлежит сомнению	1	1
40	жизни и в	1	1
41	в применении к	1	1
42	но в то	1	1
43	главное и это	1	1
44	смысле этого слова	1	1
45	но при этом	1	1
46	в связи с	1	1
47	это конечно не	1	1
48	друг к другу	1	1
49	что касается до	1	1
50	в его целом	1	1
51	потому что они	1	1
52	в этом и	1	1
53	тех или иных	1	1
54	так как это	1	1
55	с самого начала	3	1
56	но мы уже	1	1
57	тем не менее	2	1
58	и прежде всего	5	1
59	которую можно назвать	1	1
60	полное представление о	1	1
