N	3gram	Losev_Prob_2	NovoeSre
1	xix и xx	1	4
2	не может быть	3	4
3	подобно тому как	2	3
4	и xx веков	1	3
5	в этом смысле	5	2
6	он не может	1	2
7	что в нем	1	2
8	вместе с тем	1	2
9	так же как	1	2
10	с одной стороны	5	2
11	с другой стороны	5	2
12	когда мы говорим	2	2
13	вопрос о том	2	2
14	ни одна из	1	2
15	но такого рода	1	1
16	для этого она	1	1
17	что она не	1	1
18	что в этом	1	1
19	только потому что	1	1
20	то нет и	1	1
21	то время как	1	1
22	будет сказать что	3	1
23	есть прежде всего	4	1
24	в том числе	2	1
25	себе и в	2	1
26	же как и	1	1
27	потому что не	1	1
28	до сих пор	4	1
29	и в последние	1	1
30	и не может	1	1
31	том случае если	1	1
32	в зависимости от	1	1
33	сами по себе	2	1
34	но и в	3	1
35	том числе и	2	1
36	можно было бы	2	1
37	но я могу	1	1
38	может быть только	2	1
39	в том случае	2	1
40	отказаться от того	1	1
41	вообще не существует	1	1
42	не только в	2	1
43	как будто бы	5	1
44	в известном смысле	1	1
45	значение и не	1	1
46	сказать что все	2	1
47	во всяком случае	10	1
48	о том что	14	1
49	в то время	1	1
50	то что в	1	1
51	имея в виду	2	1
52	это и есть	2	1
53	та или иная	2	1
54	это значит что	3	1
55	и совсем не	1	1
56	никогда не могла	1	1
57	не будет и	1	1
58	в том что	4	1
59	споры о том	1	1
60	прежде всего как	1	1
61	не ставит никаких	1	1
