N	2gram	Trubetskoy_1	Vladivir
1	и в	26	31
2	не только	10	24
3	но и	9	19
4	то что	7	18
5	и не	8	17
6	и даже	3	15
7	у него	1	15
8	и с	10	14
9	что в	9	14
10	в этом	15	14
11	том что	7	14
12	в его	5	12
13	но в	7	12
14	что он	4	12
15	потому что	7	11
16	в том	11	11
17	с его	2	11
18	о том	6	11
19	так что	3	10
20	он не	4	10
21	в конце	6	9
22	в течение	4	9
23	а в	4	9
24	никогда не	5	9
25	только в	4	9
26	в то	4	8
27	так как	9	8
28	и по	4	8
29	еще и	1	7
30	кроме того	1	7
31	как раз	1	7
32	для него	3	7
33	и его	1	7
34	сказать что	2	7
35	мы уже	1	7
36	уже в	2	7
37	можно сказать	3	6
38	того же	6	6
39	не может	4	6
40	в котором	4	6
41	на этот	4	6
42	так и	6	6
43	то же	4	6
44	и к	5	6
45	в качестве	3	6
46	у нас	1	6
47	и потому	6	6
48	это было	1	6
49	иной раз	2	6
50	и что	4	6
51	может быть	10	6
52	к этому	3	6
53	в свое	1	5
54	жизни и	2	5
55	на то	2	5
56	не было	2	5
57	с ним	1	5
58	не в	2	5
59	и если	3	5
60	и от	4	5
61	а с	7	5
62	когда он	3	5
63	что и	6	5
64	в своих	1	5
65	не был	1	5
66	а также	2	5
67	все это	6	5
68	это был	1	5
69	главным образом	8	4
70	этот раз	1	4
71	в себе	6	4
72	же время	2	4
73	мы и	1	4
74	после смерти	10	4
75	в этот	1	4
76	и все	2	4
77	в этой	4	4
78	к нему	7	4
79	в нем	4	4
80	в своей	1	4
81	совсем не	1	4
82	по своей	2	4
83	что его	1	4
84	да и	1	4
85	один из	2	4
86	ни с	1	4
87	в которой	3	4
88	в россии	2	4
89	несмотря на	6	4
90	в нашем	1	4
91	и у	8	4
92	себя в	1	4
93	и особенно	2	4
94	как и	1	4
95	и как	3	4
96	в своем	3	4
97	все эти	6	3
98	и из	2	3
99	на его	1	3
100	все же	6	3
101	в связи	3	3
102	конце концов	3	3
103	что они	1	3
104	здесь не	1	3
105	уже тогда	1	3
106	таким образом	22	3
107	в виде	4	3
108	в жизни	1	3
109	и так	1	3
110	то есть	4	3
111	и здесь	2	3
112	но не	8	3
113	вместе с	15	3
114	отношение к	5	3
115	что касается	1	3
116	свидетельствует о	2	3
117	в начале	2	3
118	к тому	6	3
119	как в	1	3
120	взгляд на	2	3
121	и через	1	3
122	что к	1	3
123	тот же	2	3
124	в отношении	6	3
125	он в	2	3
