1	в то же время	3	5
2	одного и того же	1	2
3	в том и состоит	1	2
4	во всех подобных случаях	1	2
5	случае мы имеем дело	1	1
6	мы имеем дело не	1	1
7	есть не что иное	1	1
8	в том случае если	1	1
9	по отношению к нему	1	1
10	тем не менее не	1	1
11	заключается в том что	1	1
12	даже в том случае	1	1
13	ни прибавить ни убавить	1	1
14	том и состоит чтобы	1	1
15	следует иметь в виду	1	1
16	и по отношению к	2	1
17	не что иное как	2	1
18	смысле можно говорить о	1	1
19	в том числе и	1	1
20	мы имеем дело с	1	1
21	иметь в виду что	1	1
