N	3gram	Losev_Prob_3	NovoeSre
1	не может быть	5	4
2	не значит что	2	3
3	равно как и	1	2
4	и заключается что	1	2
5	что в нем	1	2
6	так же как	1	2
7	с одной стороны	1	2
8	это не значит	1	2
9	том и заключается	1	2
10	с другой стороны	5	2
11	когда мы говорим	3	2
12	в том и	1	2
13	и того же	1	1
14	но это есть	1	1
15	но это уже	1	1
16	что в этом	1	1
17	в ней нет	1	1
18	только потому что	2	1
19	мы говорим что	1	1
20	по существу своему	1	1
21	а не в	1	1
22	то время как	4	1
23	будет сказать что	1	1
24	но все время	1	1
25	одного и того	1	1
26	есть прежде всего	1	1
27	же как и	2	1
28	не имеют никакого	2	1
29	не есть принцип	1	1
30	до сих пор	2	1
31	сами по себе	6	1
32	в отличие от	2	1
33	дня и ночи	1	1
34	но и в	2	1
35	можно было бы	3	1
36	и не был	1	1
37	и не в	1	1
38	в том чтобы	1	1
39	не только в	2	1
40	к вопросу о	1	1
41	и потому что	1	1
42	как будто бы	3	1
43	значение и не	1	1
44	в нем не	1	1
45	во всяком случае	6	1
46	ни в какие	1	1
47	хотя и в	1	1
48	о том что	3	1
49	в то время	4	1
50	ни в чем	2	1
51	это и есть	1	1
52	та или иная	3	1
53	не имеет никакой	1	1
54	жизни а это	1	1
55	это значит что	2	1
56	то это есть	1	1
57	и все они	1	1
58	мы говорим о	2	1
59	которые могут быть	1	1
60	в том смысле	3	1
61	и совсем не	1	1
62	это не есть	1	1
63	в том что	9	1
64	как и в	1	1
65	для них не	1	1
