N	3gram	Tiupa_Anal_3	Tragedij
1	то же время	3	5
2	в то же	3	5
3	так и в	1	3
4	в отличие от	2	2
5	в данном случае	3	2
6	и как бы	1	2
7	о том что	5	2
8	в том что	7	2
9	в этом случае	1	1
10	а между тем	1	1
11	в этом мире	1	1
12	и ненавистью к	1	1
13	между отцом и	1	1
14	не только по	1	1
15	к жизни на	1	1
16	эта встреча не	1	1
17	одно из самых	1	1
18	том что он	2	1
19	хотя бы и	1	1
20	сам по себе	1	1
21	что он не	1	1
22	своего отца и	1	1
23	в борьбе за	2	1
24	в применении к	1	1
25	во всяком случае	2	1
26	тем не менее	2	1
27	не могут быть	1	1
28	себя а за	1	1
29	по природе своей	1	1
30	в связи с	1	1
31	не только к	2	1
32	за себя а	1	1
33	не может быть	1	1
34	не за себя	1	1
35	и все же	1	1
36	отнюдь не является	1	1
37	в одном из	1	1
38	не только не	3	1
39	свою жизнь и	1	1
40	мысль о том	1	1
41	в самом деле	1	1
42	и даже отчасти	1	1
43	же слова были	1	1
44	случае как и	1	1
45	друг перед другом	1	1
46	как и в	4	1
