N	2gram	Medvedev_V_1	FransuaR
1	и в	2	56
2	в этом	1	14
3	в том	2	13
4	и его	1	12
5	то же	1	11
6	в самом	1	9
7	и не	1	9
8	только в	1	9
9	все это	1	8
10	том что	2	8
11	в частности	1	7
12	потому что	1	6
13	так как	1	4
14	в их	1	3
15	время в	1	3
16	главным образом	1	3
17	и почти	1	3
18	другом месте	1	3
19	в другом	1	3
20	и т.д	1	3
21	речи и	1	3
22	и то	1	2
23	самом деле	1	2
24	теснейшим образом	1	2
25	в которых	1	2
26	дело в	1	2
27	в значительной	1	2
28	на одном	1	2
29	далеко не	1	2
30	но это	1	2
31	к этому	1	2
32	говоря о	1	1
33	один пример	1	1
34	одном и	1	1
35	говорили в	1	1
36	их как	1	1
37	книге в	2	1
38	том же	1	1
39	что образы	1	1
40	так в	1	1
41	связаны и	1	1
42	образом связаны	1	1
43	именно в	1	1
44	вещь и	1	1
45	под влиянием	1	1
46	не будем	1	1
47	с большой	1	1
48	в книге	3	1
49	этому и	1	1
50	тем более	1	1
51	по поводу	1	1
52	и только	1	1
53	гораздо более	1	1
