N	2gram	Nazirov_Tr_1	Myshleni
1	с помощью	1	42
2	и в	18	25
3	в развитии	1	24
4	в том	2	23
5	том что	4	20
6	таким образом	1	17
7	ребенка и	2	17
8	так же	4	17
9	что в	4	17
10	с тем	2	16
11	как и	5	15
12	в его	3	15
13	то что	4	15
14	в этом	9	14
15	вместе с	1	14
16	между собой	1	13
17	может быть	7	13
18	в целом	4	13
19	ребенка в	2	12
20	перед нами	2	10
21	взрослого человека	1	10
22	и что	4	10
23	что и	2	10
24	того что	1	10
25	для ребенка	1	10
26	только в	1	10
27	как бы	7	10
28	и не	7	10
29	ребенок не	1	9
30	связи с	1	9
31	заключается в	1	9
32	ни в	2	9
33	как в	3	9
34	как мы	1	8
35	того чтобы	1	8
36	тем что	2	8
37	не является	1	8
38	столь же	2	7
39	по своей	1	7
40	все эти	3	7
41	по себе	1	7
42	в области	1	7
43	уже в	3	7
44	как это	3	7
45	высшей степени	1	6
46	и на	7	6
47	но не	1	6
48	потому что	2	6
49	представляет собой	1	6
50	не только	8	6
51	в высшей	1	6
52	не может	5	6
53	в отличие	2	6
54	не в	2	6
55	не менее	1	6
56	самого начала	1	6
57	с самого	1	6
58	можно было	1	6
59	один из	3	6
60	что он	6	6
61	отличие от	2	6
62	в связи	1	6
63	в основном	3	6
64	все это	4	6
65	все же	5	6
66	одним из	1	5
67	человека и	1	5
68	с ее	3	5
69	как говорит	2	5
70	и как	3	5
71	что это	5	5
72	что она	2	5
73	при этом	3	5
74	к одному	1	5
75	и по	1	5
76	факт что	1	5
77	тем не	1	5
78	но это	4	5
79	могут быть	1	5
80	и т.д	1	5
81	о том	2	5
82	так и	5	5
83	в этой	4	5
84	с одной	1	5
85	для него	3	5
86	именно в	1	5
87	еще не	4	4
88	отнюдь не	3	4
89	в своем	3	4
90	он не	2	4
91	от нее	1	4
92	той же	1	4
93	не мог	2	4
94	не столько	1	4
95	речи в	1	4
96	что с	3	4
97	в то	5	4
98	этого слова	1	4
99	никогда не	2	4
100	то и	2	4
101	не могут	2	4
102	встречается в	1	4
103	к тому	2	4
104	что оно	1	4
105	и это	2	4
106	мог бы	3	4
107	по сравнению	1	4
108	в ход	1	4
109	с ним	3	4
110	связь между	1	4
111	всяком случае	1	4
