N	3gram	Bakhtin_Pr_4	EvropaiE
1	с точки зрения	9	16
2	в то же	5	15
3	то же время	5	14
4	в отношении к	2	12
5	и в то	1	8
6	с одной стороны	1	8
7	одной стороны и	1	6
8	в том что	2	6
9	как нам кажется	2	5
10	так же как	1	5
11	не только в	1	4
12	той или иной	2	4
13	в той или	1	3
14	в этом смысле	2	3
15	же как и	1	3
16	хотя бы и	1	3
17	можно было бы	2	3
18	друг с другом	5	3
19	во всяком случае	1	3
20	можно сказать что	2	3
21	в известной степени	1	3
22	иначе обстоит дело	1	2
23	прежде всего в	1	2
24	нам кажется что	3	2
25	рано или поздно	1	2
26	в данном случае	1	2
27	но в то	2	2
28	по сравнению с	1	2
29	так и в	1	2
30	с другой стороны	3	2
31	не может быть	8	2
32	в одном из	2	2
33	обстоит дело в	1	2
34	друг от друга	1	2
35	в большинстве случаев	8	2
36	xviii и xix	1	2
37	не может не	1	1
38	а не к	1	1
39	хотя и не	2	1
40	следует отметить что	1	1
41	и в характере	1	1
42	он сам и	1	1
43	которая как мы	1	1
44	дело в том	2	1
45	более или менее	3	1
46	большей или меньшей	2	1
47	также и в	1	1
48	кажется что в	1	1
49	по другую сторону	2	1
50	в том же	1	1
51	то есть к	1	1
52	и во многих	1	1
53	и не в	2	1
54	в отличие от	3	1
55	но и в	2	1
56	том числе и	3	1
57	мы увидим что	2	1
58	мы говорили в	1	1
59	на этот вопрос	2	1
60	почти никогда не	1	1
61	и в этих	1	1
62	может быть и	1	1
63	мы остановились на	1	1
64	относятся к области	1	1
65	себе не только	1	1
66	в значительной степени	1	1
67	в большей или	2	1
68	или меньшей степени	2	1
69	в связи с	1	1
70	так как мы	1	1
71	не исключает возможности	1	1
72	до настоящего времени	1	1
73	ней в ее	1	1
74	о которых мы	1	1
75	вместо того чтобы	1	1
76	или в отношении	1	1
77	мы бы сказали	1	1
78	то есть в	4	1
79	выходит за пределы	1	1
80	не только между	1	1
81	и ту же	1	1
82	в том числе	4	1
83	к тому что	1	1
84	одну и ту	1	1
85	и до настоящего	1	1
86	а именно в	1	1
87	к тому же	1	1
88	в пределах одного	6	1
