N	2gram	Medvedev_V_1	Analitik
1	в этом	26	18
2	не только	25	16
3	и в	26	16
4	в частности	11	16
5	так и	5	15
6	как и	7	14
7	но и	10	12
8	и не	19	12
9	том что	8	12
10	в том	15	12
11	в качестве	11	11
12	могут быть	5	10
13	а не	7	10
14	как бы	5	10
15	в этой	4	9
16	лишь в	2	9
17	в пределах	5	9
18	и даже	2	9
19	то есть	1	9
20	всего лишь	3	8
21	в целом	4	8
22	в данном	1	8
23	не случайно	1	8
24	отнюдь не	3	8
25	к тому	4	7
26	а также	1	7
27	о том	10	7
28	в себе	6	7
29	художественного целого	1	7
30	то что	6	7
31	в самом	4	6
32	но в	2	6
33	говорить о	2	6
34	может быть	22	6
35	с другой	11	6
36	как это	12	6
37	на себя	1	5
38	и к	3	5
39	произведения в	7	5
40	данном случае	1	5
41	с одной	2	5
42	говорит о	7	5
43	но не	2	4
44	по отношению	7	4
45	за пределы	1	4
46	как в	1	4
47	в своем	8	4
48	хотя и	2	4
49	он в	1	4
50	тому же	1	4
51	на этом	1	4
52	то же	10	4
53	для него	8	4
54	точки зрения	3	4
55	в ходе	1	4
56	не в	6	4
57	в конце	3	4
58	только не	2	4
59	не менее	2	4
60	можно сказать	4	4
61	во всех	6	4
62	только в	7	4
63	и его	6	4
64	уже не	1	4
65	в сознании	4	4
66	у него	6	4
67	как раз	3	4
68	одной стороны	2	4
69	не может	17	4
70	и особенно	1	4
71	о его	2	4
72	все это	10	4
73	отношению к	7	4
74	и то	1	3
75	в их	5	3
76	в конечном	7	3
77	мы имеем	3	3
78	своей судьбы	1	3
79	проявляется в	1	3
80	не был	1	3
81	ответ на	1	3
82	на его	1	3
83	однако при	1	3
84	и если	1	3
85	и сам	1	3
86	его от	2	3
87	подобно тому	2	3
88	удивительно что	3	3
89	несмотря на	1	3
90	к а	1	3
91	не столько	2	3
92	не удивительно	4	3
93	по крайней	2	3
94	на себе	1	3
95	как о	2	3
96	никогда не	4	3
97	казалось бы	1	3
98	имеем дело	1	3
99	со своим	2	3
100	сводится к	3	3
101	тем что	1	3
102	как будто	1	3
103	этом отношении	13	3
104	что на	1	3
105	той или	1	3
106	как мы	1	3
107	приводит к	5	3
108	можно было	2	3
109	в результате	5	3
110	если бы	3	3
