N	2gram	Propp_Isto_3	Freidism
1	таким образом	10	24
2	и не	12	23
3	не может	4	20
4	точки зрения	2	19
5	прежде всего	3	18
6	к отцу	2	16
7	в этом	17	15
8	в его	3	15
9	и пр	11	15
10	мы можем	6	13
11	может быть	11	13
12	и его	4	12
13	все эти	4	11
14	как и	3	11
15	с точки	1	11
16	как бы	1	11
17	то что	7	11
18	самом деле	1	10
19	но в	10	10
20	его в	3	10
21	с ним	1	10
22	как мы	8	10
23	так и	2	10
24	и потому	2	10
25	по отношению	2	9
26	и в	22	9
27	то же	6	8
28	не только	14	8
29	он не	5	8
30	в своей	1	8
31	еще не	10	8
32	оно и	1	8
33	что он	9	8
34	только в	4	8
35	так как	7	8
36	все это	1	8
37	и все	3	8
38	отношению к	2	8
39	все что	3	8
40	мы уже	6	7
41	отношение к	4	7
42	ни в	2	7
43	мы видели	13	7
44	к нему	5	7
45	один из	5	7
46	тот же	1	7
47	мы знаем	2	7
48	всяком случае	2	7
49	что же	1	7
50	сказать что	3	7
51	во всяком	2	7
52	в ней	2	6
53	все те	1	6
54	и с	4	6
55	и ее	3	6
56	того что	5	6
57	вовсе не	2	6
58	никогда не	3	6
59	хотя бы	1	6
60	совершенно не	2	6
61	на самом	2	5
62	и на	4	5
63	он сам	1	5
64	в чем	3	5
65	и к	3	5
66	в этой	5	5
67	что такое	1	5
68	знаем что	2	5
69	не в	4	5
70	мы должны	7	5
71	в то	2	5
72	в каком	1	5
73	могут быть	5	5
74	в себя	1	5
75	для этого	1	5
76	можно сказать	2	5
77	в большинстве	1	5
78	большинстве случаев	2	5
79	и прежде	1	5
80	а в	6	5
81	но и	12	5
82	связь с	6	5
83	с этим	8	5
84	в свою	4	5
85	что в	15	5
86	и за	1	4
87	той же	2	4
88	связанных с	2	4
89	мы не	1	4
90	я не	3	4
91	но не	7	4
92	все же	5	4
93	не было	2	4
94	из этих	3	4
95	в пределах	4	4
96	в нем	9	4
97	всех этих	2	4
98	на этом	4	4
99	при этом	2	4
100	об этом	1	4
101	с другими	1	4
102	в жизни	2	4
103	нигде не	1	4
104	во время	6	4
105	не менее	5	4
106	потому что	3	4
107	и для	2	4
108	к тому	3	4
109	данном случае	3	4
110	с самого	1	4
111	другими словами	1	4
112	которой мы	1	4
113	с ними	3	4
114	конечно не	1	4
115	уже не	7	4
116	не дает	2	4
117	в котором	2	4
118	мы находим	1	4
119	от того	1	4
120	и др	2	4
121	себя и	1	4
122	в данном	4	4
123	и о	2	4
124	в этих	11	4
125	этот вопрос	2	4
126	в таком	1	4
127	таком случае	1	3
128	человека и	1	3
129	и есть	2	3
130	смерти отца	1	3
131	на место	1	3
132	на себя	2	3
133	с отцом	1	3
134	как в	2	3
135	и той	1	3
136	и как	3	3
137	сказать о	1	3
138	и тот	1	3
139	и те	1	3
140	этот процесс	1	3
141	главным образом	1	3
142	и вот	2	3
143	одной и	1	3
144	и по	1	3
145	где оно	1	3
146	было бы	3	3
147	уже знаем	2	3
148	мы имеем	19	3
149	очень важный	1	3
150	такой же	2	3
151	войти в	1	3
152	случае не	1	3
153	самого начала	1	3
154	одна из	2	3
155	к себе	1	3
156	она не	4	3
157	ничего общего	1	3
158	с ее	1	3
159	свою очередь	1	3
160	и этим	1	3
161	только то	1	3
162	если бы	6	3
163	и что	2	3
164	и она	3	3
165	со всеми	1	3
166	из которого	2	3
167	у него	3	3
168	в них	6	3
169	со стороны	3	3
170	ребенка в	1	3
171	на этот	1	3
172	о себе	3	3
173	вместе с	9	3
174	по своему	1	3
175	и от	3	3
176	но это	3	3
177	не знает	1	3
178	от всех	1	3
179	жизни и	2	3
180	ее в	3	3
181	в такой	1	2
182	и то	2	2
183	это и	1	2
184	и до	1	2
185	большую роль	1	2
186	не совсем	3	2
187	как не	1	2
188	между собой	1	2
189	в ее	1	2
190	видели что	4	2
191	но как	1	2
192	ответ на	1	2
193	себе и	2	2
194	относится к	2	2
195	чем же	1	2
196	что как	1	2
197	в своем	2	2
198	в этот	2	2
199	что это	1	2
200	человек не	1	2
201	что она	5	2
202	из этой	2	2
203	их в	3	2
204	но все	2	2
205	в одну	1	2
206	на всю	1	2
207	в глубине	1	2
208	на этой	1	2
209	при помощи	3	2
210	это не	6	2
211	но их	1	2
212	из способов	1	2
213	отсюда и	1	2
214	рассказывает что	1	2
215	по всему	1	2
216	этом мы	1	2
217	всю жизнь	2	2
218	и уже	2	2
219	которой он	1	2
220	приходит в	3	2
221	выйти за	2	2
222	и становится	1	2
223	том что	8	2
224	в эту	1	2
225	но если	1	2
226	во второй	1	2
227	сих пор	5	2
228	как это	4	2
229	случае в	2	2
230	в таких	1	2
231	но для	1	2
232	правда в	1	2
233	в самых	2	2
234	для всего	1	2
235	только не	2	2
236	тем не	5	2
237	из того	2	2
238	только с	1	2
239	если его	1	2
240	отличается от	1	2
241	они и	3	2
242	роль в	2	2
243	это вовсе	1	2
244	не исчерпывается	1	2
245	в другом	2	2
246	и поэтому	1	2
247	до сих	5	2
248	что и	9	2
249	которые он	1	2
250	что бы	1	2
251	также в	1	2
252	человека как	1	2
253	в него	2	2
254	быть и	3	2
255	на которой	1	2
256	мы видим	8	2
257	словесное выражение	1	2
258	может оказаться	1	2
259	очень много	2	2
260	для нее	2	2
261	с одной	2	2
262	не пытается	1	2
263	не можем	1	2
264	и у	3	2
265	уже в	1	2
266	только на	2	2
267	и они	4	2
268	в нашей	1	2
269	из них	7	2
270	его и	4	2
271	половой зрелости	2	2
272	заметить что	1	2
273	связи в	3	2
274	и даже	2	2
275	с другой	7	2
276	человека в	1	2
277	и тех	1	2
278	здесь в	1	2
279	ничем не	1	2
280	связано с	4	2
281	них и	1	2
282	одной стороны	2	2
283	которых мы	1	2
284	а не	6	2
