N	2gram	Berdyaev_N_1	VelikijI
1	во имя	15	32
2	и не	11	20
3	и в	16	16
4	свободы и	2	12
5	так как	1	9
6	то что	4	9
7	еще не	3	8
8	к богу	2	8
9	в истории	3	8
10	от бога	6	8
11	а не	17	7
12	и потому	4	7
13	человека и	3	6
14	не есть	3	6
15	на себя	1	5
16	но и	3	5
17	хотя и	2	5
18	религиозного сознания	1	5
19	в мире	3	5
20	в боге	1	5
21	бога и	3	5
22	все это	5	5
23	к небытию	1	4
24	и есть	10	4
25	в образе	1	4
26	говорить о	1	4
27	в его	1	4
28	нет у	1	4
29	в этом	7	4
30	что он	1	4
31	потому что	4	4
32	в нем	5	4
33	так и	2	4
34	что все	2	4
35	что не	1	4
36	с богом	1	4
37	как и	7	4
38	что мы	1	4
39	в котором	1	4
40	в ней	5	4
41	в силах	1	4
42	и все	4	4
43	они будут	1	4
44	все что	1	4
45	от этого	1	3
46	этого мира	1	3
47	и что	2	3
48	должна быть	3	3
49	нас и	1	3
50	к вечности	2	3
51	хотя бы	2	3
52	то это	1	3
53	как не	8	3
54	лишь в	6	3
55	в чем	1	3
56	с его	6	3
57	во всех	3	3
58	в том	8	3
59	но в	2	3
60	этот дух	1	3
61	все эти	2	3
62	в социализме	1	3
63	истории человечества	1	3
64	в конце	1	3
65	их в	1	3
66	имя свободы	3	3
67	в своей	3	3
68	и мы	4	3
69	в жизни	5	3
70	ни в	6	3
71	в них	4	3
72	не было	4	3
73	не верит	1	3
74	должно быть	4	3
75	всемирной истории	2	3
76	в этих	1	3
77	нет ничего	1	3
78	не в	6	3
79	к чему	1	3
80	но это	6	3
81	человечества и	1	3
82	не имеет	4	3
83	не верят	1	3
84	никогда не	6	3
85	верят в	1	3
86	свободы от	2	3
87	превращается в	1	3
88	и для	4	3
89	к тому	3	3
90	жизни и	8	3
91	что в	9	3
92	людей в	1	3
93	оно не	1	3
94	и это	2	2
95	нем нет	2	2
96	того чтобы	2	2
97	не имел	1	2
98	божественной жизни	2	2
99	превыше всего	1	2
100	можно было	2	2
101	мы не	2	2
102	с ним	1	2
103	будет уже	2	2
104	под этим	1	2
105	в стихии	1	2
106	освобождения от	1	2
107	человечества в	1	2
108	и во	1	2
109	принудить к	1	2
110	я думаю	1	2
111	жизни все	2	2
112	нет и	2	2
113	не с	1	2
114	государства и	4	2
115	духа и	3	2
116	только в	1	2
117	существе своем	1	2
118	государство не	1	2
119	путь которым	1	2
120	конечно не	3	2
121	уже не	2	2
122	не только	5	2
123	вера в	1	2
124	земли и	1	2
125	не хотел	1	2
126	не к	2	2
127	в существе	1	2
128	в прошлом	3	2
129	не могли	2	2
130	вот почему	2	2
131	тем что	1	2
132	не будет	7	2
133	совести и	1	2
134	это не	4	2
135	истории и	9	2
136	прежде всего	4	2
137	для них	1	2
138	люди не	2	2
139	с тем	3	2
140	бога нет	1	2
141	что истина	1	2
142	зачем же	1	2
143	религиозном смысле	1	2
144	от веры	1	2
145	не могут	1	2
146	мир и	2	2
147	о свободе	1	2
148	никогда еще	1	2
149	одна из	2	2
150	так много	1	2
151	том что	2	2
152	а к	1	2
153	и ныне	1	2
154	есть уже	1	2
155	людей и	1	2
156	давно уже	1	2
157	а в	2	2
158	но не	2	2
159	в духе	3	2
160	могут быть	2	2
161	смысла мира	1	2
162	во всяком	1	2
163	от этой	1	1
164	божьего и	1	1
165	никогда на	1	1
166	быть может	4	1
167	в виду	1	1
168	свободно и	1	1
169	для себя	1	1
170	в ее	3	1
171	от мирового	1	1
172	небом и	1	1
173	для вечности	1	1
174	жизни во	1	1
175	христианского мира	1	1
176	и до	1	1
177	роль в	2	1
178	в нашу	2	1
179	сама идея	1	1
180	не имеют	2	1
181	значение в	1	1
182	ли это?	1	1
183	на путь	1	1
184	и которые	1	1
185	бога когда	1	1
186	вопрос о	3	1
187	самой жизни	2	1
188	я не	2	1
189	и начало	3	1
190	не был	1	1
191	зависимости от	1	1
192	теми которые	1	1
193	способ выражения	1	1
194	думаю что	1	1
195	и на	2	1
196	теперь и	1	1
197	не знающее	1	1
198	истории в	5	1
199	других людей	1	1
200	жизни с	1	1
201	все в	1	1
202	к нему	1	1
203	менее всего	1	1
204	истина не	1	1
205	в новом	2	1
206	но нет	1	1
207	себе и	1	1
208	революция духа	1	1
209	и ложь	1	1
210	окончательно в	1	1
211	как в	3	1
212	и мир	1	1
213	в своем	1	1
214	потребность в	1	1
215	известном смысле	1	1
216	что нет	1	1
217	со злом	1	1
218	о религиозном	1	1
219	ли он	1	1
220	лишь себя	1	1
221	царства божьего	3	1
222	духа в	2	1
223	в самом	1	1
224	и небытию	1	1
225	в которой	1	1
226	человечества социализм	1	1
227	но под	1	1
228	их не	1	1
229	современной культуры	1	1
230	бога в	1	1
231	истина должна	1	1
232	тоже не	1	1
233	в этой	1	1
234	в известном	1	1
235	индивидуализм есть	1	1
236	же и	1	1
237	человеке и	1	1
238	уже в	1	1
239	в которую	1	1
240	истины не	1	1
241	в религиозном	2	1
242	зла в	1	1
243	бог не	1	1
244	и царства	1	1
245	говорит что	1	1
246	перестает быть	4	1
247	человеческого духа	1	1
248	не будут	2	1
249	не для	1	1
250	нашего времени	2	1
251	бытия и	1	1
252	у него	2	1
253	не случайно	1	1
254	переход к	2	1
255	к языческому	1	1
256	и вместе	1	1
257	ее на	1	1
258	человека в	1	1
259	не хотим	2	1
260	на нее	1	1
