N	2gram	Berdyaev_M_1	PoTuStor
1	может быть	30	17
2	и в	28	16
3	в этом	20	9
4	и только	1	9
5	прежде всего	10	9
6	и с	3	8
7	точки зрения	4	8
8	и его	9	8
9	не может	28	8
10	с его	3	7
11	не только	29	7
12	сказать что	2	7
13	я и	1	6
14	самом деле	1	6
15	конечно не	3	6
16	и это	12	6
17	для него	11	6
18	и к	2	6
19	еще не	1	5
20	отношение к	4	5
21	все эти	2	5
22	что такое	1	5
23	только для	1	5
24	в него	3	5
25	как бы	2	5
26	на самом	1	4
27	и ее	1	4
28	и на	6	4
29	и наконец	1	4
30	но в	7	4
31	в этой	6	4
32	в нем	13	4
33	его в	3	4
34	мысли и	2	4
35	все это	6	4
36	так и	1	4
37	в его	9	4
38	только в	6	4
39	и их	3	4
40	так как	3	4
41	и даже	1	4
42	но и	25	4
43	и не	11	4
44	и все	10	4
45	хотя бы	3	4
46	все что	2	4
47	отношения к	4	3
48	тех же	1	3
49	во всех	1	3
50	и есть	14	3
51	и как	2	3
52	учение о	3	3
53	с их	2	3
54	чувств и	1	3
55	и вот	3	3
56	на этом	3	3
57	том что	3	3
58	во время	1	3
59	сих пор	2	3
60	в одном	1	3
61	в основе	2	3
62	до сих	2	3
63	чем не	1	3
64	и оно	1	3
65	к себе	1	3
66	мира и	5	3
67	по сравнению	2	3
68	и она	2	3
69	в том	6	3
70	всяком случае	1	3
71	в области	1	3
72	и др	1	3
73	но оно	1	3
74	вместе с	6	3
75	и потому	10	3
76	ко всякому	1	3
77	сравнению с	1	3
78	могут быть	2	3
79	что в	10	3
80	в этих	4	3
81	а в	4	3
82	то что	5	3
83	жизни и	2	3
84	во всяком	1	3
85	ту же	1	2
86	нем нет	1	2
87	в самом	11	2
88	и этот	4	2
89	мы уже	1	2
90	мы не	1	2
91	и о	1	2
92	на высоте	1	2
93	нет и	5	2
94	за пределы	4	2
95	с этим	3	2
96	и ницше	4	2
97	в этот	2	2
98	и через	1	2
99	но ведь	1	2
100	вообще не	2	2
101	он не	24	2
102	и по	4	2
103	в глубину	5	2
104	по своему	2	2
105	на протяжении	2	2
106	и мы	2	2
107	было бы	10	2
108	в жизни	3	2
109	кажется что	1	2
110	в них	4	2
111	всю жизнь	4	2
112	как и	5	2
113	потому и	1	2
114	в своей	15	2
115	все и	1	2
116	войти в	1	2
117	и вся	1	2
118	не менее	1	2
119	два полюса	1	2
120	никогда не	14	2
121	только и	3	2
122	на два	1	2
123	так называемый	2	2
124	и исторического	1	2
125	в каком	2	2
126	все то	1	2
127	не могут	5	2
128	и всех	1	2
129	существует только	1	2
130	и этим	1	2
131	в пределах	1	2
132	быть может	7	2
133	с ним	2	2
134	находится в	1	2
135	о том	2	2
136	для нас	3	2
137	путь к	1	2
138	что и	4	2
139	во всей	1	2
140	один из	4	2
141	мы видим	2	2
142	что он	10	2
143	и действительно	1	2
144	с нею	1	2
145	в начале	2	2
146	в душе	1	2
147	цели и	1	2
148	к ним	1	2
149	у него	17	2
150	момент в	2	2
151	характерно для	1	2
152	оно не	1	2
153	себя и	3	2
154	что не	1	2
155	а на	1	2
156	не на	1	2
157	остается и	1	2
158	что мы	1	2
