N	2gram	Propp_Russ_1	NovoeSre
1	а не	2	17
2	и в	36	16
3	не может	4	16
4	совсем не	1	12
5	и не	6	11
6	что в	19	9
7	как не	2	8
8	в том	17	8
9	жизни и	1	8
10	он не	1	8
11	в этом	12	7
12	к новому	1	7
13	может быть	8	7
14	как и	10	7
15	с его	1	6
16	ни в	1	6
17	но это	4	6
18	не знает	1	6
19	в ней	2	5
20	истории в	1	5
21	и к	3	5
22	не только	22	5
23	в жизни	2	5
24	все это	6	5
25	в нем	2	5
26	не во	1	4
27	быть может	1	4
28	о том	8	4
29	и мы	1	4
30	в час	1	4
31	в них	6	4
32	то что	6	4
33	это не	10	4
34	не было	2	4
35	и потому	2	4
36	по своему	1	4
37	значит что	2	4
38	не менее	3	4
39	и для	2	4
40	не имеет	6	4
41	и все	1	4
42	потому что	10	4
43	должна быть	1	3
44	вопрос о	1	3
45	и начало	2	3
46	еще не	4	3
47	во всех	4	3
48	в истории	1	3
49	наряду с	1	3
50	как в	5	3
51	не значит	2	3
52	к ним	3	3
53	подобно тому	1	3
54	но и	16	3
55	и пр	2	3
56	не означает	2	3
57	с тем	8	3
58	к жизни	3	3
59	тому как	1	3
60	в россии	4	3
61	в прошлом	2	3
62	она не	2	3
63	в основе	1	3
64	в духе	1	3
65	к тому	4	3
66	дня и	1	3
67	сказать что	1	3
68	и это	1	2
69	же как	1	2
70	не имеют	1	2
71	для нового	1	2
72	можно было	1	2
73	так и	7	2
74	церкви не	1	2
75	мы не	6	2
76	и с	2	2
77	для этого	2	2
78	стремление к	1	2
79	еще до	2	2
80	но она	2	2
81	жизни как	1	2
82	вот почему	1	2
83	и что	4	2
84	и на	10	2
85	должно было	2	2
86	но не	2	2
87	национальной замкнутости	1	2
88	с этим	2	2
89	хотя и	2	2
90	но в	2	2
91	который в	1	2
92	все эти	2	2
93	думать что	3	2
94	есть в	1	2
95	в себе	1	2
96	уже не	6	2
97	в употреблении	1	2
98	не будут	1	2
99	не к	1	2
100	том чтобы	1	2
101	у него	2	2
102	люди не	1	2
103	что она	2	2
104	что все	1	2
105	связаны с	3	2
106	и было	1	2
107	том что	19	2
108	вместе с	10	2
109	так же	3	2
110	место в	1	2
111	обращение к	1	2
112	по существу	4	2
113	не могли	1	2
114	ни одна	1	2
115	как будто	5	2
116	как это	8	2
117	такой же	2	2
118	но для	1	2
119	в то	1	2
120	одна из	4	2
121	в русском	4	2
122	а в	9	2
123	могут быть	2	2
124	можно назвать	1	2
125	коммунистической партии	1	1
126	ни одно	2	1
127	для себя	1	1
128	только потому	1	1
129	он давал	1	1
130	переход от	2	1
131	к таким	3	1
132	россии в	1	1
133	по преимуществу	1	1
134	приводит к	3	1
135	и до	2	1
136	на западе	2	1
137	слова а	1	1
138	в образе	2	1
139	с собой	4	1
140	значение они	1	1
141	явление он	1	1
142	мы уже	1	1
143	не с	3	1
144	все свои	1	1
145	вопрос этот	1	1
146	еще в	4	1
147	к тем	3	1
148	на место	1	1
149	к новой	1	1
150	споров о	1	1
151	с ним	2	1
152	можно сказать	1	1
153	говорить о	1	1
154	на себя	2	1
155	совершенно языческий	1	1
156	был уже	1	1
157	только так	1	1
158	не был	1	1
159	в виду	1	1
160	зависимости от	1	1
161	жизни это	1	1
162	есть вместе	1	1
163	это время	2	1
164	теми которые	1	1
165	в xix	10	1
166	на них	1	1
167	в чем	1	1
168	и во	1	1
169	не могут	1	1
170	своего рода	3	1
171	к нему	1	1
172	значение и	2	1
173	в его	2	1
174	в эти	4	1
175	себе и	1	1
176	отличие от	1	1
177	которая должна	1	1
178	нет надобности	2	1
179	самым большим	1	1
180	к которому	1	1
181	в своем	3	1
182	как например	3	1
183	будто не	1	1
184	что он	1	1
185	только в	4	1
186	от этого	1	1
187	в этот	10	1
188	так на	2	1
189	то время	1	1
190	из этих	4	1
191	это показывает	2	1
192	и у	5	1
193	уже в	1	1
194	в большинстве	2	1
195	ко времени	3	1
196	свидетельствует о	1	1
197	раньше чем	1	1
198	вера в	1	1
199	большинстве случаев	2	1
200	все другие	1	1
201	из них	8	1
202	к своим	1	1
203	день был	1	1
204	земли и	1	1
205	и их	4	1
206	применяя к	1	1
207	всяком случае	1	1
208	и нового	2	1
209	нуждается в	1	1
210	слова в	3	1
211	они сами	1	1
212	не случайно	2	1
213	тем что	4	1
214	процессы которые	1	1
215	от того	1	1
216	вот что	1	1
217	перед ними	1	1
218	но все	3	1
219	на заре	1	1
220	значение в	1	1
221	о русском	1	1
222	не были	2	1
223	возможно что	1	1
224	из всех	1	1
225	и из	3	1
226	всех народов	1	1
227	было бы	1	1
228	весь мир	1	1
229	есть время	1	1
230	себя и	2	1
231	в отличие	1	1
232	что не	1	1
233	говорят об	1	1
234	но оно	1	1
235	обратиться к	1	1
236	для них	3	1
237	связано с	1	1
238	их не	2	1
239	нет в	1	1
240	они не	1	1
241	в этой	1	1
242	не на	2	1
243	не всегда	1	1
244	жизнь в	1	1
245	долгое время	1	1
246	ее на	1	1
247	русского народа	3	1
248	что мы	1	1
249	и того	1	1
250	ближе к	1	1
251	он и	1	1
252	одного и	1	1
253	себя на	1	1
254	в этих	3	1
255	во время	14	1
256	уже давно	1	1
257	но если	1	1
258	сами не	1	1
259	и а	4	1
260	во времена	1	1
261	в советской	1	1
262	только для	2	1
263	установить что	1	1
264	не столько	1	1
265	власть над	1	1
266	дальнейшее развитие	1	1
267	у нас	8	1
268	в силу	2	1
269	в другие	8	1
270	мы должны	2	1
271	и более	2	1
272	их в	3	1
273	что этот	4	1
274	он видел	1	1
275	быть не	1	1
276	в это	3	1
277	в той	1	1
278	нас к	2	1
279	будто бы	6	1
280	будет восстановить	1	1
281	от своих	1	1
282	так как	15	1
283	привела к	1	1
284	обращения к	1	1
285	должны быть	1	1
286	к вопросу	2	1
287	как церковные	1	1
288	в более	2	1
289	не по	1	1
290	равнодушны к	1	1
291	от жизни	1	1
292	из их	1	1
293	до падения	1	1
294	а к	1	1
295	или нет	1	1
296	явление в	1	1
297	русский народ	1	1
298	к ней	2	1
299	привело к	2	1
300	власть чем	1	1
301	и его	1	1
302	а также	3	1
303	или не	1	1
304	истории как	1	1
305	так называемый	2	1
306	смысле в	1	1
307	в области	3	1
308	только одна	1	1
309	в период	1	1
310	ему не	1	1
311	в свою	3	1
312	в ночь	1	1
313	на смену	1	1
314	их совершенно	1	1
315	но можно	1	1
316	время но	1	1
317	того же	1	1
318	есть и	1	1
319	и всех	1	1
320	через них	1	1
321	в которой	1	1
322	на путь	1	1
323	всегда была	1	1
324	церковью и	1	1
325	во всяком	1	1
326	и духовные	1	1
327	того времени	1	1
328	оно не	1	1
329	как на	1	1
330	все что	1	1
