N	3gram	Losev_Prob_4	VrazhdaK
1	в то же	2	4
2	в связи с	3	3
3	с точки зрения	11	2
4	тургенев и некрасов	1	2
5	тургенева и некрасова	1	2
6	в том что	8	2
7	а следовательно и	1	1
8	общего ни с	2	1
9	это то что	1	1
10	между прочим и	1	1
11	далеко не все	1	1
12	равно как и	1	1
13	в этом смысле	3	1
14	достоевский прежде всего	1	1
15	до сих пор	1	1
16	в мировой литературе	1	1
17	и не может	1	1
18	преступлении и наказании	1	1
19	говорит о себе	1	1
20	всего то что	1	1
21	в литературе и	1	1
22	точно так же	3	1
23	только при помощи	2	1
24	ничего общего ни	2	1
25	в преступлении и	1	1
26	по крайней мере	6	1
27	и то что	1	1
28	и в то	1	1
29	одно и то	1	1
30	в это время	1	1
31	войне и мире	1	1
32	о том как	1	1
33	так же как	1	1
34	все равно не	1	1
35	на первый взгляд	1	1
36	в конце концов	1	1
37	в известном смысле	1	1
38	или по крайней	2	1
39	во всяком случае	4	1
40	с другой стороны	6	1
41	тем не менее	10	1
42	нет ничего общего	2	1
43	в войне и	1	1
44	заключается в том	2	1
45	в то время	2	1
46	в свою очередь	1	1
47	это и есть	1	1
48	о том что	3	1
49	не только не	4	1
50	на то что	1	1
51	это не просто	2	1
