N	3gram	Bakhtin_Fr_6	Otkroven
1	у него в	1	5
2	для того чтобы	1	3
3	никогда не было	1	2
4	не может быть	1	2
5	как и все	1	2
6	но и в	2	2
7	смысле этого слова	1	1
8	в другом месте	4	1
9	для него также	1	1
10	в строгом смысле	1	1
11	том что в	1	1
12	друг к другу	1	1
13	дело доходит до	2	1
14	в самом деле	4	1
15	как бы в	1	1
16	чувств и мыслей	1	1
17	о том как	1	1
18	было для него	1	1
19	то он должен	1	1
20	сам по себе	1	1
21	после того как	1	1
22	о том что	5	1
23	в этом отношении	3	1
24	иначе чем в	1	1
25	и все это	1	1
26	но и там	1	1
27	и прежде всего	2	1
28	в том что	2	1
29	и то что	2	1
30	нужно отметить что	1	1
31	что нет у	1	1
32	в каждом из	1	1
33	вместо того чтобы	3	1
34	и все что	1	1
