N	3gram	Medvedev_F_2	Literetu
1	в том что	2	11
2	так или иначе	1	8
3	в отличие от	2	5
4	то же время	5	5
5	в то же	5	5
6	в данном случае	1	4
7	в связи с	10	4
8	прежде всего в	2	3
9	по аналогии с	1	3
10	и прежде всего	2	3
11	не говоря уже	1	2
12	с точки зрения	7	2
13	только в том	1	2
14	в этом отношении	7	2
15	из того что	1	2
16	с одной стороны	1	2
17	но при этом	1	2
18	чуть ли не	1	2
19	во всяком случае	5	2
20	и тем самым	1	2
21	тем не менее	1	2
22	как например в	1	1
23	иметь в виду	1	1
24	теми или иными	1	1
25	а не в	1	1
26	что перед нами	1	1
27	на самом деле	3	1
28	в этом последнем	1	1
29	как раз и	3	1
30	как бы между	1	1
31	в одной из	1	1
32	не было на	1	1
33	как это было	2	1
34	в зависимости от	3	1
35	бы то ни	1	1
36	к тому чтобы	2	1
37	в той мере	1	1
38	том или ином	1	1
39	это приводит к	2	1
40	произведения искусства с	1	1
41	по крайней мере	1	1
42	по этому поводу	1	1
43	того что они	1	1
44	в значительной степени	3	1
45	но в то	1	1
46	в самом деле	5	1
47	на задний план	1	1
48	говоря уже о	1	1
49	одним из первых	1	1
50	как один из	1	1
51	и в этом	5	1
52	с тем же	1	1
53	искусства с точки	1	1
54	как особого рода	1	1
55	один из моментов	1	1
56	а не как	1	1
57	все более и	1	1
58	же время не	1	1
59	с другой стороны	3	1
60	тем что в	1	1
61	не может быть	10	1
62	именно в том	1	1
63	и не о	1	1
64	каждого из них	1	1
65	только то что	1	1
66	ничего общего с	1	1
67	только в качестве	1	1
68	по тем же	1	1
69	всяком случае в	1	1
70	в свою очередь	1	1
71	до сих пор	1	1
72	с самого начала	2	1
73	более и более	1	1
74	при этом не	1	1
75	но все же	2	1
76	том что искусство	2	1
77	в историю литературы	1	1
78	в большинстве случаев	3	1
79	может быть от	1	1
80	в сущности не	1	1
81	однако и здесь	1	1
82	слово как таковое	1	1
83	как мы знаем	2	1
84	в основе этой	2	1
85	о литературе в	1	1
