N	3gram	Kanaev_Sov_1	StatiiOP
1	в том что	1	17
2	можно было бы	1	8
3	с точки зрения	5	8
4	до сих пор	1	7
5	на самом деле	1	6
6	во всяком случае	2	6
7	в данном случае	1	6
8	в этой области	1	5
9	в самом деле	1	5
10	не может быть	4	5
11	в то же	1	4
12	то же время	1	4
13	дело в том	1	4
14	но все же	1	3
15	и в этом	1	3
16	по отношению к	1	3
17	в том как	1	3
18	так же как	1	3
19	из этих двух	1	2
20	с одной стороны	1	2
21	каждого из них	2	2
22	может быть и	2	2
23	в этом случае	1	2
24	в свое время	1	2
25	не в том	1	2
26	тем не менее	2	2
27	на этот раз	1	2
28	по крайней мере	1	2
29	ни о каком	1	1
30	в этом смысле	1	1
31	в которой он	1	1
32	и не было	1	1
33	наук может быть	1	1
34	в том случае	1	1
35	что же это	3	1
36	быть и речи	1	1
37	бы то ни	1	1
38	на этот вопрос	1	1
39	тот факт что	1	1
40	всяком случае не	1	1
41	но ведь это	1	1
42	ведь это не	1	1
43	представление о том	1	1
44	как видит читатель	1	1
45	и в то	1	1
46	ясно что при	1	1
47	те или иные	1	1
48	во многом не	1	1
49	и не может	1	1
50	в обоих случаях	1	1
51	в каждом отдельном	5	1
52	в настоящее время	2	1
53	из них это	1	1
54	но все эти	1	1
55	сами по себе	1	1
56	той или иной	1	1
57	как и во	1	1
58	не давая себе	1	1
59	со всеми его	1	1
60	в зависимости от	4	1
61	и во всей	1	1
62	именно в том	1	1
63	не может не	3	1
64	же это за	2	1
65	может не быть	1	1
66	и могут быть	1	1
67	а может быть	1	1
68	только и могут	1	1
69	и по его	1	1
70	мы говорим о	1	1
71	каждом отдельном случае	5	1
72	же мере в	1	1
73	прежде всего необходимо	1	1
