N	3gram	Nazirov_Tv_2	Stilisti
1	в то же	7	9
2	то же время	7	7
3	того или иного	1	5
4	в свою очередь	1	4
5	с самого начала	1	4
6	той или иной	1	4
7	то или иное	1	3
8	и в то	2	2
9	только потому что	1	2
10	но в то	1	2
11	но при этом	1	2
12	у нас не	1	2
13	не может быть	3	2
14	о том что	2	2
15	в связи с	1	2
16	что у нас	1	2
17	не так как	1	2
18	это связано с	1	1
19	то все же	1	1
20	в прямом и	1	1
21	в другом месте	1	1
22	нет и не	1	1
23	по себе не	1	1
24	особое место в	1	1
25	по отношению к	3	1
26	и нет ничего	1	1
27	в самом деле	2	1
28	можно говорить лишь	1	1
29	все происходящее в	1	1
30	в нем и	1	1
31	в дальнейшем мы	1	1
32	до сих пор	3	1
33	по самой своей	2	1
34	мы как бы	1	1
35	самой своей сути	1	1
36	можно было бы	1	1
37	на этот вопрос	2	1
38	по крайней мере	2	1
39	бы не в	1	1
40	тем что он	1	1
41	это прежде всего	2	1
42	не вошел в	1	1
43	и в этом	1	1
44	в виду что	1	1
45	являются как бы	1	1
46	содержит в себе	1	1
47	решающую роль в	1	1
48	это еще не	1	1
49	мы не можем	1	1
50	и никогда не	1	1
51	в конечном счете	1	1
52	и не может	2	1
53	в русской литературе	1	1
54	но ведь в	1	1
55	с другой стороны	2	1
56	я считаю долгом	1	1
57	и ту же	1	1
58	одну и ту	1	1
59	в том что	2	1
60	именно потому что	1	1
61	как и в	1	1
62	прямом и в	1	1
63	и в прямом	1	1
64	на наш взгляд	2	1
65	не должен быть	1	1
66	быть может и	1	1
