N	4gram	Vinokur_Ku_2	StatiiOP
1	дело в том что	1	4
2	в то же время	3	4
3	и т п в	2	3
4	достаточно для того чтобы	1	2
5	и т д и	1	2
6	не говорю уже о	1	2
7	но с другой стороны	1	2
8	и в самом деле	2	2
9	заключается в том что	1	2
10	но также и в	1	1
11	т д и т	1	1
12	в той мере в	1	1
13	и т д ср	2	1
14	уже о том что	1	1
15	и т д вот	1	1
16	не при чем но	1	1
17	я имею в виду	1	1
18	только в том что	1	1
19	при прочих равных условиях	1	1
20	о том что в	1	1
21	указание на то что	1	1
22	ведь на самом деле	1	1
23	той мере в какой	1	1
24	и т д в	1	1
25	только в том случае	1	1
26	в то время как	1	1
27	и в голову не	1	1
28	так или иначе но	1	1
29	не только в том	1	1
30	до сих пор еще	1	1
31	в таких случаях как	1	1
32	т е не только	1	1
33	и то обстоятельство что	1	1
34	и в том и	1	1
35	в том смысле как	1	1
36	это и в самом	1	1
37	и т п но	2	1
38	в том что и	1	1
39	ответ на этот вопрос	1	1
40	также и то что	1	1
41	потому что он не	1	1
42	не говоря уже о	2	1
