N	2gram	Berdyaev_O_1	Problema
1	и в	19	30
2	в своей	2	22
3	не только	11	18
4	то что	5	18
5	в этом	12	17
6	том что	2	17
7	и даже	1	14
8	людей и	1	13
9	но и	13	13
10	потому что	9	13
11	также и	1	12
12	о том	3	12
13	в его	7	12
14	а именно	1	12
15	в том	5	12
16	и не	13	12
17	так что	2	11
18	в своем	2	11
19	у него	22	11
20	в этой	5	10
21	все же	2	9
22	на земле	4	9
23	но в	2	9
24	который в	1	9
25	и все	10	9
26	сказать что	2	9
27	хотя и	2	8
28	художественного творчества	1	8
29	в конце	1	8
30	вовсе не	1	8
31	но не	1	7
32	как и	6	7
33	не в	11	7
34	никогда не	9	7
35	у нас	1	7
36	так и	2	7
37	что он	3	7
38	может быть	11	7
39	говорит о	1	7
40	и на	2	6
41	и как	1	6
42	в нем	10	6
43	его в	2	6
44	и его	4	6
45	и что	1	6
46	что и	2	6
47	уже не	1	6
48	так как	2	6
49	прежде всего	9	6
50	как бы	3	6
51	и для	2	6
52	а в	5	6
53	и то	2	5
54	в которой	2	5
55	за это	1	5
56	в силу	1	5
57	и с	2	5
58	с тем	2	5
59	он и	1	5
60	нисколько не	1	5
61	но он	7	5
62	того как	1	5
63	и о	2	5
64	людей в	1	5
65	что у	2	5
66	а не	11	5
67	не может	4	5
68	будто бы	1	5
69	в самом	5	5
70	что в	4	5
71	человека и	10	4
72	и он	8	4
73	и к	2	4
74	в себе	3	4
75	же не	1	4
76	было бы	3	4
77	не так	1	4
78	любви и	1	4
79	свободы и	2	4
80	все еще	2	4
81	и сам	1	4
82	оказывается что	1	4
83	даже и	2	4
84	а с	1	4
85	в частности	1	4
86	людей но	1	4
87	жизни в	2	4
88	смысле слова	1	3
89	тем же	1	3
90	в виду	1	3
91	в ней	1	3
92	еще не	3	3
93	он сам	4	3
94	в ее	2	3
95	совсем не	2	3
96	что они	2	3
97	от этого	1	3
98	он в	2	3
99	учение о	2	3
100	он не	7	3
101	в другом	2	3
102	нет никакого	1	3
103	в отношении	1	3
104	в русской	3	3
105	в самой	9	3
106	и после	1	3
107	как будто	1	3
108	указывает на	1	3
109	он видит	1	3
110	нет никакой	1	3
111	в эпоху	1	3
112	с ним	3	3
113	только и	4	3
114	после того	1	3
115	все в	4	3
116	к нему	3	3
117	все время	1	3
118	того что	3	3
119	в одном	1	3
120	в других	2	3
121	для того	3	3
122	и никогда	2	3
123	мира в	1	3
124	еще более	1	3
125	самом деле	1	2
126	но тем	1	2
127	за все	2	2
128	и до	1	2
129	из всех	1	2
130	мы не	1	2
131	и тут	1	2
132	и был	1	2
133	все эти	4	2
134	что люди	1	2
135	в духовном	1	2
136	не все	2	2
137	отношение к	5	2
138	на то	1	2
139	в одной	1	2
140	как в	1	2
141	и нет	2	2
142	человека вообще	1	2
143	когда он	3	2
144	духа в	1	2
145	его не	2	2
146	страстей и	1	2
147	которого не	1	2
148	это не	3	2
149	в них	1	2
150	и тогда	1	2
151	преступления и	1	2
152	со всей	1	2
153	более всего	3	2
154	и без	1	2
155	в котором	1	2
156	любовь и	1	2
157	в поэме	1	2
158	страха и	1	2
159	и более	1	2
160	дело в	1	2
161	в науке	1	2
162	того чтобы	4	2
163	ничего не	2	2
164	по своей	1	2
165	тем что	2	2
166	свое собственное	1	2
167	не могут	3	2
168	это конечно	1	2
169	говорится что	1	2
170	можно было	1	2
171	он был	8	2
172	по себе	2	2
173	для целей	1	2
174	в глаза	1	2
175	любви к	1	2
176	нет у	1	2
177	что только	1	2
178	ли он	1	2
179	трагедии и	1	2
180	ii в	1	2
181	со всеми	1	2
182	уже в	2	2
183	человеческого духа	3	2
184	из них	1	2
185	свой собственный	1	2
186	всяком случае	1	2
187	и человека	1	2
188	ее в	2	2
189	вообще и	1	2
190	человека а	2	2
191	что не	4	2
192	него не	2	2
193	он говорит	1	2
194	да и	1	2
195	в мир	1	2
196	бросается в	1	2
197	в это	1	2
198	один из	1	2
199	сам человек	1	2
200	человек и	4	2
201	хотя бы	3	2
202	была бы	1	2
203	жизни и	1	2
204	но еще	1	2
205	к этому	2	2
206	во всяком	1	2
207	все что	3	2
208	отношения к	1	1
209	в обычном	1	1
210	сам по	1	1
211	о любви	2	1
212	на самом	1	1
213	науки о	1	1
214	душе в	1	1
215	он хотел	1	1
216	и есть	3	1
217	к другому	1	1
218	человеческой души	6	1
219	он знает	1	1
220	всего только	1	1
221	вопрос о	10	1
222	не вполне	1	1
223	жизни как	1	1
224	и ее	3	1
225	с его	4	1
226	то он	1	1
227	бы в	1	1
228	и всякий	1	1
229	с трудом	1	1
230	что было	1	1
231	к творчеству	1	1
232	человеческой личности	6	1
233	своей и	1	1
234	он глубоко	1	1
235	интересна не	1	1
236	духа и	1	1
237	в этот	2	1
238	то в	1	1
239	поэтому он	1	1
240	из жизни	1	1
241	бы и	1	1
242	что это	1	1
243	его а	1	1
244	говорят о	1	1
245	готов был	1	1
246	а вовсе	1	1
247	что она	1	1
248	бы от	1	1
249	больше всего	1	1
250	он ни	1	1
251	после этого	1	1
252	от которого	1	1
253	он должен	1	1
254	же это	2	1
255	и вот	3	1
256	свои собственные	1	1
257	на свободу	1	1
258	не могли	2	1
259	лишь с	1	1
260	истину через	1	1
261	ума и	2	1
262	по природе	1	1
263	заложенных в	2	1
264	должен был	2	1
265	которая была	1	1
266	с богом	2	1
267	жизни человека	1	1
268	чем в	2	1
269	для тех	1	1
270	для своих	1	1
271	и бессмертие	1	1
272	эта тема	1	1
273	свои фантастические	1	1
274	для всякого	2	1
275	дается в	1	1
276	все это	6	1
277	видно что	1	1
278	и мрак	1	1
279	и всемирной	1	1
280	и очень	2	1
281	можно ли	2	1
282	с гордостью	1	1
283	с которой	2	1
284	мысли в	1	1
285	не имеет	2	1
286	о чем	1	1
287	что их	1	1
288	у кого	2	1
289	противоречии с	1	1
290	виду не	1	1
291	из него	1	1
292	и весь	1	1
293	к ней	2	1
294	во всем	1	1
295	и любовь	2	1
296	вот что	1	1
297	бога и	1	1
298	путь он	1	1
299	было не	1	1
300	не потому	1	1
301	силу чего	1	1
302	силой своего	1	1
303	кого не	1	1
304	люди все	1	1
305	в душе	2	1
306	его с	1	1
307	он вечно	2	1
308	только одно	3	1
309	он никогда	1	1
310	одно но	1	1
311	она не	1	1
312	от которой	1	1
313	бы ни	1	1
314	и это	1	1
315	что делается	1	1
316	и самое	1	1
317	и этим	2	1
318	это для	1	1
319	свободу и	1	1
320	стремиться к	1	1
321	и когда	1	1
322	легенды о	1	1
323	в борьбе	1	1
324	и каждый	1	1
325	чем у	1	1
326	том как	1	1
327	и душа	2	1
328	но у	1	1
329	человек по	1	1
330	со стороны	1	1
331	один человек	1	1
332	погружается в	2	1
333	и здесь	1	1
334	но к	1	1
335	разрушения и	1	1
336	не приходит	1	1
337	его жизни	1	1
338	почему же	1	1
339	добром и	2	1
340	человек был	3	1
341	нуждается в	1	1
342	говорит он	1	1
343	это лишь	1	1
344	и можно	1	1
345	его глубине	1	1
346	человека как	1	1
347	же можно	2	1
348	людей а	1	1
349	рационализма и	2	1
350	было и	1	1
351	с одного	1	1
352	его менее	1	1
353	же и	1	1
354	него и	4	1
355	на этих	1	1
356	ему еще	1	1
357	и других	1	1
358	что для	2	1
359	был бы	1	1
360	одно из	2	1
361	в новом	1	1
362	никто не	3	1
363	цели и	1	1
364	человека не	1	1
365	стоит именно	1	1
366	этом отношении	1	1
367	от того	1	1
368	в форме	1	1
369	момент в	2	1
370	в легенде	4	1
371	до самого	5	1
372	не жизнь	1	1
373	доходит до	1	1
374	никогда и	2	1
375	что пишет	1	1
376	и из	2	1
377	тайну о	1	1
378	как у	1	1
379	что человек	3	1
380	на людей	1	1
381	всякого человека	1	1
382	но о	1	1
383	мужчины и	1	1
384	не было	9	1
385	до конца	7	1
386	и самый	1	1
387	не таков	1	1
388	человек в	1	1
389	нужно считать	1	1
390	в космосе	1	1
391	но никогда	2	1
392	сердце в	3	1
393	в одно	1	1
394	приходит в	1	1
395	но оно	1	1
396	все основные	1	1
397	всякого кто	1	1
398	и потому	2	1
399	как это	1	1
400	даже до	1	1
401	в человеке	9	1
402	этого типа	1	1
403	есть на	1	1
404	могут быть	3	1
405	в пределы	1	1
406	мотив в	1	1
407	для человека	2	1
408	и всех	1	1
409	своей жизни	2	1
410	но это	1	1
411	ничего кроме	2	1
412	под влиянием	1	1
413	и общественной	1	1
414	любовь к	2	1
415	еще больше	1	1
416	от человека	2	1
417	великих и	1	1
418	не отрицает	1	1
419	и от	3	1
420	которого они	1	1
421	в силах	1	1
422	бы даже	1	1
423	от него	7	1
424	есть уже	1	1
425	личности и	2	1
426	но всегда	1	1
427	человеческого общества	1	1
428	с ними	1	1
429	это все	1	1
430	всего мира	1	1
431	легенде о	3	1
432	состоит из	1	1
433	природе и	1	1
434	к его	1	1
435	был человек	1	1
436	разум и	1	1
437	огромное значение	1	1
438	и состоит	1	1
439	человеческой природы	20	1
440	в голову	1	1
441	в своих	3	1
442	своем я	1	1
