N	2gram	Trubetskoy_1	VrazhdaK
1	не только	7	9
2	в этом	12	8
3	и в	23	8
4	и что	8	8
5	но и	9	7
6	и все	7	7
7	то что	18	7
8	что в	8	7
9	все же	13	6
10	но в	4	6
11	в нем	3	6
12	как и	9	6
13	в котором	2	6
14	и с	5	6
15	в начале	2	6
16	и даже	1	6
17	то же	4	5
18	в то	6	5
19	же время	2	5
20	между тем	12	5
21	у него	5	5
22	не было	2	5
23	и не	8	5
24	в ней	3	4
25	что он	7	4
26	в истории	3	4
27	целый ряд	4	4
28	при этом	9	4
29	это не	3	4
30	несмотря на	6	4
31	все это	11	4
32	в виду	2	4
33	с ним	6	4
34	о том	7	4
35	для нас	3	4
36	уже в	1	4
37	может быть	16	4
38	как бы	10	4
39	в своих	2	4
40	так же	8	4
41	одним из	4	3
42	я не	2	3
43	с его	1	3
44	в своем	10	3
45	и как	1	3
46	в этот	1	3
47	на то	9	3
48	его в	5	3
49	он не	3	3
50	далеко не	5	3
51	и уже	2	3
52	том что	19	3
53	и его	1	3
54	связи с	4	3
55	что у	2	3
56	в его	5	3
57	в том	30	3
58	давно уже	2	3
59	и у	4	3
60	в конце	4	3
61	тем что	1	3
62	в связи	3	3
63	эти слова	1	3
64	наряду с	1	3
65	мысль на	1	3
66	к этому	5	3
67	же как	3	2
68	и то	4	2
69	на место	1	2
70	он сам	1	2
71	столь же	5	2
72	но как	2	2
73	в эти	3	2
74	тогда как	6	2
75	отнюдь не	2	2
76	в этой	6	2
77	в себе	5	2
78	после этого	1	2
79	о которой	2	2
80	в нашей	1	2
81	их в	2	2
82	таким образом	31	2
83	в одну	4	2
84	в мире	6	2
85	в глазах	2	2
86	этот человек	1	2
87	в них	2	2
88	рядом с	1	2
89	а с	4	2
90	мы знаем	10	2
91	на первый	2	2
92	в эту	2	2
93	точки зрения	13	2
94	в своей	1	2
95	и ее	2	2
96	с точки	8	2
97	он тоже	2	2
98	не менее	7	2
99	том же	4	2
100	одна из	2	2
101	никогда не	4	2
102	европейская цивилизация	1	2
103	и это	3	2
104	же не	3	2
105	в в	4	2
106	так в	1	2
107	еще не	5	2
108	тем более	3	2
109	по мнению	1	2
110	с нею	1	2
111	уже не	1	2
112	при помощи	3	2
113	из них	5	2
114	для него	2	2
115	отношение к	4	2
116	к ним	2	2
117	как же	1	2
118	начиная с	1	2
119	не может	17	2
120	вместе с	6	2
121	в среде	2	2
122	что я	1	2
123	а в	3	2
124	в свою	2	2
125	а между	8	1
126	как известно	3	1
127	от этой	1	1
128	ко всем	3	1
129	также и	2	1
130	постепенно в	1	1
131	того же	9	1
132	шаг за	1	1
133	это и	1	1
134	ему что	1	1
135	а от	1	1
136	которую они	1	1
137	итак на	1	1
138	в их	4	1
139	по его	2	1
140	из всех	5	1
141	той же	1	1
142	тою же	1	1
143	говорить о	2	1
144	в разные	1	1
145	разобраться в	2	1
146	и русской	1	1
147	по своему	5	1
148	а следовательно	1	1
149	совсем не	1	1
150	но не	2	1
151	заметим что	2	1
152	в сторону	2	1
153	если в	1	1
154	и т.д	4	1
155	некоторые черты	1	1
156	для процесса	1	1
157	что они	2	1
158	к сожалению	1	1
159	и я	1	1
160	первый взгляд	1	1
161	независимо от	2	1
162	как в	1	1
163	с этим	11	1
164	для всех	1	1
165	как к	5	1
166	что как	4	1
167	и наконец	3	1
168	себе на	1	1
169	не являются	1	1
170	и отчасти	1	1
171	то в	2	1
172	в самом	8	1
173	что это	5	1
174	мы получаем	1	1
175	в целом	5	1
176	что же	2	1
177	еще один	1	1
178	рассказ о	1	1
179	европейских ученых	1	1
180	тому же	6	1
181	во многих	1	1
182	лет тому	1	1
183	не могла	1	1
184	развиваться в	3	1
185	в свет	2	1
186	да и	1	1
187	от которого	1	1
188	одному из	1	1
189	высшей степени	1	1
190	при виде	2	1
191	всех этих	4	1
192	чем у	8	1
193	в силу	7	1
194	этот процесс	2	1
195	из него	2	1
196	что ни	1	1
197	людей и	1	1
198	однако в	1	1
199	одно и	1	1
200	это конечно	2	1
201	опять и	1	1
202	не будет	5	1
203	конечно в	2	1
204	это было	1	1
205	как тот	2	1
206	заключается в	2	1
207	не хуже	1	1
208	следить за	1	1
209	было бы	3	1
210	в жизни	3	1
211	открытий в	1	1
212	как общее	1	1
213	в высшей	1	1
214	этого не	1	1
215	а за	1	1
216	во внимание	2	1
217	которой он	1	1
218	он и	1	1
219	с большою	1	1
220	свою книгу	1	1
221	их общий	1	1
222	в развитии	1	1
223	такой же	2	1
224	одного и	3	1
225	которую он	2	1
226	в этих	3	1
227	и их	5	1
228	можно найти	1	1
229	всяком случае	2	1
230	каким был	1	1
231	представление о	3	1
232	он принимает	1	1
233	далее в	1	1
234	тем не	4	1
235	по крайней	1	1
236	с такими	1	1
237	что этот	1	1
238	всех их	1	1
239	них много	1	1
240	успех у	1	1
241	тем самым	3	1
242	что эта	4	1
243	человека но	1	1
244	не имеет	1	1
245	в процессе	2	1
246	как о	1	1
247	в уме	1	1
248	только не	2	1
249	следовательно и	1	1
250	нельзя не	1	1
251	не лучше	1	1
252	ничего не	1	1
253	того как	1	1
254	мыслей и	1	1
255	более что	1	1
256	по своей	7	1
257	ему и	2	1
258	это слово	1	1
259	потому что	9	1
260	впрочем тут	1	1
261	ли это	1	1
262	и отличие	2	1
263	продолжают и	1	1
264	этот факт	1	1
265	могут быть	1	1
266	отличается от	6	1
267	сходство с	2	1
268	не есть	2	1
269	ничего общего	3	1
270	правда не	1	1
271	не забудем	1	1
272	не совсем	1	1
273	с ее	2	1
274	свою очередь	2	1
275	но при	1	1
276	только при	2	1
277	на той	1	1
278	но мы	1	1
279	то время	2	1
280	роль в	1	1
281	веру в	1	1
282	и сам	2	1
283	так и	10	1
284	на нее	2	1
285	ясно что	8	1
286	именно этот	1	1
287	жизнь и	3	1
288	всеми силами	1	1
289	быть может	1	1
290	и вообще	3	1
291	во всяком	2	1
292	быть приняты	1	1
293	друг у	1	1
294	до сих	8	1
295	не стоит	2	1
296	как эта	1	1
297	это была	1	1
298	к нему	2	1
299	и сильно	1	1
300	во всех	10	1
301	от них	1	1
302	и америки	1	1
303	во всей	1	1
304	крайней мере	1	1
305	у друга	1	1
306	в другой	1	1
307	все в	2	1
308	если это	2	1
309	к которому	1	1
310	тех пор	2	1
311	более всего	2	1
312	один из	1	1
313	но с	2	1
314	что только	2	1
315	тому назад	1	1
316	за исключением	1	1
317	проникнуть в	1	1
318	во всем	3	1
319	назад в	1	1
320	с моими	1	1
321	в качестве	1	1
322	мы бы	1	1
323	тем чтобы	2	1
324	целого ряда	1	1
325	а это	2	1
326	он всех	1	1
327	к своим	1	1
328	что для	4	1
329	забудем что	1	1
330	искать в	1	1
331	никто не	2	1
332	мы находим	1	1
333	своих собственных	2	1
334	ее не	1	1
335	друг друга	2	1
336	каждый из	3	1
337	как при	2	1
338	их всех	1	1
339	от того	3	1
340	без внимания	1	1
341	гораздо больше	3	1
342	из двух	2	1
343	о своей	1	1
344	и из	2	1
345	с другой	6	1
346	именно в	5	1
347	что тот	1	1
348	книгу в	1	1
349	европы и	1	1
350	прежде всего	3	1
351	выше и	4	1
352	только по	1	1
353	имя которого	1	1
354	до конца	1	1
355	так это	1	1
356	в ту	2	1
357	одну из	1	1
358	себя на	1	1
359	ее начало	2	1
360	нет ничего	1	1
361	в частности	2	1
362	него в	2	1
363	два человека	2	1
364	за тем	1	1
365	и гораздо	1	1
366	из которых	4	1
367	что за	2	1
368	с тех	1	1
369	сравняться с	1	1
370	того что	6	1
371	только время	1	1
372	и другом	1	1
373	над тем	1	1
374	сих пор	8	1
375	оба они	1	1
376	этими тремя	1	1
377	между прочим	2	1
378	но для	2	1
379	мире а	1	1
380	близкий к	1	1
381	ближе к	3	1
382	но какое	1	1
383	и от	5	1
384	но на	2	1
385	и другими	1	1
386	людьми и	1	1
387	о котором	7	1
388	хотя и	4	1
389	и перед	1	1
390	ее и	3	1
391	бы в	3	1
392	еще более	1	1
393	конце концов	4	1
394	только что	3	1
395	своего народа	3	1
396	быть и	5	1
397	другой стороны	5	1
398	следует искать	2	1
399	мы считаем	1	1
400	из этого	6	1
401	за шагом	1	1
402	жизни и	2	1
403	среде но	1	1
404	у людей	1	1
405	как на	4	1
406	в таком	4	1
407	точно так	1	1
408	все что	9	1
409	они не	2	1
