N	2gram	Vygotskiy__6	IolandNe
1	и с	1	3
2	должен быть	1	2
3	и не	11	2
4	в этом	27	2
5	он не	7	2
6	что в	17	2
7	самого себя	1	2
8	бы что	1	2
9	все это	2	1
10	этим и	1	1
11	и др	2	1
12	и тот	1	1
13	а для	1	1
14	и в	28	1
15	только что	2	1
16	и о	1	1
17	я не	4	1
18	то и	1	1
19	а по	3	1
20	бы в	3	1
21	как только	2	1
22	того же	7	1
23	не остается	1	1
24	значительной мере	2	1
25	с другой	2	1
26	это было	1	1
27	а в	2	1
28	того что	24	1
29	и без	1	1
30	в руки	1	1
31	на котором	2	1
32	а с	1	1
33	другой стороны	2	1
34	утверждает что	1	1
35	оказывается для	1	1
36	и еще	1	1
37	в первую	3	1
38	нее и	1	1
39	для него	6	1
40	нам в	1	1
41	в основе	3	1
42	что при	4	1
43	в значительной	2	1
44	понятий и	10	1
45	есть только	1	1
46	отношению к	10	1
47	так и	6	1
48	он с	2	1
49	от этого	3	1
50	того чтобы	10	1
51	первую очередь	3	1
52	никогда не	8	1
53	когда его	1	1
54	и очень	1	1
55	бы все	1	1
56	факты и	1	1
57	тех же	1	1
58	тем что	8	1
59	в целом	3	1
60	по отношению	10	1
61	очевидно что	3	1
62	в них	3	1
63	все эти	2	1
64	но когда	2	1
65	по существу	2	1
66	если бы	7	1
67	для того	8	1
