N	4gram	Losev_Dial_2	EvropaiC
1	заключается в том что	1	3
2	в то же время	3	2
3	из поставленных выше вопросов	1	2
4	одно и то же	4	1
5	не есть ли это	1	1
6	и с точки зрения	1	1
7	только тогда когда оно	2	1
8	от того будет ли	1	1
9	о том что все	1	1
10	том и в другом	1	1
11	мы уже знаем что	1	1
12	в то время как	3	1
13	именно в том что	1	1
14	не в том что	1	1
15	тем не менее в	1	1
16	в том что он	1	1
17	о котором мы только	1	1
18	можно представить себе как	1	1
19	и в том и	1	1
20	приводит к тому что	1	1
21	принять во внимание что	1	1
22	в том и в	1	1
23	не говоря уже о	2	1
24	котором мы только что	1	1
25	и в другом случае	1	1
