N	2gram	Bakhtin_Pr_3	IolandNe
1	и с	6	3
2	и не	15	2
3	достоевского а	1	2
4	в этом	8	2
5	записок из	1	2
6	он не	3	2
7	творчества достоевского	10	2
8	что в	2	2
9	ничего не	6	2
10	бы что	1	2
11	все это	8	1
12	нисколько не	1	1
13	и др	14	1
14	и тот	3	1
15	а для	2	1
16	и в	53	1
17	в эту	3	1
18	я не	4	1
19	как только	1	1
20	к достоевскому	1	1
21	униженных и	1	1
22	того же	2	1
23	и со	1	1
24	этого писателя	1	1
25	с другой	2	1
26	и та	1	1
27	это было	3	1
28	а в	2	1
29	вплоть до	4	1
30	о жизни	1	1
31	не дает	1	1
32	и без	3	1
33	это был	2	1
34	всего творчества	2	1
35	другой стороны	1	1
36	и еще	1	1
37	нее и	1	1
38	а также	4	1
39	нам в	1	1
40	его ученики	1	1
41	в основе	5	1
42	что для	1	1
43	был человек	1	1
44	говорить о	2	1
45	отношению к	1	1
46	так и	6	1
47	он с	1	1
48	произведения и	1	1
49	братья карамазовы	1	1
50	достоевского с	3	1
51	ушел от	1	1
52	во многом	2	1
53	никогда не	2	1
54	из подполья	5	1
55	жизни и	9	1
56	для других	2	1
57	тем что	2	1
58	в целом	1	1
59	по отношению	2	1
60	в них	2	1
61	все эти	9	1
62	по существу	5	1
63	со всеми	8	1
64	для того	1	1
65	и оскорбленных	1	1
