N	2gram	Medvedev_I_1	Myshleni
1	в этом	2	19
2	того что	1	17
3	и в	1	15
4	что в	2	14
5	того чтобы	1	12
6	в целом	1	10
7	для того	1	10
8	никогда не	1	8
9	так и	1	8
10	если бы	1	8
11	он не	2	7
12	и не	2	7
13	по отношению	1	6
14	с другой	1	6
15	и др	1	5
16	по существу	1	5
17	отношению к	1	5
18	в них	1	4
19	в эту	1	4
20	и с	3	4
21	а с	1	4
22	все это	1	4
23	а в	1	4
24	по поводу	1	4
25	очевидно что	1	3
26	все эти	1	3
27	в основе	1	3
28	что при	1	3
29	и сам	1	3
30	ничего не	2	3
31	утверждает что	1	3
32	для него	1	3
33	что для	1	3
34	только что	1	3
35	только для	1	3
36	того же	1	3
37	говорить о	1	2
38	следующим образом	1	2
39	от этого	1	2
40	же это	1	2
41	нисколько не	1	2
42	стало быть	1	2
43	как только	1	2
44	должен быть	2	2
45	бы что	2	2
46	а также	1	2
47	не дает	1	2
48	тем что	1	2
49	видит в	1	2
50	тех же	1	1
51	и о	1	1
52	а для	1	1
53	я не	1	1
54	и со	1	1
55	следовательно в	1	1
56	более чем	1	1
57	и тот	1	1
58	и еще	1	1
59	животных у	1	1
60	а по	1	1
61	его личности	1	1
62	автора и	1	1
63	др он	1	1
64	доказательство того	1	1
65	как о	1	1
66	о ней	1	1
67	ибо и	1	1
68	с а	1	1
69	то и	1	1
70	могло бы	1	1
71	доказать что	1	1
72	то она	1	1
73	весь очерк	1	1
74	самого себя	2	1
75	своего исследования	1	1
76	факты и	1	1
77	бы в	1	1
78	другой стороны	1	1
79	это было	1	1
