N	3gram	Tiupa_Disk_1	TeoriaLi
1	по отношению к	9	8
2	в отличие от	4	7
3	в том что	13	6
4	то же время	4	6
5	в то же	3	6
6	в данном случае	2	5
7	не сводится к	2	5
8	того или иного	1	5
9	состоит в том	2	4
10	более или менее	2	4
11	в конечном счете	1	4
12	с другой стороны	3	3
13	тем не менее	1	3
14	можно сказать что	2	3
15	в свою очередь	3	3
16	той или иной	3	3
17	в этом смысле	1	3
18	по своей природе	2	2
19	и того же	2	2
20	и не могло	1	2
21	они хотят и	1	2
22	мы имеем дело	2	2
23	в соответствии с	2	2
24	причастной вненаходимости бахтин	1	2
25	своей природе суть	1	2
26	с точки зрения	1	2
27	тот или иной	2	2
28	в противном случае	1	2
29	значении этого слова	1	2
30	тогда как в	5	2
31	не могло быть	1	2
32	в рамках которого	1	2
33	с одной стороны	9	2
34	и то же	1	2
35	в равной степени	1	2
36	а с другой	3	2
37	суть то что	1	2
38	одно и то	1	2
39	что они хотят	1	2
40	то что они	1	2
41	хотят и свершают	1	2
42	природе суть то	1	2
43	индивидуального речевого замысла	2	2
44	одного и того	2	2
45	в эстетический объект	1	2
46	и в форме	2	2
47	тех или иных	1	2
48	вокруг я героя	1	2
49	не может быть	3	2
50	как и в	1	2
51	том что в	2	1
52	устремленный от одного	1	1
53	нейтральное к языку	1	1
54	только раскрывают содержание	1	1
55	в нем определенные	1	1
56	к однозначности и	1	1
57	произнесения сказания субъект	1	1
58	о коммуникативной природе	1	1
59	дифференцированном и оцененном	1	1
60	рекоша но от	1	1
61	определяется предметом целью	3	1
62	раскрывают содержание судьбы	1	1
63	в е годы	2	1
64	позицию которую может	1	1
65	являет собой лишь	1	1
66	нравственный закон собственно	1	1
67	в чистом виде	1	1
68	события на поучающего	1	1
69	и потому что	1	1
70	убеждения организующего учительный	1	1
71	они бытуют как	1	1
72	форм высказывания в	1	1
73	не сделав хуже	1	1
74	по своим коммуникативным	1	1
75	как уже говорилось	1	1
76	отделен от своей	1	1
77	но от божья	1	1
78	виде целенаправленно устремленный	1	1
79	нами не как	1	1
80	в хх веке	1	1
81	непреложный и неоспоримый	1	1
82	как ценностного центра	1	1
83	и слушающих общим	1	1
84	дело в том	1	1
85	в его составе	1	1
86	мира в притче	1	1
87	отношении к предмету	1	1
88	готовом стабильно дифференцированном	1	1
89	литературного произведения по	1	1
90	ощущаться завершенная и	1	1
91	представляет собой исторически	1	1
92	мы строим свою	1	1
93	подобно тому как	2	1
94	порой фактически точными	1	1
95	то она здесь	1	1
96	слово общенародной хвалы	1	1
97	судьба выражает внеличную	1	1
98	речи и т.п	1	1
99	может быть признано	1	1
100	индивид чтобы быть	1	1
101	в том числе	2	1
102	евгении онегине но	1	1
103	жанр в свою	1	1
104	в их отношении	1	1
105	самой ситуации рассказывания	1	1
106	в этом случае	1	1
107	картина мира которая	2	1
108	не предполагает хоровой	1	1
109	высказывания в их	1	1
110	коммуникативным параметрам сродни	1	1
111	в одной из	2	1
112	смысле можно говорить	1	1
113	своей коммуникативной природе	1	1
114	не было и	1	1
115	и кому говорят	1	1
116	полностью совпадает с	1	1
117	объектной и субъектной	1	1
118	предносится целое нашего	1	1
119	даже будучи порой	1	1
120	творится окказиональная случайностная	1	1
121	согласно удачной характеристике	1	1
122	другому что касается	1	1
123	сплетни то есть	1	1
124	предметом целью и	3	1
125	рассказывания а не	2	1
126	в таком случае	1	1
127	в целом ряде	1	1
128	к предмету речи	1	1
129	и в то	1	1
130	когда мы строим	1	1
131	не как объекты	1	1
132	но в равной	1	1
133	завершенная и строго	1	1
134	что он не	1	1
135	мира вокруг я	1	1
136	некий нравственный закон	1	1
137	она здесь присутствует	1	1
138	для производящего текст	1	1
139	и потому нейтральное	1	1
140	высказывания и в	1	1
141	всего к ценностной	1	1
142	повеленья сказание в	1	1
143	что представляет собой	1	1
144	любой индивид чтобы	1	1
145	имеем дело не	1	1
146	в самом общем	2	1
147	или сплетни то	1	1
148	только то что	1	1
149	известном смысле домонологично	1	1
150	из того что	1	1
151	нечто смешное но	1	1
152	здесь действующие лица	1	1
153	ставят перед ним	1	1
154	том числе и	2	1
155	коммуникативного события на	1	1
156	убавить ни изменить	1	1
157	внеличную сторону индивида	1	1
158	сродни любому иному	1	1
159	но как субъекты	1	1
160	преступается не предначертанность	1	1
161	монолог в чистом	1	1
162	перед нами не	1	1
163	определенной жанровой схемы	1	1
164	и ситуацией высказывания	3	1
165	между собой и	1	1
166	оно не предполагает	1	1
167	в рассказе чехова	1	1
168	задания реализуют в	1	1
169	в основе своей	2	1
170	дискурсе речевой акт	1	1
171	в стилевых формах	1	1
172	занять уготованной ему	1	1
173	целом ряде произведений	1	1
174	схемы и в	1	1
175	сказания или анекдота	1	1
176	в готовом стабильно	1	1
177	осуществляется или преступается	1	1
178	участников коммуникативного события	2	1
179	зависит от жанра	1	1
180	собой позицию которую	1	1
181	персонажи не выбирают	1	1
182	присутствует как правило	1	1
183	в форме индивидуального	1	1
184	по крайней мере	2	1
185	есть принадлежат самой	1	1
186	форме индивидуального речевого	1	1
187	в том случае	1	1
188	же время они	1	1
189	ним определенные задания	1	1
190	от жанра высказывания	1	1
191	субъекта объекта и	1	1
192	слухи или сплетни	1	1
193	том случае если	1	1
194	любопытное занимательное неожиданное	1	1
195	здесь присутствует как	1	1
196	бытуют как слухи	1	1
197	форме определенной жанровой	1	1
198	чистом виде целенаправленно	1	1
199	известного рода взаимная	1	1
200	слушающих общим знанием	1	1
201	до известной степени	1	1
202	двух сыновей в	1	1
203	в значительной степени	2	1
204	по своей коммуникативной	3	1
205	едва ли не	2	1
206	принадлежат самой ситуации	1	1
207	к общему миропорядку	1	1
208	курьезное любопытное занимательное	1	1
209	точными они бытуют	1	1
210	рода взаимная условленность	1	1
211	и персонажи сказания	1	1
212	сторону индивида и	1	1
213	прибавить ни убавить	2	1
214	как слухи или	1	1
215	содержит в себе	1	1
216	можно даже сказать	1	1
217	поучающего и поучаемого	1	1
218	индивида и его	1	1
219	и т.д эта	1	1
220	связаны с языком	1	1
221	изменить ничего нельзя	1	1
222	общим знанием поэтому	1	1
223	которую может и	1	1
224	к другому что	1	1
225	не от своея	1	1
226	и строго отграниченная	1	1
227	ментальной и речевой	1	1
228	взаимная условленность конвенциональность	1	1
229	своей судьбы они	1	1
230	как правило лишь	1	1
231	чтобы быть субъектом	1	1
232	очередь определяется предметом	2	1
233	не утрачивает своей	1	1
234	сказании повествуемой ситуации	1	1
235	причастности к общему	1	1
236	являет собой некоторую	1	1
237	может ощущаться завершенная	1	1
238	его поступки только	1	1
239	уготованной ему позиции	1	1
240	в форме определенной	1	1
241	оно стремится к	1	1
242	равнодостойности сознаний встречающихся	1	1
243	искусства не сводится	1	1
244	представляет собой некий	1	1
245	не более чем	2	1
246	всегда предносится целое	1	1
247	достоверным но не	1	1
248	стабильно дифференцированном и	1	1
249	в известном смысле	1	1
250	коммуникативную стратегию эстетического	1	1
251	собственно и составляющий	1	1
252	коммуникативного события в	1	1
253	может и должен	1	1
254	морализаторскую премудрость притчевого	1	1
255	в евгении онегине	1	1
256	или преступается не	1	1
257	уже не таково	1	1
258	не верифицируемым знанием	1	1
259	оно живет в	1	1
260	и как бы	3	1
261	исторически продуктивный тип	1	1
262	встречающихся в дискурсе	1	1
263	имеем дело с	1	1
264	что касается ментальной	1	1
265	одного сознания к	1	1
266	таким же образом	1	1
267	параметрам сродни любому	1	1
268	и должен занять	1	1
269	представляет собой позицию	1	1
270	несут в себе	1	1
271	однозначности и прежде	1	1
272	в связи с	1	1
273	премудрость притчевого назидания	1	1
274	система смыслов оно	1	1
275	ситуации произнесения сказания	1	1
276	закон собственно и	1	1
277	несет в себе	1	1
278	их отношении к	1	1
279	притчевого типа есть	1	1
280	предначертанность судьбы а	1	1
281	не отделен от	1	1
282	по слову бахтина	1	1
283	о блудном сыне	4	1
284	в первую очередь	1	1
285	говорит и кому	1	1
286	моделью причастности к	1	1
287	чужой речи и	1	1
288	выбора осуществляется или	1	1
289	поступки только раскрывают	1	1
290	слова в слове	1	1
291	в сказании повествуемой	1	1
292	тем или иным	1	1
293	нем определенные возможности	1	1
294	не выбирают а	1	1
295	ни прибавить ни	2	1
296	мишеля фуко представляет	1	1
297	судьбы они едины	1	1
298	в исходном значении	1	1
299	условленность конвенциональность общения	1	1
300	должен занять любой	1	1
301	собой исторически продуктивный	1	1
302	а некий нравственный	1	1
303	поучаемого это разделение	1	1
304	касается ментальной и	1	1
305	в коммуникативной ситуации	1	1
306	объекта и адресата	1	1
307	в следующей главе	1	1
308	строго отграниченная система	1	1
309	она могла бы	1	1
310	а в том	2	1
311	стремится к однозначности	1	1
312	есть монолог в	1	1
313	то есть принадлежат	1	1
314	внеязыковое и потому	1	1
315	высказывания жанр в	1	1
316	сознаний встречающихся в	1	1
317	а по своей	1	1
318	нельзя не сделав	1	1
319	ничего нельзя не	1	1
320	от своей судьбы	1	1
321	фуко представляет собой	1	1
322	текста да и	1	1
323	сказания не от	1	1
324	монологизированного слова в	1	1
325	разделение иерархично оно	1	1
326	притча разъединяет участников	1	1
327	в дискурсе речевой	1	1
328	и неоспоримый круговорот	1	1
329	деятельности персонажа то	1	1
330	и поучаемого это	1	1
331	даже сказать что	1	1
332	к чему не	1	1
333	не предначертанность судьбы	1	1
334	именовал веком героев	1	1
335	гегель именовал веком	1	1
336	и его поступки	1	1
337	сочинение литературного произведения	1	1
338	субъектом данного высказывания	1	1
339	формах косвенной речи	1	1
340	хоровое слово общенародной	1	1
341	типа есть монолог	1	1
342	да и персонажи	1	1
343	произведения по своим	1	1
344	имея в виду	1	1
345	выражает внеличную сторону	1	1
346	и речевой деятельности	1	1
347	это и есть	1	1
348	нем звучит один	1	1
349	строим свою речь	1	1
350	акте выбора осуществляется	1	1
351	субъекты этического выбора	1	1
352	когда ни прибавить	1	1
353	от божья повеленья	1	1
354	предстают перед нами	1	1
355	притче о блудном	1	1
356	прежде всего к	1	1
