N	2gram	Medvedev_U_1	OGranits
1	и в	14	13
2	прежде всего	8	9
3	может быть	6	8
4	не может	7	8
5	и не	8	8
6	в его	2	7
7	эстетический объект	1	7
8	индивидуального стиля	1	6
9	стилистических приемов	5	6
10	только в	2	6
11	не только	10	6
12	то что	7	6
13	таким образом	2	6
14	художественного произведения	2	5
15	и т.д	3	5
16	все же	3	5
17	метода в	1	5
18	в процессе	1	5
19	хотя бы	5	5
20	эстетического объекта	6	5
21	и эта	1	5
22	мы не	2	4
23	произведения как	1	4
24	но в	3	4
25	вопроса о	2	4
26	система стилистических	1	4
27	мы можем	1	4
28	то же	5	4
29	в своей	3	4
30	было бы	3	4
31	все это	5	4
32	вряд ли	3	3
33	и то	3	3
34	самом деле	2	3
35	в пределах	1	3
36	так и	1	3
37	в их	4	3
38	за пределы	1	3
39	в которой	1	3
40	в себе	2	3
41	не как	3	3
42	материала и	2	3
43	но и	4	3
44	как и	3	3
45	что же	1	3
46	не в	2	3
47	но для	1	3
48	и для	2	3
49	никогда не	1	3
50	и все	1	3
51	превращается в	2	3
52	не столько	2	3
53	что в	1	3
54	в искусстве	6	3
55	композиции в	1	2
56	для себя	1	2
57	и др	1	2
58	данном случае	1	2
59	художественных произведений	2	2
60	в произведении	1	2
61	представлений и	1	2
62	если бы	2	2
63	в ней	1	2
64	ее в	1	2
65	между тем	2	2
66	к сожалению	3	2
67	его на	1	2
68	в данном	1	2
69	в этом	7	2
70	в том	2	2
71	тот же	1	2
72	в этот	1	2
73	которое мы	1	2
74	формальный метод	11	2
75	с одной	1	2
76	в нем	1	2
77	связанные с	1	2
78	для него	3	2
79	тем что	2	2
80	замкнутая в	1	2
81	связанных с	1	2
82	в области	3	2
83	с другой	4	2
84	а как	2	2
85	в самом	2	2
86	входит в	1	2
87	одной стороны	1	2
88	а не	10	2
89	другой стороны	3	2
90	том что	2	2
91	и истории	1	2
92	в г	1	2
93	но такое	1	2
94	в течение	1	2
95	литературного произведения	1	2
96	эстетической функции	1	2
97	художественное произведение	5	2
98	поэтики и	1	2
99	в шкловского	2	2
100	бы в	1	2
101	истории литературы	3	2
102	и является	2	2
103	возражать против	1	2
104	в словесном	1	2
105	могут быть	2	2
106	и это	1	1
107	от произведения	1	1
108	одним из	2	1
109	же как	1	1
110	человека и	1	1
111	и через	2	1
112	в виду	1	1
113	значительной мере	1	1
114	в некоторых	2	1
115	формалистов к	1	1
116	проблем связанных	1	1
117	возникает проблема	1	1
118	отсюда и	1	1
119	мы имеем	1	1
120	содержания в	1	1
121	является наиболее	1	1
122	и всякого	1	1
123	для этого	3	1
124	по себе	2	1
125	сводится к	2	1
126	но даже	2	1
127	этого термина	2	1
128	словесного искусства	1	1
129	он пытается	1	1
130	и что	1	1
131	в широком	2	1
132	нам представляется	2	1
133	в различных	1	1
134	художественном творчестве	2	1
135	несомненно и	1	1
136	вне которой	1	1
137	в конечном	4	1
138	художественной формы	2	1
139	рассматривать не	1	1
140	основной методологический	1	1
141	так напр	1	1
142	но не	2	1
143	представляется не	1	1
144	с момента	1	1
145	переходит в	1	1
146	художественного впечатления	1	1
147	нет и	1	1
148	на то	1	1
149	его эстетической	1	1
150	полагая что	1	1
151	в.м жирмунский	3	1
152	в своем	1	1
153	этого материала	1	1
154	история литературы	1	1
155	что он	2	1
156	более или	1	1
157	материала т.е	1	1
158	в значительной	1	1
159	метод должен	1	1
160	не приходится	2	1
161	в этой	4	1
162	для всех	2	1
163	конечно не	4	1
164	литературы в	1	1
165	и у	2	1
166	что она	2	1
167	или даже	1	1
168	на эту	2	1
169	его и	2	1
170	конечном счете	4	1
171	одно из	1	1
172	в виде	1	1
173	содержания и	1	1
174	мы полагаем	1	1
175	в конце	2	1
176	его дифференциация	1	1
177	всякого художника	1	1
178	но что	1	1
179	самые слова	1	1
180	или иных	2	1
181	метод с	1	1
182	даже и	2	1
183	же не	2	1
184	что такой	1	1
185	говорить не	1	1
186	искусства в	1	1
187	еще одно	1	1
188	что мы	2	1
189	только к	3	1
190	полагаем что	1	1
191	произведение как	1	1
192	не было	1	1
193	далеко не	1	1
194	в.м жирмунского	4	1
195	у других	1	1
196	сдвиг в	1	1
197	проблемой художественной	1	1
198	он и	1	1
199	и вне	1	1
200	объекта в	1	1
201	отнюдь не	1	1
202	должно быть	1	1
203	него не	1	1
204	если не	2	1
205	или менее	1	1
206	сводятся к	1	1
207	но если	1	1
208	и стилистики	1	1
209	художественного творчества	5	1
210	эстетическая функция	2	1
211	напр в	1	1
212	в которых	1	1
213	к этому	1	1
214	несомненно что	1	1
215	формального метода	9	1
216	речи в	1	1
217	их в	1	1
218	речи чтобы	1	1
219	к следующему	1	1
220	быть не	1	1
221	что такое	4	1
222	говорит в.м	2	1
223	до конца	1	1
224	литературы как	1	1
225	но это	2	1
226	точно и	1	1
227	в то	3	1
228	работ в	1	1
229	произведений и	1	1
230	тех или	2	1
231	объекта и	1	1
232	само по	1	1
233	при таком	2	1
234	не существует	1	1
235	формы и	2	1
236	того как	1	1
237	находятся в	1	1
238	обособить из	1	1
239	же время	3	1
240	же остается	1	1
241	тем более	1	1
242	вообще в	1	1
243	является принцип	1	1
244	в системе	2	1
245	этом отношении	2	1
246	не вполне	1	1
247	об этом	1	1
248	о сущности	1	1
249	исторической поэтики	1	1
250	сказать что	1	1
251	впервые в	1	1
252	в поэтическом	1	1
253	он называет	1	1
254	равно как	1	1
255	не входит	1	1
256	о литературе	1	1
257	что основной	1	1
258	как мычание	2	1
259	с его	2	1
260	в совокупности	1	1
261	же самое	2	1
262	с проблемой	2	1
263	этого и	1	1
264	поэтическом творчестве	1	1
265	поэтики в	1	1
266	поэзии же	1	1
267	что при	1	1
