1	не может	9	17
2	точки зрения	7	12
3	может быть	11	12
4	таким образом	20	11
5	мы не	3	9
6	в каждом	2	8
7	и в	30	7
8	в этом	14	7
9	не можем	4	7
10	каждый раз	1	6
11	мы можем	7	6
12	как и	6	6
13	и не	6	6
14	ничего не	2	6
15	в результате	4	6
16	организма с	1	5
17	с точки	2	5
18	все эти	2	5
19	отдельном случае	1	5
20	каждом отдельном	1	5
21	и наконец	3	5
22	прежде всего	4	5
23	что же	1	5
24	зависимости от	7	4
25	нет и	1	4
26	а в	4	4
27	каждого элемента	1	4
28	вместе с	12	4
29	в том	27	4
30	если мы	16	4
31	в целом	5	4
32	не только	16	4
33	мы должны	3	4
34	как бы	19	4
35	их в	1	4
36	с помощью	2	4
37	из них	2	4
38	вопрос о	3	4
39	это не	3	4
40	жизни и	6	4
41	точку зрения	1	4
42	в зависимости	6	4
43	мы видели	1	4
44	так как	9	4
45	видели что	1	3
46	следующим образом	2	3
47	в области	1	3
48	а не	8	3
49	мы называем	2	3
50	еще не	5	3
51	было бы	5	3
52	из двух	3	3
53	на две	1	3
54	состоит из	1	3
55	ясно что	6	3
56	отличается от	2	3
57	то же	7	3
58	при этом	8	3
59	не в	8	3
60	на этой	1	3
61	для нас	3	3
62	все это	2	3
63	и к	4	3
64	и мы	16	3
65	и потому	5	3
66	когда мы	6	3
67	в нем	7	3
68	мы получим	2	3
69	он может	1	3
70	уже в	6	3
71	и все	4	3
72	между собой	2	3
73	у нас	4	3
74	при таком	3	3
75	но в	5	3
76	одна из	3	3
77	в конце	4	3
78	в этой	5	3
79	с самого	3	3
80	что она	6	3
81	поэтому мы	1	3
82	ли мы	2	3
83	в наших	1	3
84	самого начала	3	3
85	всех элементов	1	3
86	в одном	2	3
87	и т.д	1	3
88	в себе	5	3
89	но мы	2	3
90	все же	7	3
91	он в	2	3
92	как он	2	3
93	не дает	2	2
94	если же	2	2
95	дает нам	1	2
96	первые два	1	2
97	свою очередь	1	2
98	так сказать	1	2
99	не менее	1	2
100	значение в	1	2
101	на его	3	2
102	ее на	1	2
103	по мнению	6	2
104	не могут	3	2
105	могут быть	8	2
106	тем же	3	2
107	что такое	1	2
108	каждого из	1	2
109	той же	3	2
110	знаем что	2	2
111	в виде	1	2
112	но все	2	2
113	с другом	3	2
114	в которой	3	2
115	в нашем	2	2
116	в свою	3	2
117	на этом	6	2
118	из этих	3	2
119	на котором	1	2
120	у него	3	2
121	что при	3	2
122	из которых	4	2
123	что это	8	2
124	друг с	3	2
125	времени и	3	2
126	приводит к	2	2
127	которой он	1	2
128	же мы	1	2
129	на другом	1	2
130	уже не	1	2
131	все те	1	2
132	и даже	2	2
133	на этот	3	2
134	и есть	5	2
135	или иной	2	2
136	ни одна	1	2
137	в самом	14	2
138	из четырех	1	2
139	самом деле	8	2
140	мы знаем	2	2
141	в некоторых	1	2
142	с одной	12	2
143	еще более	1	2
144	в отличие	2	2
145	отличие от	2	2
146	мы видим	8	2
147	быть и	2	2
148	он должен	8	2
149	во всяком	1	2
150	что в	24	2
151	мы с	3	2
152	же самое	5	2
153	что все	6	2
154	и во	1	2
155	тот же	3	2
156	можно назвать	1	2
157	она может	1	2
158	в его	4	2
159	для его	1	2
160	в один	1	2
161	и что	23	2
162	с этим	2	2
163	или же	1	2
164	одна возможность	1	2
165	вне времени	1	2
166	этих двух	7	2
167	совершенно не	6	2
168	с совершенно	2	2
