1	в то же время	3	5
2	и пр и пр	2	4
3	может быть и речи	2	3
4	не может быть и	2	3
5	в связи с этим	3	3
6	отнюдь не следует что	1	2
7	и не может быть	4	2
8	все более и более	1	1
9	один и тот же	3	1
10	является не чем иным	1	1
11	в самом деле ведь	2	1
12	в большей или меньшей	1	1
13	в неразрывной связи с	1	1
14	отнюдь не могут быть	1	1
15	различия между этими двумя	1	1
16	с самого начала ясно	2	1
17	но в то же	2	1
18	и прежде всего в	1	1
19	между социально организованными людьми	1	1
20	самого начала ясно что	2	1
21	в единстве социальной жизни	1	1
22	и до настоящего времени	1	1
23	в направлении к этому	1	1
24	или во всяком случае	1	1
25	в пределах индивидуального организма	1	1
26	такая абстракция совершенно правомерна	1	1
27	не чем иным как	1	1
