N	3gram	Tiupa_Lite_1	Russkaja
1	то же время	5	10
2	в то же	5	10
3	с точки зрения	2	9
4	в том что	11	7
5	на самом деле	1	6
6	во всяком случае	2	6
7	до сих пор	1	5
8	на то что	1	4
9	бы то ни	1	4
10	к тому чтобы	1	4
11	не может быть	1	4
12	в лучшем случае	1	3
13	можно было бы	1	3
14	и то что	2	3
15	в данном случае	4	3
16	только в том	2	2
17	о том что	2	2
18	и тем самым	2	2
19	в большинстве случаев	1	2
20	в другом месте	1	1
21	и того же	1	1
22	но и от	1	1
23	состоит в том	5	1
24	прежде всего в	3	1
25	дело в том	2	1
26	в свою очередь	1	1
27	между прочим и	1	1
28	по отношению к	2	1
29	в самом деле	1	1
30	в том числе	1	1
31	в этом есть	1	1
32	в том же	3	1
33	может быть назван	1	1
34	прочим и как	1	1
35	и не только	1	1
36	по отношению ко	1	1
37	лишь тогда когда	1	1
38	только то что	1	1
39	в этом отношении	2	1
40	перед нами не	1	1
41	тот или иной	1	1
42	по крайней мере	1	1
43	не подлежит сомнению	1	1
44	жизни и в	1	1
45	и в частности	1	1
46	в значительной степени	1	1
47	оградить себя от	1	1
48	но в то	1	1
49	то ни было	1	1
50	жизни но и	1	1
51	но при этом	2	1
52	и в этом	1	1
53	по этому пути	1	1
54	для всей русской	1	1
55	внутри себя в	1	1
56	в связи с	4	1
57	без особых объяснений	1	1
58	в полной мере	1	1
59	или иной культурной	1	1
60	в этом и	1	1
61	тех или иных	1	1
62	с самого начала	1	1
63	но все же	1	1
64	одного и того	1	1
65	тем более что	1	1
66	средства воздействия на	1	1
67	тем не менее	2	1
68	во многих случаях	1	1
69	и прежде всего	3	1
70	быть не может	1	1
71	на первый взгляд	1	1
72	к тому же	1	1
73	не только от	1	1
74	и этот последний	1	1
75	том что для	1	1
