N	3gram	Vygotskiy__5	Sotsiolo
1	и заключается что	1	2
2	в том что	14	2
3	в конце концов	2	2
4	по отношению к	1	2
5	в том и	2	1
6	и в этом	1	1
7	только то что	1	1
8	по крайней мере	1	1
9	то что в	2	1
10	то же самое	3	1
11	именно в том	2	1
12	но стоит только	1	1
13	именно и заключается	1	1
14	в конечном счете	1	1
15	благодаря тому что	1	1
16	их друг от	1	1
17	друг от друга	2	1
18	по самому существу	1	1
19	а с другой	4	1
20	на первый план	2	1
21	в том именно	1	1
22	а в том	1	1
23	и никак не	1	1
24	чуть ли не	1	1
25	том именно и	1	1
26	в частности так	1	1
27	в лучшем случае	3	1
28	с одной стороны	12	1
29	том и заключается	2	1
