N	2gram	Berdyaev_O_1	Psycholo
1	то что	5	37
2	и в	19	30
3	в том	5	27
4	что в	4	24
5	и что	1	23
6	потому что	9	23
7	том что	2	21
8	того чтобы	4	20
9	все время	1	20
10	для того	3	20
11	как бы	3	19
12	на то	1	17
13	что он	3	17
14	не только	11	16
15	в этом	12	14
16	в самом	5	14
17	в нас	1	13
18	в сущности	1	12
19	может быть	11	11
20	если бы	1	11
21	о том	3	10
22	и то	2	9
23	никогда не	9	9
24	и когда	1	9
25	так как	2	9
26	не может	4	9
27	сказать что	2	9
28	самом деле	1	8
29	что это	1	8
30	он должен	1	8
31	заключается в	1	8
32	с тем	2	8
33	не в	11	8
34	и это	1	8
35	того что	3	8
36	а не	11	8
37	могут быть	3	8
38	но не	1	7
39	все же	2	7
40	и как	1	7
41	в нем	10	7
42	по себе	2	7
43	действующих лиц	1	7
44	как это	1	7
45	в своем	2	6
46	что она	1	6
47	что все	2	6
48	как и	6	6
49	и его	4	6
50	как будто	1	6
51	в совершенно	1	6
52	и здесь	1	6
53	уже в	2	6
54	двух противоположных	1	6
55	тем что	2	6
56	но и	13	6
57	и не	13	6
58	и для	2	6
59	совершенно не	1	6
60	жизни и	1	6
61	и есть	3	5
62	еще не	3	5
63	что они	2	5
64	когда он	3	5
65	в себе	3	5
66	в этой	5	5
67	было бы	3	5
68	был бы	1	5
69	существует между	1	5
70	но в	2	5
71	один из	1	5
72	а с	1	5
73	и потому	2	5
74	бы в	1	5
75	в своих	3	5
76	в виду	1	4
77	в ней	1	4
78	друг к	1	4
79	и к	2	4
80	и заключается	1	4
81	к другу	1	4
82	есть не	1	4
83	в них	1	4
84	в своей	2	4
85	не могли	2	4
86	действующие лица	1	4
87	заключает в	1	4
88	у нас	1	4
89	указывает на	1	4
90	по сравнению	1	4
91	мысль о	2	4
92	на примере	1	4
93	в его	7	4
94	чувств и	1	4
95	в конце	1	4
96	должен был	2	4
97	от того	1	4
98	говорит о	1	4
99	прежде всего	9	4
100	в частности	1	4
101	о чем	1	4
102	сравнению с	1	4
103	от него	7	4
104	и все	10	4
105	а в	5	4
106	не есть	2	4
107	сам по	1	3
108	тем же	1	3
109	мы не	1	3
110	и о	2	3
111	и на	2	3
112	в ее	2	3
113	он говорит	1	3
114	как в	1	3
115	в которой	2	3
116	он не	7	3
117	в силу	1	3
118	можно было	1	3
119	человека в	11	3
