N	2gram	Trubetskoy_1	Formalny
1	и в	23	24
2	в его	5	23
3	прежде всего	3	22
4	и не	8	20
5	так и	10	18
6	и пр	1	17
7	не может	17	16
8	точки зрения	13	16
9	в этом	12	15
10	в нем	3	14
11	может быть	16	14
12	таким образом	31	13
13	с точки	8	13
14	на почве	3	13
15	именно как	1	12
16	не менее	7	11
17	в своей	1	11
18	в их	4	11
19	социальной жизни	4	11
20	должно быть	4	11
21	как и	9	11
22	в своем	10	11
23	и ее	2	10
24	и их	5	10
25	вовсе не	2	10
26	настоящее время	2	10
27	то же	4	10
28	и его	1	10
29	в настоящее	2	10
30	а не	1	10
31	в ней	3	10
32	в то	6	9
33	и потому	3	9
34	в процессе	2	9
35	все это	11	9
36	же время	2	8
37	не в	8	8
38	и с	5	8
39	то что	18	8
40	произведения в	1	8
41	и на	6	8
42	как в	1	8
43	лишь в	5	8
44	именно в	5	8
45	в свою	2	8
46	на самом	7	7
47	но и	9	7
48	с ее	2	7
49	жизни и	2	7
50	до конца	1	7
51	не только	7	7
52	должна быть	5	7
53	и от	5	7
54	все эти	19	6
55	еще не	5	6
56	среды в	1	6
57	входит в	1	6
58	и все	7	6
59	сих пор	8	6
60	до сих	8	6
61	а в	3	6
62	художественное произведение	1	6
63	в том	30	6
64	в целом	5	6
65	отнюдь не	2	6
66	свою очередь	2	6
67	она не	2	6
68	или менее	7	6
69	более или	7	6
70	в этой	6	6
71	самом деле	12	6
72	было бы	3	6
73	социального общения	1	6
74	как бы	10	6
75	должны быть	3	5
76	при этом	9	5
77	только на	1	5
78	бы ни	1	5
79	во всех	10	5
80	хотя бы	4	5
81	того что	6	5
82	как мы	2	5
83	у нас	3	5
84	и истории	5	5
85	и свою	1	5
86	в самом	8	5
87	должен быть	1	5
88	с другой	6	5
89	но в	4	5
90	и до	3	5
91	со стороны	1	5
92	в которой	5	4
93	главным образом	1	4
94	во всяком	2	4
95	в связи	3	4
96	так же	8	4
97	отношению к	9	4
98	с другими	1	4
99	социальной группы	1	4
100	что в	8	4
101	с этой	3	4
102	независимо от	2	4
103	по отношению	9	4
104	и к	5	4
105	в истории	3	4
106	при таком	2	4
107	никогда не	4	4
108	всяком случае	2	4
109	и может	3	4
110	друг друга	2	4
111	одной стороны	2	4
112	для этого	7	4
113	отчасти и	1	4
114	с одной	3	4
115	в мире	6	4
116	быть и	5	4
117	к социальной	1	4
118	в частности	2	4
119	является лишь	1	4
120	конечно не	3	4
121	если бы	8	4
122	с его	1	4
123	как о	1	4
124	как на	4	4
125	сводится к	2	3
126	все же	13	3
127	для него	2	3
128	бы в	3	3
129	и наконец	3	3
130	от всех	1	3
131	бы то	2	3
132	отличается от	6	3
133	целый ряд	4	3
134	здесь не	1	3
135	связи с	4	3
136	не было	2	3
137	не по	1	3
138	в жизни	3	3
139	всего в	1	3
140	всех этих	4	3
141	тем самым	3	3
142	то ни	3	3
143	если он	2	3
144	но не	2	3
145	лучшем случае	1	3
146	смысле этого	1	3
147	ничем не	4	3
148	время в	1	3
149	жизнь и	3	3
150	отношение к	4	3
151	между ними	2	3
152	в широком	1	3
153	и отчасти	1	3
154	к тому	8	3
155	и даже	1	3
156	и других	2	3
157	на все	5	3
158	они не	2	3
159	направление в	1	3
160	культуры и	9	3
161	это и	1	3
162	у них	6	3
163	в отношении	1	3
164	зависимости от	1	3
165	один из	1	3
166	и история	1	3
167	ясно что	8	3
168	перестает быть	1	3
169	в основе	2	3
170	в каждом	1	3
171	в них	2	3
172	этого слова	2	3
173	как к	5	3
174	и всякое	1	3
175	мы не	1	3
176	его в	5	3
177	в области	4	3
178	он должен	2	3
179	что он	7	3
180	роли в	1	3
181	в общем	6	3
182	в лучшем	1	3
183	и как	1	3
184	в себе	5	3
185	дело идет	1	3
186	он не	3	3
187	но для	2	3
188	не могла	1	2
189	приводит к	1	2
190	и вот	1	2
191	вопрос о	3	2
192	если же	3	2
193	тех же	2	2
194	ее от	1	2
195	за исключением	1	2
196	на их	1	2
197	всем этим	1	2
198	от этого	1	2
199	нас не	1	2
200	и развития	1	2
201	и со	1	2
202	как с	1	2
203	орудий производства	1	2
204	из этой	2	2
205	этой работы	1	2
206	науки о	1	2
207	была бы	1	2
208	оно было	1	2
209	вполне понятно	1	2
210	вступает в	1	2
211	к которому	1	2
212	иначе как	1	2
213	социальной среды	1	2
214	а только	1	2
215	и те	2	2
216	в другой	1	2
217	от друга	6	2
218	сами же	1	2
219	же они	1	2
220	своем целом	2	2
221	с тем	2	2
222	в нашем	3	2
223	том чтобы	2	2
224	эта же	1	2
225	но все	5	2
226	и должен	1	2
227	целом ряде	3	2
228	жизни в	1	2
229	вместе с	6	2
230	к действительности	1	2
231	следовательно и	1	2
232	а лишь	2	2
233	впечатление что	1	2
234	не так	4	2
235	являются лишь	1	2
236	нет и	1	2
237	между тем	12	2
238	это не	3	2
239	мы видели	2	2
240	к ней	1	2
241	на него	2	2
242	а как	1	2
243	ко всем	3	2
244	как элемент	1	2
245	каждого из	1	2
246	что такое	1	2
247	данного произведения	1	2
248	с этим	11	2
249	во всем	3	2
250	культуры с	2	2
251	в создании	1	2
252	их на	1	2
253	тот или	1	2
254	всю свою	1	2
255	ничего не	1	2
256	единство и	1	2
257	только в	6	2
258	даже и	1	2
259	или для	1	2
260	уже не	1	2
261	и если	6	2
262	и заключается	1	2
263	или иначе	5	2
264	только не	2	2
265	одна из	2	2
266	в зависимости	1	2
267	ни было	2	2
268	он в	1	2
269	же как	3	2
270	от того	3	2
271	на всю	1	2
272	на его	1	2
273	именно того	1	2
274	во всей	1	2
275	что и	7	2
276	не от	1	2
277	самые эти	1	2
278	и что	8	2
279	однако не	1	2
280	в результате	9	2
281	является конечно	1	2
282	в науке	1	2
283	входящих в	2	2
284	и развитие	2	2
285	в различных	1	2
286	в своих	2	2
287	техники и	1	2
288	не приходится	1	2
289	по существу	6	2
290	друг от	6	2
291	таким же	3	2
292	от нее	2	2
293	все более	1	2
294	этом пункте	1	2
295	если мы	4	2
296	и особенно	2	2
297	в самой	2	2
298	мире а	1	2
299	с ним	6	2
300	в эту	2	2
301	и это	3	2
302	мира в	1	2
303	на нее	2	2
304	для этой	1	2
305	для всякого	1	2
306	социальная жизнь	1	2
307	все в	2	2
308	не заметит	1	2
309	иная чем	1	2
310	не есть	2	2
311	и более	2	2
312	к таким	2	1
313	они вовсе	1	1
314	что каждый	1	1
315	что между	1	1
316	почти все	2	1
317	и состоит	2	1
318	произведения своей	1	1
319	для всех	1	1
320	уже о	1	1
321	общим достоянием	1	1
322	этого стремления	1	1
323	в борьбе	1	1
324	очень много	3	1
325	не знает	2	1
326	том что	19	1
327	и из	2	1
328	сравнению с	5	1
329	смысл и	1	1
330	большей степени	1	1
331	для нас	3	1
332	языка то	1	1
333	все те	1	1
334	данном случае	3	1
335	тогда как	6	1
336	менее в	1	1
337	очень остро	1	1
338	числе и	1	1
339	из этого	6	1
340	говорить о	2	1
341	и социальная	1	1
342	однако эти	1	1
343	бы к	1	1
344	на природу	1	1
345	что они	2	1
346	людей и	1	1
347	частей и	1	1
348	а это	2	1
349	в более	1	1
350	нет в	2	1
351	что как	4	1
352	никто не	2	1
353	к этим	1	1
354	уже знаем	1	1
355	этой цели	1	1
356	в этот	1	1
357	в общий	2	1
358	чем другие	2	1
359	его собственной	4	1
360	их взаимоотношения	1	1
361	этими двумя	2	1
362	сравнительно редких	1	1
363	чем их	2	1
364	и эти	1	1
365	итак социальная	1	1
366	отличные от	2	1
367	просто не	1	1
368	кроме того	1	1
369	и просто	1	1
370	разобранные нами	1	1
371	для самого	2	1
372	эта борьба	1	1
373	друг другу	1	1
374	касается до	8	1
375	и социальной	2	1
376	зависит от	1	1
377	отличия от	1	1
378	культуры как	3	1
379	только при	2	1
380	меньше чем	2	1
381	потому вполне	1	1
382	с понятием	1	1
383	на то	9	1
384	в виде	4	1
385	с ней	1	1
386	быть вполне	2	1
387	к нему	2	1
388	в сознании	6	1
389	говоря уже	1	1
390	науки в	1	1
391	но самые	1	1
392	ней и	1	1
393	увидим что	1	1
394	обстоит дело	1	1
395	поэтому что	4	1
396	пришлось бы	2	1
397	этого нельзя	1	1
398	но вместе	1	1
399	и другие	1	1
400	действительности к	1	1
401	в предшествующую	1	1
402	в эпохи	2	1
403	и без	5	1
404	всех своих	1	1
405	не были	1	1
406	на котором	1	1
407	или иная	1	1
408	по сравнению	5	1
409	можем не	1	1
410	если в	1	1
411	того чтобы	8	1
412	другими словами	2	1
413	мы попытаемся	1	1
414	данной эпохи	1	1
415	из себя	10	1
416	и традициями	1	1
417	это конечно	2	1
418	ничего общего	3	1
419	наряду с	1	1
420	зрения в	1	1
421	между прочим	2	1
422	а особенно	1	1
423	в каждую	1	1
424	но даже	3	1
425	тем как	1	1
426	самой природе	1	1
427	за эту	1	1
428	и культуры	4	1
429	то в	2	1
430	социальных процессов	1	1
431	мы попытались	1	1
432	этот процесс	2	1
433	вместо того	1	1
434	действительности от	1	1
435	совсем не	1	1
436	и всех	1	1
437	целое для	1	1
438	стоять на	1	1
439	вся его	2	1
440	всей эволюции	1	1
441	привести в	1	1
442	по своей	7	1
443	этих новых	1	1
444	том и	2	1
445	развиваться в	3	1
446	все-таки не	4	1
447	существует в	1	1
448	от тех	3	1
449	что же	2	1
450	к этому	5	1
451	этого не	1	1
452	все то	2	1
453	между собой	4	1
454	а именно	1	1
455	и сама	1	1
456	а для	2	1
457	их а	1	1
458	например в	1	1
459	что касается	6	1
460	совершенно не	3	1
461	потому что	9	1
462	если они	1	1
463	на этой	2	1
464	культуры в	10	1
465	знаем что	8	1
466	к решению	1	1
467	в другом	2	1
468	и притом	1	1
469	видим что	1	1
470	работы и	2	1
471	мы дадим	1	1
472	этой точки	1	1
473	образом оказывается	1	1
474	деле это	1	1
475	время от	2	1
476	высшей степени	1	1
477	еще более	1	1
478	культуре и	4	1
479	хотя и	4	1
480	только что	3	1
481	последнее время	1	1
482	человека но	1	1
483	такой же	2	1
484	с которыми	2	1
485	как из	1	1
486	поэтому мы	1	1
487	исторического развития	2	1
488	может не	3	1
489	в этих	3	1
490	из его	1	1
491	из которых	4	1
492	не могут	4	1
493	всем вообще	1	1
494	мы и	2	1
495	не во	1	1
496	то эти	1	1
497	взглядов на	1	1
498	те кто	1	1
499	не имеет	1	1
500	проникнуть в	1	1
501	была несколько	1	1
502	среде но	1	1
503	между двумя	5	1
504	в современной	1	1
505	так что	5	1
506	ведь если	1	1
507	на которой	1	1
508	вполне понятна	1	1
509	пути к	1	1
510	для этих	1	1
511	свою силу	1	1
512	всего назвать	1	1
513	они и	1	1
514	в усвоении	1	1
515	ведь в	1	1
516	из этих	8	1
