N	2gram	Bakhtin_Pr_5	VLabPisa
1	таким образом	7	27
2	в этом	14	26
3	и в	35	25
4	не только	10	22
5	может быть	14	21
6	хотя бы	2	20
7	и не	27	19
8	не может	18	17
9	в его	21	15
10	в процессе	1	14
11	в письме	1	14
12	этом отношении	1	13
13	в том	5	13
14	прежде всего	12	13
15	все это	14	12
16	вот что	1	11
17	с другой	4	11
18	из них	3	11
19	в качестве	1	10
20	не могут	1	10
21	о том	2	10
22	то же	15	9
23	что в	6	9
24	об этом	1	9
25	для него	14	9
26	но и	14	9
27	к этому	1	9
28	в своем	2	8
29	реальной действительности	1	8
30	ни один	1	8
31	все эти	3	8
32	не следует	1	8
33	другой стороны	3	8
34	говорит и	1	8
35	во всех	3	7
36	по отношению	6	7
37	было бы	3	7
38	как и	18	7
39	том что	3	7
40	говорит о	2	7
41	а не	4	7
42	вместе с	2	7
43	же в	1	7
44	отношению к	7	7
45	это и	3	6
46	в себе	5	6
47	в нем	16	6
48	главным образом	1	6
49	идеи и	1	6
50	это не	3	6
51	их в	2	6
52	том же	1	6
53	и его	14	6
54	в то	11	6
55	так и	8	6
56	между тем	4	6
57	бы и	2	6
58	у него	4	6
59	в основном	1	6
60	то что	10	6
61	одним из	1	5
62	в их	1	5
63	зависимости от	1	5
64	все же	8	5
65	в пределах	11	5
66	в плане	6	5
67	и при	1	5
68	не в	10	5
69	тому что	2	5
70	же время	10	5
71	связи с	1	5
72	образы и	1	5
73	приводит к	2	5
74	один из	1	5
75	действующих лиц	1	5
76	он говорит	1	5
77	как бы	31	5
78	не является	1	5
79	в результате	1	5
80	сказать что	3	5
81	только в	6	5
82	и сводится	1	4
83	с его	7	4
84	в этой	1	4
85	чем же	1	4
86	вот как	4	4
87	перед нами	1	4
88	когда он	3	4
89	в самом	6	4
90	в целом	3	4
91	в статье	1	4
92	что все	2	4
93	них не	1	4
94	в них	4	4
95	даже в	5	4
96	одна из	1	4
97	никогда не	4	4
98	к тому	6	4
99	для его	2	4
100	в ее	3	4
101	можно сказать	1	4
102	с ними	5	4
103	что он	24	4
104	в одном	6	4
105	как раз	4	4
106	художественное произведение	1	4
107	всего произведения	1	4
108	в романе	1	4
109	в своей	4	4
110	например в	2	3
111	в котором	3	3
112	из его	2	3
113	и он	2	3
114	в которых	2	3
115	видели что	1	3
116	но как	4	3
117	нет и	4	3
118	что они	6	3
119	с этим	3	3
120	и как	2	3
121	и к	12	3
122	всех этих	2	3
123	и по	2	3
124	его в	4	3
125	далеко не	1	3
126	что не	4	3
127	с тем	3	3
128	в слове	6	3
129	мы видели	2	3
130	во время	5	3
131	точки зрения	7	3
132	и ее	1	3
133	что говорит	1	3
134	а вот	1	3
135	со своим	2	3
136	сводится к	3	3
137	она не	1	3
138	том как	1	3
139	образом в	1	3
140	в виду	3	3
141	никак не	1	3
142	в значительной	1	3
143	что и	3	3
144	и мир	2	3
145	того что	3	3
146	большей или	1	3
147	или меньшей	1	3
148	этот вопрос	1	3
149	и их	1	3
150	даже и	3	3
151	момент в	1	3
152	из приведенных	1	3
153	в конце	5	3
154	мы знаем	2	3
155	в творчестве	4	3
156	него в	1	3
157	так же	7	3
158	некоторые из	1	3
159	при всем	1	3
160	и от	3	3
161	или в	2	3
162	бы в	4	3
163	действительной жизни	1	3
164	только что	3	3
165	как на	1	3
166	ту же	1	2
167	чтобы не	2	2
168	и через	1	2
169	без них	1	2
170	он может	1	2
171	и этот	2	2
172	уже по	1	2
173	по его	1	2
174	а как	2	2
175	в которой	2	2
176	говорить о	3	2
