N	3gram	Losev_Dial_2	VLabPisa
1	и т д	15	15
2	в этом отношении	1	13
3	и т п	2	9
4	с другой стороны	4	8
5	не может быть	3	8
6	более или менее	2	6
7	в зависимости от	2	5
8	то же время	4	5
9	в то же	3	5
10	не могут быть	2	4
11	в связи с	4	4
12	можно сказать что	3	4
13	равно как и	1	4
14	в том что	6	4
15	о том как	1	3
16	и в то	1	3
17	вместе с тем	1	3
18	бы и не	1	3
19	большей или меньшей	1	3
20	это и есть	1	3
21	о том что	4	3
22	к тому что	1	3
23	том отношении что	1	2
24	не может не	3	2
25	одной стороны и	1	2
26	по одному тому	1	2
27	подобно тому как	1	2
28	до сих пор	2	2
29	только то что	4	2
30	и не может	1	2
31	в частности к	1	2
32	одному тому что	1	2
33	по крайней мере	9	2
34	говорить не о	1	2
35	на эти вопросы	1	2
36	с одной стороны	1	2
37	в конце концов	1	2
38	во всяком случае	2	2
39	в том отношении	1	2
40	от того что	2	2
41	и в другом	1	2
42	и может быть	3	1
43	бросается в глаза	1	1
44	того или другого	1	1
45	то это вовсе	1	1
46	том смысле что	3	1
47	в той или	2	1
48	это то что	1	1
49	в виду не	1	1
50	иметь в виду	2	1
51	то время как	3	1
52	в самом деле	3	1
53	но даже и	1	1
54	в этом смысле	1	1
55	а не по	1	1
56	если он не	1	1
57	же как и	1	1
58	том как он	1	1
59	не созданы то	1	1
60	как это было	2	1
61	как и все	2	1
62	главным образом в	1	1
63	говоря уже о	2	1
64	в таком случае	3	1
65	сами по себе	3	1
66	сама по себе	7	1
67	но и в	1	1
68	из них и	1	1
69	это вовсе не	2	1
70	может быть и	3	1
71	теснейшим образом связана	1	1
72	со всех сторон	1	1
73	то или иное	4	1
74	одно и то	4	1
75	ни в какой	2	1
76	ту или иную	1	1
77	же в таком	1	1
78	так или иначе	2	1
79	приводит к тому	1	1
80	в данном случае	2	1
81	может быть даже	1	1
82	не только в	2	1
83	и не быть	1	1
84	от обычного хода	1	1
85	то же самое	2	1
86	и то же	4	1
87	так же как	1	1
88	не самый принцип	1	1
89	это как мы	1	1
90	как будто бы	3	1
91	по сравнению с	1	1
92	то же но	1	1
93	не в том	1	1
94	в поэзии и	1	1
95	все же не	1	1
96	вовсе не значит	1	1
97	е более или	1	1
98	к религии и	1	1
99	т е более	1	1
100	а не только	1	1
101	именно в том	1	1
102	время никогда не	1	1
103	того или иного	1	1
104	в то время	3	1
105	не говоря уже	2	1
106	и вместе с	1	1
107	та или иная	2	1
108	образом связана с	1	1
109	вопрос о том	1	1
110	той или иной	1	1
111	мы говорим о	1	1
112	есть одно и	1	1
113	же время никогда	1	1
114	уже сама по	1	1
115	в братьях карамазовых	1	1
116	в том смысле	4	1
117	и процессов в	1	1
118	мы только что	1	1
119	все это не	1	1
120	может быть в	3	1
121	дело не в	1	1
122	к тому же	1	1
123	не значит что	3	1
124	только тогда когда	4	1
125	не в этом	1	1
126	т е в	3	1
