N	3gram	Bakhtin_Fr_1	RusskieA
1	в том что	6	15
2	и в других	2	4
3	в связи с	1	4
4	в настоящее время	1	3
5	с точки зрения	3	3
6	но и на	1	2
7	но это не	1	2
8	и связанные с	1	2
9	в это время	2	2
10	и многие другие	1	2
11	один из них	1	2
12	в других местах	1	2
13	но все же	2	2
14	в большинстве случаев	2	2
15	потому что он	1	1
16	еще далеко не	1	1
17	сказать что в	1	1
18	по отношению к	1	1
19	на самом деле	2	1
20	всяком случае не	1	1
21	греков и римлян	1	1
22	одна из основных	1	1
23	они ничего не	1	1
24	и не только	1	1
25	идет не о	1	1
26	на тех же	1	1
27	можно говорить о	1	1
28	в них в	1	1
29	на самом же	3	1
30	в этом отношении	3	1
31	в собственном смысле	1	1
32	на этот вопрос	2	1
33	может быть правильно	1	1
34	некоторые из них	1	1
35	и у других	2	1
36	так как он	1	1
37	для дальнейшего развития	1	1
38	очень интересный и	1	1
39	не потому что	1	1
40	мы наблюдаем в	1	1
41	не только в	1	1
42	еще и в	1	1
43	в отличие от	4	1
44	во всех этих	2	1
45	на весь мир	1	1
46	во многих отношениях	1	1
47	потому что по	1	1
48	во всяком случае	1	1
49	в целом ряде	1	1
50	и в том	2	1
51	самом же деле	3	1
52	бросается в глаза	1	1
53	и пр и	1	1
54	так например в	1	1
55	были связаны с	2	1
56	в одном из	1	1
57	можно сказать что	1	1
58	они были связаны	1	1
59	во второй половине	2	1
60	как мы уже	5	1
61	это приводит к	1	1
62	он так и	1	1
63	и в городах	1	1
64	мы видим что	1	1
65	друг с другом	1	1
66	между прочим в	1	1
67	слово для обозначения	1	1
