N	3gram	Vygotskiy__1	SlovoVZh
1	не может быть	8	7
2	можно сказать что	1	5
3	дело в том	1	4
4	в том что	9	4
5	тем не менее	2	3
6	этой точки зрения	5	3
7	до сих пор	3	3
8	имеет в виду	2	3
9	в художественном произведении	3	3
10	и то же	1	2
11	в какой степени	1	2
12	к автору и	1	2
13	в такой же	1	2
14	мы никогда не	4	2
15	на самом деле	2	2
16	с другой стороны	5	2
17	мы все время	1	2
18	то же самое	2	2
19	одной стороны и	1	2
20	с точки зрения	2	2
21	художественного произведения и	1	2
22	в зависимости от	5	2
23	одно и то	1	2
24	в настоящее время	2	2
25	формы и содержания	1	2
26	с одной стороны	5	2
27	тех или иных	2	1
28	но прежде всего	1	1
29	в виду и	1	1
30	и в поэзии	1	1
31	один и тот	1	1
32	и тому же	1	1
33	и в этом	1	1
34	как например в	1	1
35	никогда не поймем	1	1
36	и потому не	1	1
37	там же где	2	1
38	какой степени не	1	1
39	художественное произведение если	1	1
40	мы имеем дело	1	1
41	к содержанию как	1	1
42	уже не может	1	1
43	то время как	5	1
44	одним и тем	1	1
45	более или менее	2	1
46	друг к другу	1	1
47	во всяком случае	6	1
48	так как в	1	1
49	уже и сейчас	1	1
50	в самом деле	7	1
51	в этом смысле	2	1
52	между тем как	1	1
53	по себе не	2	1
54	же как и	1	1
55	прежде всего совершенно	1	1
56	и таким образом	2	1
57	можно определить как	1	1
58	в то время	5	1
59	хотя бы только	1	1
60	обе точки зрения	1	1
61	в особом объяснении	1	1
62	что мы имеем	1	1
63	сами по себе	1	1
64	таким образом мы	1	1
65	ни в коем	1	1
66	в свою очередь	1	1
67	весь круг вопросов	1	1
68	если мы обратимся	1	1
69	о том что	7	1
70	только то что	1	1
71	в этом отношении	2	1
72	искусства и в	1	1
73	с самого начала	1	1
74	то что я	2	1
75	в конечном счете	3	1
76	совершенно ясно что	14	1
77	тому же самому	2	1
78	несмотря на это	1	1
79	ни в какой	3	1
80	художественного произведения с	2	1
81	подобно тому как	5	1
82	не может стать	2	1
83	включает в себя	1	1
84	в основе своей	1	1
85	зависимости от изменения	1	1
86	даже тогда когда	1	1
87	можно найти в	1	1
88	формы то мы	1	1
89	мы обратимся к	1	1
90	при таком понимании	1	1
91	может быть только	1	1
92	точек зрения и	1	1
93	отнюдь не является	1	1
94	в коем случае	1	1
95	и в частности	1	1
96	не совпадают с	1	1
97	в том и	2	1
98	как не может	1	1
99	в такой степени	1	1
100	сама по себе	2	1
101	одно из его	1	1
102	теории искусства и	1	1
103	по самому существу	3	1
104	так же как	4	1
105	но мы можем	1	1
106	для нас не	1	1
107	как и в	4	1
108	и тем же	1	1
109	следствием того что	1	1
110	к тому же	1	1
111	одному и тому	1	1
112	мы увидим что	2	1
113	в том же	1	1
114	и тот же	1	1
