N	2gram	Tiupa_Lite_2	IolandNe
1	и с	3	3
2	и не	11	2
3	в этом	9	2
4	он не	5	2
5	что в	4	2
6	ничего не	3	2
7	же это	1	1
8	себя в	6	1
9	автора и	1	1
10	и др	3	1
11	а для	1	1
12	и в	19	1
13	и о	1	1
14	с жизнью	1	1
15	я не	5	1
16	то и	3	1
17	а по	1	1
18	бы в	1	1
19	более чем	1	1
20	того же	4	1
21	с другой	8	1
22	а в	3	1
23	пишет и	1	1
24	вплоть до	3	1
25	еще одной	1	1
26	художественного творчества	2	1
27	того что	5	1
28	в художественном	2	1
29	о жизни	1	1
30	и без	2	1
31	а с	1	1
32	другой стороны	4	1
33	и еще	2	1
34	не так	2	1
35	для него	4	1
36	а также	2	1
37	в основе	2	1
38	могло бы	2	1
39	и сам	2	1
40	художественном творчестве	1	1
41	отношению к	3	1
42	ненависть к	1	1
43	а если	2	1
44	неудивительно что	1	1
45	так и	7	1
46	от этого	1	1
47	того чтобы	1	1
48	не случайно	4	1
49	никогда не	3	1
50	его личности	1	1
51	жизни и	4	1
52	тем что	4	1
53	в целом	2	1
54	по отношению	4	1
55	очевидно что	2	1
56	в них	2	1
57	все эти	1	1
58	по существу	3	1
59	что роман	1	1
60	со всеми	1	1
61	для того	2	1
