N	3gram	Tiupa_Hudo_1	OGranits
1	с точки зрения	3	5
2	не может быть	2	4
3	по отношению к	8	3
4	автора героя и	2	2
5	в самом деле	4	2
6	полном соответствии с	1	2
7	не чем иным	1	2
8	в данном случае	1	2
9	в полном соответствии	1	2
10	с одной стороны	1	2
11	того или иного	2	2
12	ничего общего с	1	2
13	чем иным как	1	2
14	с самого начала	1	2
15	в том что	6	2
16	том что в	2	1
17	что ведь и	1	1
18	только потому что	2	1
19	сказал что они	1	1
20	этой точки зрения	1	1
21	более или менее	1	1
22	на самом деле	1	1
23	то же самое	1	1
24	чтение про себя	1	1
25	в отличие от	1	1
26	в этом отношении	3	1
27	можно было бы	4	1
28	с этой точки	1	1
29	является не чем	1	1
30	по себе а	1	1
31	ту или иную	2	1
32	которым можно было	1	1
33	в узком смысле	1	1
34	в науке о	1	1
35	если говорить о	2	1
36	состоит в том	1	1
37	а также и	1	1
38	тем не менее	3	1
39	в этот момент	1	1
40	в связи с	3	1
41	отношению к другим	1	1
42	прежде всего в	1	1
43	то же время	8	1
44	узком смысле слова	1	1
45	та или иная	3	1
46	не только на	1	1
47	но в то	3	1
48	в конечном счете	2	1
49	на то что	2	1
50	в то же	8	1
51	к тому что	4	1
52	тому что он	2	1
53	как и в	3	1
54	или иного конкретного	1	1
