N	2gram	Berdyaev_M_1	VerxiiNi
1	и в	28	26
2	с тем	9	18
3	в этом	20	15
4	вместе с	6	15
5	точки зрения	4	13
6	как бы	2	12
7	в том	6	11
8	не только	29	10
9	и с	3	10
10	может быть	30	10
11	религиозном сознании	1	9
12	в области	1	9
13	так как	3	9
14	но и	25	9
15	что в	10	9
16	но не	8	8
17	и у	2	8
18	и не	11	8
19	но в	7	7
20	том что	3	7
21	потому что	16	7
22	в эпоху	1	7
23	к нему	7	7
24	в религиозном	1	7
25	то что	5	7
26	все же	2	6
27	все эти	2	6
28	в себе	7	6
29	всяком случае	1	6
30	в отношении	1	6
31	к тому	3	6
32	так и	1	6
33	о том	2	6
34	в конце	7	6
35	что и	4	6
36	и потому	10	6
37	все это	6	6
38	во всяком	1	6
39	отношение к	4	5
40	сих пор	2	5
41	и к	2	5
42	в силу	1	5
43	в мире	10	5
44	лишь в	6	5
45	не имеет	3	5
46	того чтобы	2	5
47	никогда не	14	5
48	для того	2	5
49	в его	9	5
50	до сих	2	5
51	а не	25	5
52	к жизни	1	5
53	и для	2	5
54	так же	1	5
55	одной из	1	5
56	в котором	8	4
57	в течение	1	4
58	целый ряд	1	4
59	в самом	11	4
60	учение о	3	4
61	в этой	6	4
62	и по	4	4
63	то есть	3	4
64	должен был	4	4
65	он не	24	4
66	бога и	10	4
67	в которых	4	4
68	в то	2	4
69	в нем	13	4
70	а в	4	4
71	и что	2	4
72	и только	1	4
73	только в	6	4
74	и вместе	4	4
75	русской жизни	1	4
76	на этот	2	4
77	культурных ценностей	1	4
78	не может	28	4
79	в смысле	1	4
80	и от	2	4
81	в этих	4	4
82	во время	1	4
83	что он	10	4
84	из всех	1	3
85	не вполне	1	3
86	к богу	3	3
87	если в	1	3
88	в своем	10	3
89	и нет	2	3
90	когда он	3	3
91	и как	2	3
92	за собой	2	3
93	душа человека	1	3
94	в которой	6	3
95	и те	2	3
96	духовной культуры	1	3
97	европейской культуры	1	3
98	без бога	1	3
99	всегда и	1	3
100	русского народа	1	3
101	подойти к	1	3
102	оказывается что	2	3
103	если бы	2	3
104	не менее	1	3
105	к концу	4	3
106	и о	1	3
107	уже с	1	3
108	культуры и	1	3
109	в значительной	1	3
110	путь к	1	3
111	того что	7	3
112	хотя бы	3	3
113	так что	1	3
114	уже не	4	3
115	для него	11	3
116	в одном	1	3
117	к ним	1	3
118	и даже	1	3
119	с ней	2	3
120	с этой	4	3
121	конце концов	2	3
122	отношению к	2	3
123	к этому	2	3
124	всем и	1	2
125	одним из	2	2
126	связана с	2	2
127	и это	12	2
128	когда человек	3	2
129	имя его	1	2
130	его не	3	2
131	мы имеем	1	2
132	ни у	1	2
133	еще не	1	2
134	и на	6	2
135	с его	3	2
136	во всех	1	2
137	относится к	2	2
138	и наконец	1	2
139	он в	2	2
140	был всегда	1	2
141	с именем	1	2
142	не к	4	2
143	не как	4	2
144	из него	1	2
145	его от	1	2
146	людей и	2	2
147	заключает в	3	2
148	связан с	1	2
149	к другу	1	2
150	них не	1	2
151	на все	1	2
152	в них	4	2
153	но если	3	2
154	не в	16	2
155	в россии	2	2
156	как от	1	2
157	вплоть до	1	2
158	этими двумя	1	2
159	не могло	1	2
160	в разных	1	2
161	в самой	7	2
162	с одним	1	2
163	и после	1	2
164	ему в	1	2
165	не потому	1	2
166	не могут	5	2
167	отличается от	2	2
168	время он	1	2
169	этот путь	3	2
170	приводит к	2	2
171	в образе	1	2
172	особенно в	3	2
173	по сравнению	2	2
174	в виду	2	2
175	с того	2	2
176	добра и	5	2
177	между тем	1	2
178	у всех	2	2
179	быть и	1	2
180	по своей	2	2
181	один из	4	2
182	мира его	1	2
183	и действительно	1	2
184	между этими	1	2
185	от них	1	2
186	конечно не	3	2
187	уже в	4	2
188	душа его	2	2
189	в начале	2	2
190	в путях	2	2
191	одно из	3	2
192	от бога	1	2
193	нее не	1	2
194	и из	1	2
195	русской интеллигенции	1	2
196	по своим	1	2
197	к которому	1	2
198	прежде всего	10	2
199	связано с	2	2
200	не было	18	2
201	может ли	1	2
202	и все	10	2
203	если не	1	2
204	человек должен	6	2
205	и мир	2	2
206	по своему	2	2
207	сравнению с	1	2
208	на пути	4	2
209	что мы	1	2
210	только для	1	2
211	сознании и	1	2
212	от человека	3	2
213	пути к	1	2
214	но когда	1	2
215	из себя	1	2
216	в свою	2	2
217	к культуре	1	2
218	сказать что	2	2
219	к его	1	2
220	ко всему	1	2
221	к религии	1	2
222	жизни и	2	2
223	можно назвать	1	2
224	все что	2	2
225	хуже всего	1	1
226	эта новая	1	1
227	с новыми	2	1
228	себя как	1	1
229	только он	1	1
230	к людям	1	1
231	вряд ли	3	1
232	чтобы не	2	1
233	в этот	2	1
234	начинается с	1	1
235	и через	1	1
236	становится в	1	1
237	смысле слова	4	1
238	своеобразные черты	1	1
239	самом деле	1	1
240	или к	4	1
241	это и	4	1
242	и есть	14	1
243	этого мира	3	1
244	недоступной для	1	1
245	и до	1	1
246	к учению	2	1
247	и этот	4	1
248	и злым	1	1
249	мы уже	1	1
250	не прошли	1	1
251	а как	2	1
252	образ с	1	1
253	есть единственное	2	1
254	возврат к	1	1
255	он знает	2	1
256	мы не	1	1
257	мир не	2	1
258	бы и	3	1
259	мир его	1	1
260	с небывалым	1	1
261	учению о	2	1
262	свое завершение	1	1
263	время как	2	1
264	оно есть	1	1
265	было очень	1	1
266	в ней	15	1
267	не иметь	2	1
268	связи со	1	1
269	мы читаем	1	1
270	за это	1	1
271	художественном творчестве	1	1
272	природы и	1	1
273	в духовном	1	1
274	друг к	1	1
275	своей души	2	1
276	и всякий	1	1
277	в сторону	1	1
278	же она	1	1
279	по отношению	2	1
280	культуру и	1	1
281	с психологической	1	1
282	отличие от	1	1
283	что они	1	1
284	себя в	3	1
285	и свободное	1	1
286	человек может	2	1
287	природы это	3	1
