N	4gram	Trubetskoy_1	VLabPisa
1	в то же время	2	5
2	образом по отношению к	1	2
3	и не может быть	1	2
4	таким образом по отношению	1	2
5	в том числе и	1	2
6	до сих пор не	2	1
7	в этой области не	1	1
8	говоря уже о том	1	1
9	в том или ином	1	1
10	одно и то же	1	1
11	в начале этой главы	1	1
12	что ни одна из	1	1
13	с этой точки зрения	1	1
14	не в том что	1	1
15	уже о том что	1	1
16	но с другой стороны	1	1
17	и так или иначе	1	1
18	в то время как	1	1
19	именно в том что	1	1
20	но вместе с тем	1	1
21	нет и не может	1	1
22	а в том что	1	1
23	приводит к тому что	1	1
24	в том же духе	1	1
25	не подлежит сомнению что	3	1
26	не говоря уже о	1	1
