N	3gram	Medvedev_S_1	Problema
1	по отношению к	2	19
2	в конечном счете	1	4
3	в противном случае	1	3
4	с одной стороны	1	3
5	то же время	1	3
6	в том что	2	3
7	в то же	1	3
8	то же самое	1	2
9	на первый план	1	2
10	в лучшем случае	1	2
11	и в то	1	2
12	сказать и о	1	2
13	именно в том	1	1
14	но она может	1	1
15	а между тем	1	1
16	самое должно сказать	1	1
17	как бы они	1	1
18	и в таких	1	1
19	бы они ни	1	1
20	дает нам право	1	1
21	в настоящее время	1	1
22	в том и	1	1
23	о том как	1	1
24	не было бы	1	1
25	конечно не в	1	1
26	же самое должно	1	1
27	отношению к которому	1	1
28	и в этом	1	1
29	не в том	2	1
30	в связи с	1	1
31	не должна быть	1	1
32	должно сказать и	1	1
33	а в том	1	1
34	в свои права	1	1
35	то что в	1	1
36	социологический метод не	1	1
37	это и есть	1	1
38	выходит за пределы	1	1
39	не выходит за	1	1
40	они ни были	1	1
41	дело конечно не	1	1
