N	3gram	Ircho_Kome_2	Tvorches
1	то же время	3	7
2	в то же	3	7
3	в соответствии с	1	4
4	по отношению к	3	3
5	до сих пор	2	3
6	не может быть	1	3
7	если не считать	1	2
8	в самом деле	1	2
9	в одной из	2	2
10	и в то	1	2
11	в отличие от	2	2
12	в наше время	1	2
13	едва ли не	5	2
14	в том же	1	2
15	во всяком случае	2	2
16	с другой стороны	1	2
17	так и в	1	2
18	и т п	2	2
19	о том что	4	2
20	в том что	5	2
21	аргументом в пользу	2	2
22	такой силой как	1	1
23	в повседневной жизни	1	1
24	потому что в	1	1
25	в том числе	3	1
26	имеет в виду	1	1
27	столь же ясно	1	1
28	в первую очередь	3	1
29	а может быть	1	1
30	что в нем	1	1
31	и чуть ли	1	1
32	можно было бы	2	1
33	точно так же	1	1
34	но уже в	1	1
35	только потому что	2	1
36	потому что граф	1	1
37	в этой связи	1	1
38	как будто бы	1	1
39	же ясно что	1	1
40	из действующих лиц	1	1
41	в чем же	1	1
42	с такой силой	1	1
43	так и не	1	1
44	в свою очередь	1	1
45	той или иной	1	1
46	в связи с	3	1
47	к тому же	10	1
48	что у него	2	1
49	в целом ряде	1	1
50	приходит в голову	1	1
51	целом ряде случаев	1	1
52	в начале xx	1	1
53	в то время	3	1
54	того или иного	1	1
55	что он был	1	1
56	не означает что	1	1
57	то что не	1	1
58	с самого начала	1	1
59	в частности в	2	1
60	том числе и	1	1
61	и в литературе	1	1
62	в каждом из	1	1
63	в поле зрения	2	1
64	и в том	1	1
65	каждом из нас	1	1
66	не приходит в	1	1
67	о том чтобы	1	1
68	молодого человека в	1	1
69	признать что в	1	1
70	вообще говоря не	1	1
71	но если у	1	1
