N	3gram	Kanaev_Sov_1	Myslijsy
1	по отношению к	1	8
2	заключает в себе	1	8
3	в том что	1	7
4	в этом случае	1	5
5	по крайней мере	1	5
6	не может быть	4	5
7	то же самое	2	4
8	до сих пор	1	4
9	и в этом	1	4
10	тем не менее	2	4
11	на самом деле	1	3
12	с точки зрения	5	3
13	в том случае	1	3
14	во всяком случае	2	3
15	когда мы говорим	1	3
16	то же время	1	3
17	мы не можем	6	3
18	в то же	1	3
19	что иное как	1	2
20	и до сих	1	2
21	сами по себе	1	2
22	сказать несколько слов	1	2
23	на этот вопрос	1	2
24	но тем не	1	2
25	в данном случае	1	2
26	не могут быть	1	2
27	все более и	1	2
28	не в том	1	2
29	один и тот	1	2
30	равно как и	1	2
31	более и более	1	2
32	не что иное	1	2
33	и тот же	1	2
34	мы это увидим	1	1
35	и есть то	1	1
36	дело в том	1	1
37	и той же	1	1
38	в настоящее время	2	1
39	он может быть	1	1
40	а потом и	1	1
41	смысле можно говорить	1	1
42	как происходит это	1	1
43	и еще более	1	1
44	можем ли мы	1	1
45	мы должны признать	1	1
46	и та же	1	1
47	а может быть	1	1
48	не было бы	1	1
49	таким образом все	1	1
50	в одном направлении	1	1
51	и не может	1	1
52	может быть только	1	1
53	не подлежит сомнению	2	1
54	может быть и	2	1
55	иметь место только	1	1
56	мы не знаем	1	1
57	с одной стороны	1	1
58	в связи с	1	1
59	может иметь место	1	1
60	в свою очередь	2	1
61	одна и та	1	1
62	в свое время	1	1
63	первое и основное	1	1
64	есть не что	1	1
65	нуждаются в объяснении	1	1
66	же самое что	1	1
67	с самого начала	3	1
68	самый вопрос о	2	1
69	заключают в себе	1	1
70	не более как	1	1
71	мы говорим о	1	1
72	одной и той	1	1
73	и мы получим	1	1
74	в себе в	1	1
75	том случае когда	1	1
76	именно в том	1	1
77	мы видели что	3	1
