N	4gram	Bakhtin_Pr_2	Formalny
1	в то же время	5	8
2	с одной стороны и	1	4
3	как если бы оно	1	2
4	и не может быть	1	2
5	если бы оно было	1	2
6	но в то же	3	2
7	может быть более или	2	1
8	с точки зрения своей	1	1
9	и т п в	1	1
10	в большинстве же случаев	1	1
11	более или менее глубокой	1	1
12	в том числе и	1	1
13	не с точки зрения	1	1
14	и до сих пор	1	1
15	бы то ни было	1	1
16	тем не менее в	1	1
17	и до настоящего времени	1	1
18	мы увидим дальше что	1	1
19	в настоящее время начинает	1	1
20	занимает очень важное место	1	1
21	быть более или менее	2	1
22	то же время не	1	1
