N	2gram	Losev_Prob_2	VelikijI
1	и не	37	20
2	и в	35	16
3	так как	7	9
4	то что	38	9
5	еще не	10	8
6	в истории	3	8
7	что они	3	7
8	на земле	1	7
9	а не	10	7
10	и потому	1	7
11	не есть	33	6
12	на себя	1	5
13	но и	16	5
14	того что	12	5
15	хотя и	3	5
16	все это	4	5
17	что есть	1	5
18	как бы	4	5
19	и есть	4	4
20	говорить о	10	4
21	в его	7	4
22	в этом	17	4
23	что он	4	4
24	потому что	13	4
25	в нем	1	4
26	так и	7	4
27	что все	6	4
28	что не	5	4
29	как и	5	4
30	что мы	14	4
31	в ней	2	4
32	и все	5	4
33	все что	3	4
34	в абсолютном	1	3
35	от этого	1	3
36	и что	13	3
37	должна быть	1	3
38	хотя бы	12	3
39	то это	3	3
40	как не	1	3
41	лишь в	3	3
42	с его	1	3
43	во всех	2	3
44	мы же	2	3
45	что и	2	3
46	и будет	1	3
47	в том	12	3
48	тот же	4	3
49	но в	6	3
50	в вопросе	1	3
51	бы и	7	3
52	по этому	3	3
53	все эти	7	3
54	от которого	1	3
55	в конце	7	3
56	их в	4	3
57	и мы	2	3
58	ни в	6	3
59	в них	2	3
60	не было	3	3
61	должно быть	2	3
62	если не	4	3
63	в этих	4	3
64	нет ничего	2	3
65	что во	1	3
66	не в	2	3
67	тому что	3	3
68	но это	6	3
69	не имеет	7	3
70	никогда не	1	3
71	превращается в	1	3
72	и для	6	3
73	к тому	3	3
74	что в	11	3
75	оно не	3	3
76	и это	5	2
77	того чтобы	2	2
78	и то	10	2
79	не имел	2	2
80	но мы	3	2
81	и сам	2	2
82	и т	6	2
83	можно было	5	2
84	мы не	7	2
85	с ним	1	2
86	будет уже	1	2
87	под этим	5	2
88	мы это	2	2
89	и во	1	2
90	и будут	1	2
91	к нам	1	2
92	между тем	1	2
93	нет и	3	2
94	которые не	2	2
95	только в	14	2
96	ничего и	1	2
97	конечно не	2	2
98	уже не	8	2
99	не только	24	2
100	все тот	1	2
101	раз навсегда	1	2
102	не так	2	2
103	не могли	1	2
104	людей не	1	2
105	вот почему	1	2
106	тем что	4	2
107	на том	3	2
108	не будет	11	2
109	в число	1	2
110	это не	1	2
111	т д	6	2
112	а с	1	2
113	и люди	1	2
114	прежде всего	11	2
115	для них	3	2
116	все равно	3	2
117	с тем	3	2
118	мы и	6	2
119	один из	3	2
120	вопросе о	1	2
121	для человека	1	2
122	и тогда	1	2
123	мира в	1	2
124	зачем же	2	2
125	не могут	4	2
126	является в	2	2
127	которой они	1	2
128	значения и	11	2
129	самого себя	2	2
130	что было	1	2
131	да и	10	2
132	и окончательное	1	2
133	одна из	3	2
134	что их	2	2
135	уже на	1	2
136	том что	19	2
137	для нас	9	2
138	и теперь	1	2
139	ее в	1	2
140	людей и	1	2
141	давно уже	1	2
142	помыслить в	1	2
143	а в	4	2
144	но не	4	2
145	во всяком	13	2
146	всегда в	1	1
147	глубокие и	1	1
148	речь идет	2	1
149	как мы	5	1
150	в виду	8	1
151	пусть не	4	1
152	для себя	9	1
153	ни стало	1	1
154	и до	1	1
155	роль в	2	1
156	свое место	2	1
157	и самое	1	1
158	не имеют	1	1
159	значение в	4	1
160	мы будем	1	1
161	для человеческого	1	1
162	то же	5	1
163	лет назад	3	1
164	а существует	1	1
165	их и	1	1
166	и которые	2	1
167	от всякой	2	1
168	нам уже	1	1
169	в результате	4	1
170	и тут	4	1
171	это только	3	1
172	всего только	1	1
173	вопрос о	3	1
174	основана на	2	1
175	идти в	1	1
176	часто бывают	1	1
177	и вообще	16	1
178	находится в	1	1
179	говорят что	2	1
180	я не	1	1
181	и ее	2	1
182	свой предмет	1	1
183	не был	4	1
184	зависимости от	2	1
185	целое и	1	1
186	в их	3	1
187	и на	5	1
188	он был	1	1
189	и который	1	1
190	бы то	2	1
191	что оно	2	1
192	к нему	2	1
193	окончательного и	1	1
194	но как	6	1
195	важный для	1	1
196	если в	1	1
197	себе и	2	1
198	бы в	3	1
199	не просто	11	1
200	нам право	1	1
201	крайней мере	6	1
202	и можно	3	1
203	и чем	1	1
204	что бы	1	1
205	во что	1	1
206	и уж	5	1
207	мы дадим	1	1
208	его на	1	1
209	как в	1	1
210	и пусть	3	1
211	чудо что	1	1
212	в своем	4	1
213	известном смысле	1	1
214	что нет	1	1
215	все же	8	1
216	но с	1	1
217	еще больше	1	1
218	и думать	1	1
219	могли бы	3	1
220	есть что-нибудь	1	1
221	ли он	3	1
222	утверждают что	1	1
223	и свою	2	1
224	и хотя	2	1
225	в разные	2	1
226	и так	1	1
227	это очень	1	1
228	в самом	5	1
229	у них	1	1
230	что это	1	1
231	в целом	3	1
232	тоже не	7	1
233	в этой	9	1
234	в известном	1	1
235	же и	2	1
236	им в	1	1
237	своей целью	1	1
238	уже в	3	1
239	то и	4	1
240	то уж	2	1
241	тем чтобы	1	1
242	в виде	6	1
243	и если	3	1
244	или даже	3	1
245	но от	1	1
246	о которой	1	1
247	перестает быть	3	1
248	не будут	1	1
249	в понимании	2	1
250	вовсе не	37	1
251	не для	1	1
252	существует и	4	1
253	отношение к	1	1
254	но что	1	1
255	и по	3	1
256	на этом	1	1
257	бы все	1	1
258	переход к	1	1
259	тут не	1	1
260	на нее	1	1
261	для того	3	1
262	без такого	1	1
263	то ни	3	1
264	в едином	1	1
265	в состоянии	2	1
266	всякого содержания	1	1
267	и с	10	1
268	уже последние	1	1
269	а его	1	1
270	мы им	1	1
271	и менее	1	1
272	с другой	6	1
273	есть не	6	1
274	в глазах	1	1
275	еще и	5	1
276	и тем	4	1
277	нового времени	1	1
278	говорит о	1	1
279	и своего	1	1
280	она и	2	1
281	и опять	1	1
282	может ли	3	1
283	мы скажем	3	1
284	тоже ведь	1	1
285	ничем не	2	1
286	и уже	1	1
287	для чего	1	1
288	между собою	4	1
289	о чем	6	1
290	более глубокое	1	1
291	могут сказать	3	1
292	в одно	2	1
293	только мы	2	1
294	вместе с	2	1
295	так же	5	1
