N	3gram	Potebnia_M_4	Freidism
1	с точки зрения	3	11
2	по отношению к	8	8
3	во всяком случае	3	7
4	не может быть	5	7
5	в большинстве случаев	2	5
6	то же время	3	4
7	в то же	3	4
8	в данном случае	2	4
9	на самом деле	3	4
10	можно сказать что	4	4
11	для того чтобы	4	3
12	в таком случае	2	3
13	к тому чтобы	1	3
14	на этот вопрос	2	3
15	и тот же	2	3
16	и той же	1	3
17	один и тот	2	3
18	в свою очередь	1	3
19	с самого начала	1	3
20	одной и той	1	3
21	можем сказать что	2	3
22	то же самое	4	2
23	что же касается	1	2
24	и по отношению	2	2
25	до сих пор	4	2
26	и не может	1	2
27	и не подозревает	1	2
28	может быть и	1	2
29	не могут быть	2	2
30	все то что	1	2
31	в этом отношении	1	2
32	с одной стороны	1	2
33	тем не менее	4	2
34	на всю жизнь	1	2
35	мы видели что	1	2
36	большую роль в	1	1
37	для нее нет	1	1
38	к дальнейшему развитию	1	1
39	нет и не	1	1
40	только потому что	2	1
41	даже тогда когда	1	1
42	мы имеем возможность	1	1
43	да и не	1	1
44	и материи и	1	1
45	ответить на этот	1	1
46	по меньшей мере	1	1
47	равно как и	2	1
48	ее влияние на	1	1
49	и в отношении	1	1
50	как бы ни	1	1
51	другими словами мы	1	1
52	в этом случае	5	1
53	но тем не	2	1
54	хотя бы и	2	1
55	до известной степени	2	1
56	того что мы	1	1
57	представлений и слов	1	1
58	можно говорить о	1	1
59	мы должны признать	1	1
60	по отношению ко	1	1
61	нам в голову	1	1
62	что все эти	1	1
63	не было бы	1	1
64	вместе с этим	2	1
65	со всех сторон	1	1
66	по крайней мере	5	1
67	мы старались показать	1	1
68	если же мы	1	1
69	тот же предмет	1	1
70	не в его	1	1
71	можем ли мы	1	1
72	того что он	1	1
73	мы не знаем	1	1
74	чтобы ответить на	1	1
75	на первый взгляд	1	1
76	связанная с ним	1	1
77	человека и все	1	1
78	но при этом	1	1
79	не имеющие ничего	1	1
80	и потому не	1	1
81	то что как	1	1
82	а может быть	1	1
83	это относится и	1	1
84	сих пор не	1	1
85	это было бы	1	1
86	находится в сознании	1	1
87	таким образом в	1	1
88	старались показать что	1	1
89	имеющие ничего общего	1	1
90	в голову по	1	1
91	как уже сказано	1	1
92	мы не можем	3	1
93	от того что	3	1
94	в то время	1	1
95	сказать и о	1	1
96	о том что	5	1
97	ничего общего с	1	1
98	не только не	3	1
99	в связь с	1	1
100	но и не	1	1
101	относится и к	1	1
102	смысле этого слова	1	1
103	то время когда	1	1
104	как бы широко	1	1
105	и быть не	1	1
106	мы говорим в	1	1
107	и т д	3	1
108	в слове и	1	1
109	то же что	1	1
110	быть не может	1	1
111	этом мы можем	1	1
112	в том что	7	1
113	на одну сторону	1	1
114	что и в	2	1
115	не теряет своей	1	1
116	конечно не в	1	1
