N	3gram	Medvedev_F_2	Stilisti
1	в то же	5	9
2	в зависимости от	3	7
3	то же время	5	7
4	для того чтобы	3	7
5	с точки зрения	7	5
6	того или иного	4	5
7	прежде всего в	2	4
8	в свою очередь	1	4
9	с самого начала	2	4
10	на самом деле	3	3
11	в этом случае	1	3
12	во всех своих	1	3
13	в той же	1	3
14	но и в	3	3
15	то или иное	1	3
16	в конце концов	2	3
17	и тем самым	1	3
18	но все же	2	3
19	как мы видели	4	3
20	равно как и	1	2
21	и в то	3	2
22	вместе с тем	4	2
23	как мы увидим	1	2
24	ничего не останется	1	2
25	не было бы	1	2
26	в этом отношении	7	2
27	в значительной степени	3	2
28	но в то	1	2
29	содержание и форму	1	2
30	смысле этого слова	1	2
31	но при этом	1	2
32	чуть ли не	1	2
33	у нас не	1	2
34	не может быть	10	2
35	что же такое	1	2
36	что перед нами	1	2
37	есть не что	1	2
38	не что иное	1	2
39	связи с этим	3	2
40	что иное как	1	2
41	с тем и	2	2
42	в связи с	10	2
43	к тому что	2	2
44	речевого общения в	2	2
45	что же делает	1	1
46	как к своему	1	1
47	было говорить о	2	1
48	прежде всего на	1	1
49	особое место в	1	1
50	теми или иными	1	1
51	не останется как	1	1
52	более или менее	1	1
53	не говоря уже	1	1
54	в самом деле	5	1
55	и в особенности	1	1
56	же время и	1	1
57	можно говорить лишь	1	1
58	языка и не	1	1
59	речи но все	1	1
60	как раз и	3	1
61	прежде всего у	1	1
62	должно было быть	1	1
63	до сих пор	1	1
64	другого человека на	1	1
65	правильному решению вопроса	1	1
66	в собственном смысле	1	1
67	при этом не	1	1
68	на этот вопрос	1	1
69	как и от	1	1
70	по крайней мере	1	1
71	в своем развитии	1	1
72	целого произведения и	1	1
73	этого слова мы	1	1
74	в большинстве случаев	3	1
75	в литературном произведении	1	1
76	ни на один	2	1
77	тем что он	1	1
78	именно так и	1	1
79	и в этом	5	1
80	тем не менее	1	1
81	но даже и	1	1
82	иметь в виду	1	1
83	тем же самым	1	1
84	в виду что	1	1
85	тем что его	1	1
86	между этими двумя	2	1
87	вследствие того что	1	1
88	образом мы приходим	1	1
89	в том насколько	1	1
90	таким образом в	1	1
91	мы не можем	1	1
92	таким образом мы	1	1
93	на другого человека	1	1
94	между тем в	1	1
95	хотя бы в	3	1
96	подвести некоторые итоги	1	1
97	и не может	3	1
98	мы имеем в	1	1
99	с другой стороны	3	1
100	только в том	1	1
101	в самом широком	1	1
102	но все эти	1	1
103	мы приходим к	2	1
104	не может ведь	1	1
105	вовсе не является	1	1
106	в том что	2	1
107	слово как таковое	1	1
108	в последнем счете	1	1
109	что оно является	1	1
110	как и в	1	1
111	что же останется	1	1
112	органов речи и	1	1
