N	3gram	Nazirov_Tv_2	Istorich
1	и т д	11	16
2	с другой стороны	2	8
3	в ином мире	1	5
4	о том что	2	5
5	так же как	2	4
6	что у него	1	4
7	в том что	2	4
8	еще не все	1	3
9	не может быть	3	3
10	точно так же	1	2
11	в одной из	2	2
12	т д в	1	2
13	но это не	1	2
14	на этот вопрос	2	2
15	до сих пор	3	2
16	так и в	2	2
17	мы не можем	1	2
18	в то время	1	2
19	другой стороны и	1	2
20	на то чтобы	1	2
21	как и в	1	2
22	о том как	1	1
23	мы знаем что	1	1
24	хотя и не	1	1
25	только потому что	1	1
26	на глазах у	1	1
27	по отношению к	3	1
28	в самом деле	2	1
29	т д и	1	1
30	же как и	1	1
31	в нем и	1	1
32	чтобы иметь представление	1	1
33	то это означало	1	1
34	в другом месте	1	1
35	о том чтобы	1	1
36	и т п	2	1
37	можно было бы	1	1
38	что они имеют	1	1
39	у него за	1	1
40	и что в	1	1
41	в этой связи	1	1
42	в первый раз	1	1
43	это одна из	1	1
44	в которой он	1	1
45	все же не	2	1
46	в связи с	1	1
47	и потому что	1	1
48	при этом на	1	1
49	но уже в	1	1
50	ответ на этот	1	1
51	перед нами открывается	1	1
52	и всякий раз	1	1
53	ином мире на	1	1
54	к самому себе	1	1
