N	3gram	Propp_Isto_1	Problemy
1	и т п	1	9
2	в большинстве случаев	4	8
3	до сих пор	5	7
4	по отношению к	3	5
5	в отличие от	2	4
6	не может быть	7	4
7	друг с другом	3	4
8	и т д	22	4
9	более или менее	5	3
10	можно было бы	3	3
11	к тому же	1	3
12	как мы увидим	2	3
13	с другой стороны	5	3
14	но в то	1	3
15	никак не может	1	3
16	в этом смысле	1	2
17	друг на друга	1	2
18	на этот вопрос	2	2
19	то время как	3	2
20	тем не менее	6	2
21	в то время	3	2
22	никогда не может	1	2
23	на друга и	1	2
24	но все же	3	2
25	на то что	4	2
26	в этих случаях	2	2
27	по себе но	1	2
28	о том как	1	1
29	если бы он	1	1
30	он живет в	1	1
31	но кроме того	1	1
32	по существу своему	1	1
33	мере того как	2	1
34	иметь в виду	1	1
35	уже не может	1	1
36	прежде всего в	1	1
37	дело в том	3	1
38	большей или меньшей	2	1
39	кажется что в	1	1
40	так что в	1	1
41	по мере того	2	1
42	то же самое	3	1
43	одной стороны и	1	1
44	же как и	1	1
45	этот вопрос всегда	1	1
46	а не как	1	1
47	сами по себе	1	1
48	так как его	1	1
49	бы то ни	2	1
50	лишь тогда когда	1	1
51	но и в	2	1
52	а может быть	1	1
53	так как если	1	1
54	как он их	1	1
55	настолько тесно что	1	1
56	всем этим явлениям	1	1
57	возникает вопрос о	1	1
58	же относится и	1	1
59	в значительной степени	1	1
60	той почвой на	1	1
61	его отношения к	1	1
62	нет мы увидим	1	1
63	то ни было	2	1
64	с одной стороны	4	1
65	смысле этого слова	1	1
66	в связи с	3	1
67	но в отличие	2	1
68	не найдем ни	1	1
69	как один из	1	1
70	как мы это	1	1
71	то мы не	2	1
72	т е если	1	1
73	в большей или	1	1
74	все же не	2	1
75	мы не найдем	1	1
76	никогда не пользуется	1	1
77	с другом что	1	1
78	не менее и	1	1
79	о том что	3	1
80	но тем не	1	1
81	в такой форме	1	1
82	почвой на которой	1	1
83	само по себе	2	1
84	в одном из	1	1
85	приведем еще один	1	1
86	без другого и	1	1
87	а что он	1	1
88	на которой он	1	1
89	а не на	2	1
90	если бы не	1	1
91	после того как	1	1
92	таким образом и	1	1
93	и что он	1	1
94	и в нем	1	1
95	в том что	4	1
96	все это не	1	1
97	но здесь он	1	1
98	мы увидим что	5	1
