N	2gram	Berdyaev_V_1	slovoVRo
1	и в	16	39
2	может быть	1	37
3	и т	2	35
4	то есть	1	26
5	не только	2	24
6	и не	20	22
7	но и	5	21
8	в нем	4	19
9	в этом	4	16
10	все это	5	16
11	так и	4	15
12	а не	7	14
13	человек и	1	14
14	как в	1	13
15	в процессе	1	13
16	во всех	3	12
17	в истории	8	11
18	вовсе не	1	10
19	и с	1	9
20	не в	3	9
21	оно не	3	8
22	прежде всего	2	8
23	еще не	8	7
24	с его	3	7
25	в этих	3	7
26	для него	2	7
27	с ним	2	7
28	никогда не	3	7
29	могут быть	2	7
30	как мы	1	7
31	в его	4	7
32	и потому	7	7
33	как бы	5	7
34	но не	2	6
35	в своем	1	6
36	все же	1	6
37	но в	3	6
38	все эти	3	6
39	в них	3	6
40	как и	4	6
41	она не	1	6
42	жизни и	3	6
43	человека в	1	5
44	это не	2	5
45	том что	2	5
46	не могут	2	5
47	но все	1	5
48	мира и	1	5
49	с другой	1	5
50	один из	2	5
51	в том	3	5
52	с ними	1	5
53	конечно не	2	5
54	уже не	2	5
55	и для	3	5
56	только в	2	5
57	для нас	2	5
58	от него	2	5
59	и все	4	5
60	его не	2	4
61	и на	1	4
62	отношение к	1	4
63	то же	1	4
64	слова не	1	4
65	художественный образ	1	4
66	ни в	3	4
67	одна из	2	4
68	во всем	1	4
69	зависимости от	1	4
70	что оно	1	4
71	так как	9	4
72	себя и	1	4
73	и мир	1	4
74	а в	2	4
75	слова с	1	4
76	как это	1	3
77	должна быть	3	3
78	человека и	6	3
79	говорить о	4	3
80	в чем	3	3
81	своим словом	1	3
82	бы и	3	3
83	человеке и	1	3
84	на этом	1	3
85	не с	2	3
86	лишь в	3	3
87	не была	1	3
88	и остается	1	3
89	в ней	4	3
90	к нему	1	3
91	между тем	2	3
92	что и	3	3
93	или даже	1	3
94	у него	1	3
95	и от	1	3
96	но это	3	3
97	что в	3	3
98	хотя бы	3	3
99	во всяком	2	3
100	мы не	2	2
101	но она	1	2
102	не был	1	2
103	но как	1	2
104	менее всего	1	2
105	в новом	1	2
106	хотя и	5	2
107	роль в	1	2
108	но прежде	1	2
109	т д	2	2
110	в виде	1	2
111	людей и	2	2
112	значение в	1	2
113	конечно в	1	2
114	уже сказано	1	2
115	формах в	1	2
116	и другие	1	2
117	в их	1	2
118	на котором	1	2
119	того как	1	2
120	того чтобы	2	2
121	в одном	1	2
122	в речах	1	2
123	его нужно	1	2
124	исторические силы	1	2
125	в себя	2	2
126	на него	1	2
127	но мы	2	2
128	своим предметом	1	2
129	в форме	2	2
130	людей с	1	2
131	что он	4	2
132	мы увидим	1	2
133	это очень	1	2
134	же и	1	2
135	уже в	1	2
136	его и	2	2
137	в прошлом	2	2
138	для того	1	2
139	то что	9	2
140	не было	3	2
141	них и	1	2
142	с которым	1	2
143	не всегда	1	2
144	в одно	1	2
145	вместе с	1	2
146	эта идея	1	2
147	если оно	1	2
148	и нет	1	2
149	в результате	1	2
150	в новых	1	2
151	жизни в	1	2
152	может и	1	2
153	все что	4	2
154	они не	1	2
155	от этой	1	1
156	совсем как	1	1
157	нем нет	2	1
158	речь идет	1	1
159	наших дней	1	1
160	пусть не	1	1
161	и есть	4	1
162	мы слышим	2	1
163	и до	1	1
164	и за	2	1
165	и могут	1	1
166	есть не	1	1
167	миру и	1	1
168	что уже	1	1
169	для раскрытия	1	1
170	нас это	1	1
171	свой предмет	1	1
172	как не	3	1
173	мира вне	1	1
174	освобождения от	2	1
175	людей в	3	1
176	конечно это	1	1
177	и освобождения	1	1
178	к ним	1	1
179	его во	3	1
180	ивана карамазова	2	1
181	не просто	1	1
182	в едином	1	1
183	и ложь	1	1
184	материалом для	2	1
185	его на	1	1
186	своей и	1	1
187	нас за	2	1
188	могли бы	1	1
189	и свою	1	1
190	все новые	1	1
191	в самом	1	1
192	в целом	1	1
193	сущности и	1	1
194	в этой	1	1
195	от необходимости	1	1
196	в исторических	1	1
197	действии и	1	1
198	лишено всякого	1	1
199	и сам	2	1
200	не преодолевается	1	1
201	и по	1	1
202	в мире	5	1
203	а его	1	1
204	как мог	1	1
205	свободного и	1	1
206	и тем	1	1
207	том пути	1	1
208	в общественной	1	1
209	соединение в	2	1
210	все равно	2	1
211	ведет к	1	1
212	и авторитет	1	1
213	в своей	3	1
214	их сознания	1	1
215	если нет	1	1
216	освободиться от	1	1
217	в двух	1	1
218	себя не	1	1
219	и сказал	1	1
220	и два	1	1
221	и уже	1	1
222	карамазова и	1	1
223	ничего не	1	1
224	она с	1	1
225	в русском	1	1
226	это слово	1	1
227	но теперь	2	1
228	в сознании	1	1
229	звучит в	1	1
230	их от	3	1
231	в образах	1	1
232	слова очень	1	1
233	в духе	2	1
234	и всех	1	1
235	указать на	1	1
236	всего что	1	1
237	и это	2	1
238	и самое	1	1
239	в виду	1	1
240	и говорит	1	1
241	на том	2	1
242	и которые	1	1
243	игру с	1	1
244	глубокие и	1	1
245	возможно в	1	1
246	свободной и	2	1
247	это как	1	1
248	нас и	3	1
249	но может	1	1
250	никогда и	1	1
251	из образов	1	1
252	человеком как	1	1
253	и что	3	1
254	людей как	1	1
