N	3gram	Tiupa_Narr_1	Otkroven
1	никогда не было	1	2
2	а не в	2	2
3	не может быть	5	2
4	и не быть	1	1
5	и богаче чем	1	1
6	прежде всего в	1	1
7	том что в	1	1
8	в самом деле	1	1
9	и больше всего	1	1
10	так и не	2	1
11	может быть осуществлено	1	1
12	и когда он	1	1
13	все та же	2	1
14	в его жизни	1	1
15	не было и	1	1
16	сам по себе	1	1
17	само по себе	1	1
18	о том что	6	1
19	в этом отношении	3	1
20	как это часто	1	1
21	ни с чем	1	1
22	но и там	1	1
23	он еще не	1	1
24	и прежде всего	1	1
25	в том что	8	1
26	а иногда и	1	1
27	он ни был	1	1
28	но от этого	1	1
29	нет у него	2	1
30	бы он ни	1	1
31	отличается в этом	1	1
32	и не в	4	1
33	и то что	1	1
34	которым можно было	2	1
35	отличается от всех	1	1
36	что нет у	2	1
37	друг с другом	1	1
38	что это за	1	1
39	а не только	1	1
40	с его собственным	1	1
41	как и в	1	1
