N	2gram	Medvedev_F_2	BTomashe
1	у нас	1	3
2	и не	20	2
3	все это	3	2
4	в ней	6	2
5	литературных произведений	2	2
6	можно было	1	2
7	не то	3	2
8	крайней мере	1	1
9	по теории	3	1
10	художественного произведения	6	1
11	же не	1	1
12	за пределы	1	1
13	говорить о	5	1
14	и в	38	1
15	не вполне	1	1
16	и о	2	1
17	в речи	1	1
18	со всем	1	1
19	к ней	1	1
20	на выражение	4	1
21	говорить не	2	1
22	с другой	3	1
23	в своей	7	1
24	значение слова	2	1
25	без понимания	1	1
26	литературы как	1	1
27	на самом	3	1
28	как будто	1	1
29	не следует	4	1
30	из ее	1	1
31	и нет	1	1
32	было бы	6	1
33	все же	8	1
34	всяком случае	5	1
35	а о	3	1
36	кроме того	2	1
37	установка на	2	1
38	между ними	2	1
39	точке зрения	2	1
40	было и	2	1
41	художественном произведении	1	1
42	и на	3	1
43	в пределах	12	1
44	представляется нам	1	1
45	теории литературы	1	1
46	одной из	1	1
47	должна быть	5	1
48	в значительной	3	1
49	нет но	1	1
50	к формальному	1	1
51	прежде всего	15	1
52	томашевского и	1	1
53	в данном	1	1
54	и во	1	1
55	так и	8	1
56	формалистической поэтики	3	1
57	о них	1	1
58	не было	6	1
59	то как	1	1
60	в книге	1	1
61	его не	2	1
62	является только	1	1
63	совершенно не	4	1
64	чтобы можно	1	1
65	далеко не	1	1
66	не о	4	1
67	как таковому	1	1
68	всего в	2	1
69	было говорить	2	1
70	до конца	2	1
71	нельзя не	1	1
72	а не	6	1
73	в научном	1	1
74	что в	7	1
75	в области	3	1
76	другой стороны	4	1
77	поэтика должна	1	1
78	методологической позиции	1	1
79	творчества и	1	1
80	и ее	6	1
81	формализма и	2	1
82	произведения все	1	1
83	по крайней	1	1
84	отнюдь не	8	1
85	таким образом	20	1
86	материала по	1	1
87	вопрос о	1	1
88	и более	2	1
89	не только	9	1
90	значительной степени	3	1
91	и исторической	1	1
92	во всяком	5	1
93	в эпоху	2	1
