N	2gram	Voloshinov_1	VelikijI
1	и не	26	20
2	и в	19	16
3	так как	2	9
4	то что	8	9
5	еще не	4	8
6	в истории	3	8
7	а не	7	7
8	и потому	5	7
9	не есть	3	6
10	но и	8	5
11	по пути	1	5
12	того что	3	5
13	хотя и	1	5
14	все это	3	5
15	что есть	1	5
16	как бы	15	5
17	и есть	3	4
18	в образе	1	4
19	говорить о	1	4
20	в его	6	4
21	в этом	16	4
22	что он	2	4
23	потому что	1	4
24	в нем	10	4
25	так и	11	4
26	что все	2	4
27	что не	2	4
28	как и	12	4
29	что мы	1	4
30	в котором	3	4
31	в ней	4	4
32	в силах	1	4
33	и все	5	4
34	от этого	2	3
35	и что	1	3
36	должна быть	2	3
37	хотя бы	5	3
38	лишь в	9	3
39	в чем	2	3
40	с его	1	3
41	во всех	7	3
42	мы же	1	3
43	что и	2	3
44	и будет	1	3
45	в том	6	3
46	тот же	4	3
47	но в	7	3
48	бы и	2	3
49	все эти	7	3
50	и они	1	3
51	его во	1	3
52	в конце	5	3
53	их в	1	3
54	в своей	3	3
55	ни в	2	3
56	не было	3	3
57	должно быть	2	3
58	нет ничего	3	3
59	что во	2	3
60	что я	1	3
61	не в	5	3
62	тому что	2	3
63	не имеет	3	3
64	никогда не	2	3
65	превращается в	1	3
66	и для	11	3
67	к тому	2	3
68	жизни и	2	3
69	что в	4	3
70	людей в	1	3
71	а между	1	2
72	и это	3	2
73	нем нет	2	2
74	того чтобы	5	2
75	и то	1	2
76	в книгах	1	2
77	от своей	1	2
78	по которым	2	2
79	можно было	2	2
80	его не	1	2
81	мы не	6	2
82	в последнем	1	2
83	вместо того	1	2
84	ее и	1	2
85	и во	2	2
86	так для	1	2
87	между тем	3	2
88	жизни все	1	2
89	нет и	4	2
90	материалом для	1	2
91	его к	2	2
92	только в	9	2
93	конечно не	5	2
94	уже не	1	2
95	не только	8	2
96	превращаются в	1	2
97	для него	9	2
98	тем что	2	2
99	не будет	4	2
100	это не	1	2
101	истории и	1	2
102	прежде всего	13	2
103	для них	2	2
104	все равно	1	2
105	с тем	1	2
106	нет еще	2	2
107	не могут	3	2
108	является в	3	2
109	значения и	1	2
110	что было	1	2
111	одна из	2	2
112	том что	3	2
113	людей так	2	2
114	от него	2	2
115	в форме	1	2
116	они и	2	2
117	ее в	1	2
118	но теперь	1	2
119	которым можно	1	2
120	а в	4	2
121	но не	1	2
122	в духе	1	2
123	могут быть	2	2
124	чтобы сделать	1	2
125	всего в	1	2
126	во всяком	5	2
127	и своих	1	1
128	прибавить к	1	1
129	от этой	1	1
130	к полному	1	1
131	как мы	13	1
132	в виду	2	1
133	в ее	7	1
134	не успели	2	1
135	лишь художественный	1	1
136	дело во	1	1
137	и до	1	1
138	свое место	1	1
139	в нашу	3	1
140	не имеют	3	1
141	значение в	1	1
142	и которую	2	1
143	то же	7	1
144	из всего	1	1
145	эти силы	1	1
146	в результате	9	1
147	вопрос о	4	1
148	остается не	1	1
149	и вообще	2	1
150	его способность	1	1
151	реакция на	2	1
152	и ее	3	1
153	зависимости от	2	1
154	и на	4	1
155	своей природной	1	1
156	бы то	8	1
157	оно ни	3	1
158	отказ от	1	1
159	все в	2	1
160	к нему	1	1
161	ее к	1	1
162	как найти	1	1
163	ко всякому	2	1
164	но как	1	1
165	от них	1	1
166	менее всего	2	1
167	а потому	1	1
168	но нет	1	1
169	себе и	2	1
170	бы в	2	1
171	не просто	2	1
172	мы дадим	1	1
173	существует как	2	1
174	его на	1	1
175	как в	4	1
176	и мир	1	1
177	в своем	2	1
178	сознание могло	1	1
179	все же	8	1
180	в двух	2	1
181	и воплощение	1	1
182	могли бы	1	1
183	мы видим	1	1
184	с ними	1	1
185	мы увидим	1	1
186	и так	1	1
187	со своей	1	1
188	в самом	10	1
189	идет конечно	2	1
190	у них	1	1
191	в которой	3	1
192	образа в	1	1
193	что это	1	1
194	бы ни	1	1
195	в целом	1	1
196	средство для	1	1
197	существует лишь	2	1
198	тоже не	1	1
199	в этой	1	1
200	в известном	1	1
201	же и	2	1
202	вот в	2	1
203	и современная	1	1
204	уже в	1	1
205	от необходимости	1	1
206	в которую	1	1
207	и если	1	1
208	по законам	3	1
209	каким образом	1	1
210	или даже	1	1
211	перестает быть	1	1
212	искать в	1	1
213	в понимании	2	1
214	же они	2	1
215	его если	1	1
216	и вот	1	1
217	вовсе не	5	1
218	себя от	2	1
219	отношение к	1	1
220	нашего времени	1	1
221	но что	1	1
222	и по	1	1
223	его хотя	1	1
224	человека в	2	1
225	на нее	1	1
226	лишь к	1	1
227	бы это	1	1
228	для того	4	1
229	то ни	8	1
230	в едином	1	1
231	конечно в	2	1
232	и с	2	1
233	ними как	2	1
234	а его	1	1
235	с другой	5	1
236	художественный образ	2	1
237	лишь на	1	1
238	и быть	1	1
239	еще и	1	1
240	бытия в	7	1
241	и тем	1	1
