N	2gram	Vinokur_St_3	UchenyiS
1	и в	25	14
2	а не	5	10
3	не только	12	10
4	прежде всего	10	8
5	и не	10	8
6	не может	7	7
7	вот почему	1	7
8	в этом	24	7
9	то что	12	7
10	может быть	19	6
11	то же	5	5
12	и только	2	5
13	все это	8	5
14	хотя бы	1	5
15	художественного творчества	1	5
16	с другой	5	4
17	но и	9	4
18	что такое	7	4
19	в их	3	4
20	в россии	6	4
21	в этой	14	4
22	конечно не	1	4
23	вряд ли	1	3
24	и то	1	3
25	это не	7	3
26	было бы	7	3
27	как и	4	3
28	для этого	2	3
29	в частности	1	3
30	в своей	4	3
31	и т.д	1	3
32	очевидно что	1	3
33	к сожалению	2	3
34	этой области	2	3
35	в то	7	3
36	все же	4	3
37	но в	5	3
38	формы в	2	3
39	же время	3	3
40	в области	6	3
41	у нас	4	3
42	другой стороны	5	3
43	для него	3	3
44	не как	2	3
45	не о	1	3
46	что все	3	2
47	крайней мере	4	2
48	одним из	1	2
49	и с	4	2
50	до сих	2	2
51	а как	4	2
52	это было	8	2
53	самом деле	2	2
54	должна быть	1	2
55	в некоторых	3	2
56	мы не	2	2
57	о чем	1	2
58	является в	1	2
59	если бы	4	2
60	что мы	3	2
61	ничего не	4	2
62	не столько	2	2
63	если не	1	2
64	должна была	4	2
65	том что	15	2
66	мы и	1	2
67	этого термина	2	2
68	установку на	1	2
69	с его	3	2
70	но не	2	2
71	в сторону	1	2
72	не все	1	2
73	в его	12	2
74	по крайней	4	2
75	по существу	1	2
76	что и	1	2
77	по себе	1	2
78	конце концов	3	2
79	сих пор	2	2
80	но это	4	2
81	этом смысле	4	2
82	интереса к	1	2
83	в том	20	2
84	это уже	1	2
85	и для	4	2
86	что он	19	2
87	при таком	1	2
88	формы и	1	2
89	в самом	2	2
90	между тем	6	2
91	и у	2	2
92	только в	6	2
93	не в	6	2
94	для всех	1	2
95	все они	3	2
96	в системе	3	2
97	этом отношении	4	2
98	всех этих	3	2
99	могут быть	2	2
100	в конце	6	2
101	смысле этого	1	2
102	а о	1	2
103	же самое	1	2
104	не случайно	1	2
105	как раз	3	2
106	тем что	19	2
107	что она	1	2
108	таким образом	10	2
109	даже и	1	2
110	т.е в	1	2
111	для себя	1	1
112	и это	5	1
113	в последние	1	1
114	что такой	1	1
115	гораздо больше	1	1
116	об этом	5	1
117	поэзии и	1	1
118	то есть	2	1
119	в виду	2	1
120	сам по	1	1
121	значительной мере	1	1
122	или иначе	1	1
123	в период	1	1
124	только при	1	1
125	существует в	2	1
126	было и	1	1
127	в произведении	1	1
128	в пределах	1	1
129	и др	4	1
130	еще одно	1	1
131	свое место	1	1
132	что для	3	1
133	объясняется и	1	1
134	никогда не	2	1
135	так и	5	1
136	это много	1	1
137	одной стороны	3	1
138	той же	2	1
139	относится к	4	1
140	этого не	1	1
141	до конца	3	1
142	с тем	4	1
143	мы имеем	5	1
144	стихотворной речи	1	1
145	моцарт и	2	1
146	именно этот	1	1
147	стих как	1	1
148	дан в	1	1
149	он становится	1	1
150	в словах	3	1
151	должно быть	1	1
152	любопытно что	2	1
153	можно сказать	4	1
154	или менее	1	1
155	в г	12	1
156	произведения как	2	1
157	в порядке	1	1
158	тех кто	1	1
159	как на	6	1
160	приводит к	1	1
161	о том	8	1
162	такой характер	1	1
163	в ней	4	1
164	во мне	1	1
165	почти не	1	1
166	в котором	5	1
167	и что	3	1
168	он был	3	1
169	напр в	1	1
170	все его	1	1
171	быть в	1	1
172	из которых	4	1
173	в значительной	1	1
174	без труда	2	1
175	этой основной	1	1
176	было таков	1	1
177	пушкин и	3	1
178	в течение	4	1
179	в той	1	1
180	он может	2	1
