N	4gram	Tiupa_Anal_1	TeoriaLi
1	в то же время	6	6
2	присутствия я в мире	1	5
3	состоит в том что	3	3
4	одно и то же	1	2
5	не следует смешивать с	1	2
6	одного и того же	2	2
7	обращает на себя внимание	1	1
8	знанию такого рода обогащает	1	1
9	есть высшая форма целостности	1	1
10	мы имеем дело с	3	1
11	и наоборот созерцающий становится	1	1
12	в той мере в	2	1
13	личностного присутствия во внешнем	1	1
14	смена субъекта речи кто	1	1
15	содержание эстетической деятельности созерцания	1	1
16	мы имеем в виду	1	1
17	своих героях воображая что	1	1
18	специфически человеческий способ существования	1	1
19	незаместимое место в событии	1	1
20	личность как внутреннее единство	1	1
21	мира вокруг я героя	1	1
22	и неспецифичны собственно же	1	1
23	факультативные и более поверхностные	1	1
24	донна ставшие общеизвестными после	1	1
25	числе и трагическое есть	1	1
26	ядра личности а не	1	1
27	специфическая целостность феноменов человеческого	1	1
28	нераздельными его полюсами предмет	1	1
29	этого словами гегеля духовная	1	1
30	выступать и внутренняя целостность	1	1
31	мире и жизни однако	1	1
32	и способа высказывания смена	1	1
33	общее всем знакомее и	1	1
34	и что ж результат	1	1
35	и сосредоточенное в конечном	1	1
36	ни убавить ни изменить	1	1
37	того или иного рода	1	1
38	объектом только в присутствии	1	1
39	и прозрачнее чем это	1	1
40	художник вследствие этого словами	1	1
41	целостность феноменов человеческого бытия	1	1
42	очевидная граница между двумя	1	1
43	тем художественная реальность героя	1	1
44	но факультативные и более	1	1
45	эстетической деятельности созерцания направленной	1	1
46	дискурса состоит в том	1	1
47	к знанию такого рода	1	1
48	известную цельность как бы	1	1
49	ее художник вследствие этого	1	1
50	чего бы то ни	1	1
51	человеческое я есть точка	1	1
52	ему люди но иностранцы	1	1
53	есть точка пересечения трех	1	1
54	сказать не спрашивай о	1	1
55	ценностное уплотнение воображаемого мира	1	1
56	оно универсальнее вы говорите	1	1
57	тайна внутреннего я ядра	1	1
58	художественное знание по мысли	1	1
59	свое незаместимое место в	1	1
60	чем произведение оригинальнее тем	1	1
61	наш духовный опыт внутреннего	1	1
62	хемингуэя фиеста можно сказать	1	1
63	счете искусство в том	1	1
64	всем любая личность является	1	1
65	гегеля духовная ценность которой	1	1
66	собственному я самоопределение к	1	1
67	своей полноте и неизбыточности	1	1
68	одна вымышленная условная индивидуальность	1	1
69	отдельные слова не разложимое	1	1
70	ее никто не решает	1	1
71	можно сказать не спрашивай	1	1
72	входят в состав художественного	1	1
73	эстетического созерцания может выступать	1	1
74	личности к своему собственному	1	1
75	внутреннее единство духовного я	1	1
76	люди но иностранцы узнают	1	1
77	внутренняя целостность не только	1	1
78	более поверхностные психологические социальные	1	1
79	той мере в какой	2	1
80	я героя как ценностного	1	1
81	не ее оболочек психологии	1	1
82	единством субъекта и способа	1	1
83	это возможно в обыденной	1	1
84	некое событие индивидуальный характер	1	1
85	в том и состоит	1	1
86	оригинальнее тем оно универсальнее	1	1
87	оказывается эстетическим объектом только	1	1
88	не спрашивай о ком	1	1
89	как внутреннее единство духовного	1	1
90	логический объект логический субъект	1	1
91	является специфическая целостность феноменов	1	1
92	субъекта и способа высказывания	1	1
93	становится эстетическим субъектом только	1	1
94	по всеохватывающей своей широте	1	1
95	и более поверхностные психологические	1	1
96	узкое и сосредоточенное в	1	1
97	родственно всем любая личность	1	1
98	внешнюю полноту и неизбыточность	1	1
99	явлений между тем объектом	1	1
100	и не наступает вместо	1	1
101	дж донна ставшие общеизвестными	1	1
102	пастернака доверенной его романному	1	1
103	перед лицом эстетического объекта	1	1
104	в художественном произведении чище	1	1
105	могущие иметь место в	1	1
106	страхову что достоевский описывал	1	1
107	внешнем мире и составляет	1	1
108	в виду не только	1	1
109	ж результат тот что	1	1
110	текста наиболее очевидная граница	1	1
111	такого рода обогащает наш	1	1
112	которой обладают некое событие	1	1
113	в том случае если	1	1
114	прозрачнее чем это возможно	1	1
115	тот что даже в	1	1
116	если логический объект логический	1	1
117	ценность которой обладают некое	1	1
118	необязательны и неспецифичны собственно	1	1
119	высказывания смена субъекта речи	1	1
120	я другого межличностная данность	1	1
121	принципе недоступна между тем	1	1
122	же время они существенно	1	1
123	творческого акта в отличие	1	1
124	граница между двумя соседними	1	1
125	мыслиться раздельно и сочетаться	1	1
126	утверждение о жизни по	1	1
127	являются неслиянными и нераздельными	1	1
128	бы то ни было	3	1
129	объектом эстетического созерцания может	1	1
130	способны запечатлевать самые разнообразные	1	1
131	с этой точки зрения	1	1
132	присутствия во внешнем мире	1	1
133	могут мыслиться раздельно и	1	1
134	может выступать и внутренняя	1	1
135	воображая что все люди	1	1
136	недоступна между тем художественная	1	1
137	такого знания является специфическая	1	1
138	личности более того личность	1	1
139	зачерпнуть тем общее всем	1	1
140	и неизбыточность явлений между	1	1
141	только перед лицом эстетического	1	1
142	свою душу чем глубже	1	1
143	субъекта объекта и адресата	1	1
144	в том что он	2	1
145	однако все они для	1	1
146	духовного я есть высшая	1	1
147	ему известную цельность как	1	1
148	созерцания направленной на произведение	1	1
149	но в то же	2	1
150	раздельно и сочетаться подобно	1	1
151	тем общее всем знакомее	1	1
152	место в событии художественного	1	1
153	целостность не только целостность	1	1
154	своей широте на отдельные	1	1
155	соседними сегментами субъектной организации	1	1
156	феноменов человеческого бытия я-в-мире	1	1
157	неслиянными и нераздельными его	1	1
158	дневниковая запись документ но	1	1
159	произведении чище и прозрачнее	1	1
160	ними могут мыслиться раздельно	1	1
161	психологии характера социального поведения	1	1
162	трех фундаментальных отношений личности	1	1
163	по преимуществу внешнюю полноту	1	1
164	я уникально и одновременно	1	1
165	во внешнем мире и	1	1
166	в различных речевых жанрах	1	1
167	всеохватывающей своей широте на	1	1
168	описывал себя в своих	1	1
169	из нас самих состоят	1	1
170	отношение между ними могут	1	1
171	отношения являются неслиянными и	1	1
172	лицах не только мы	1	1
173	вещи но и души	1	1
174	и внутренняя целостность не	1	1
175	пересечения трех фундаментальных отношений	1	1
176	мы родственные ему люди	1	1
177	сосредоточенное в конечном счете	1	1
178	убавить ни изменить ничего	1	1
179	опыт внутреннего личностного присутствия	1	1
180	ничего нельзя не сделав	1	1
181	то или иное логическое	1	1
182	широте на отдельные слова	1	1
183	в принципе недоступна между	1	1
184	героях воображая что все	1	1
185	между тем объектом эстетического	1	1
186	письмо дневниковая запись документ	1	1
187	прочие обобщения могущие иметь	1	1
188	еще одна вымышленная условная	1	1
189	случае мы имеем дело	1	1
190	этих исключительных лицах не	1	1
191	время узкое и сосредоточенное	1	1
192	исключительных лицах не только	1	1
193	эстетическим объектом только в	1	1
194	как письмо дневниковая запись	1	1
195	как содержание эстетической деятельности	1	1
196	виду не только такие	1	1
197	достоевский описывал себя в	1	1
198	конечном счете искусство в	1	1
199	тем оно универсальнее вы	1	1
200	подобно кубикам то субъект	1	1
201	в исходном значении этого	1	1
202	созерцающий становится эстетическим субъектом	1	1
203	способа высказывания смена субъекта	1	1
204	а в то же	2	1
