N	2gram	Berdyaev_O_1	Hudozhes
1	в мире	1	23
2	и не	13	16
3	не только	11	15
4	и в	19	15
5	в том	5	15
6	может быть	11	13
7	в частности	1	13
8	и его	4	12
9	а в	5	12
10	но не	1	11
11	в этом	12	11
12	в себе	3	11
13	представляет собой	1	10
14	как бы	3	10
15	так и	2	10
16	а не	11	10
17	но и	13	10
18	в его	7	9
19	в душе	2	8
20	но в	2	7
21	с его	4	6
22	отношение к	5	6
23	том что	2	6
24	не в	11	6
25	по своей	1	6
26	в ее	2	6
27	не может	4	6
28	что в	4	6
29	в самом	5	5
30	то что	5	5
31	художественного творчества	1	5
32	могут быть	3	5
33	того что	3	5
34	уже не	1	5
35	в нем	10	5
36	отношения к	1	4
37	и то	2	4
38	жизни как	1	4
39	еще не	3	4
40	как к	2	4
41	хотя и	2	4
42	сознания в	1	4
43	и как	1	4
44	он не	7	4
45	в другом	2	4
46	самим собой	1	4
47	в этих	3	4
48	в своей	2	4
49	в форме	1	4
50	для него	5	4
51	со стороны	1	4
52	прежде всего	9	4
53	как это	1	4
54	например в	1	4
55	особого рода	1	4
56	сказать что	2	4
57	речи и	1	4
58	и ее	3	3
59	в виду	1	3
60	и к	2	3
61	в которой	2	3
62	он должен	1	3
63	лишь в	7	3
64	его в	2	3
65	это не	3	3
66	как и	6	3
67	но он	7	3
68	в отношении	1	3
69	в русской	3	3
70	потому что	9	3
71	к его	1	3
72	если бы	1	3
73	и что	1	3
74	что он	3	3
75	к нему	3	3
76	человека с	1	3
77	не случайно	1	3
78	была бы	1	3
79	человека к	2	3
80	о чем	1	3
81	и для	2	3
82	личности и	2	3
83	и состоит	1	3
84	мире это	1	2
85	человека и	10	2
86	и это	1	2
87	между двумя	1	2
88	к другому	1	2
89	и больше	1	2
90	не вполне	1	2
91	и на	2	2
92	не все	2	2
93	человеческих отношений	4	2
94	в своем	2	2
95	все эти	4	2
96	в этой	5	2
97	с их	1	2
98	в силу	1	2
99	этом мире	2	2
100	ни был	1	2
101	по себе	2	2
102	в них	1	2
103	ведет к	1	2
104	и более	1	2
105	вовсе не	1	2
106	одна из	1	2
107	и о	2	2
108	того чтобы	4	2
109	и сам	1	2
110	о том	3	2
111	в глаза	1	2
112	во внутренней	1	2
113	а именно	1	2
114	говорит в	1	2
115	ни к	1	2
116	что сама	1	2
117	одно из	2	2
118	никто не	3	2
119	и прежде	1	2
120	в одном	1	2
121	у него	22	2
122	для того	3	2
123	чем и	1	2
124	а с	1	2
125	мира в	1	2
126	начиная с	1	2
127	и потому	2	2
128	как в	1	2
129	было и	1	2
130	жизни в	2	2
131	о его	5	2
132	с ним	3	2
133	отношении к	1	2
134	от всех	1	2
135	кто бы	1	1
136	также и	1	1
137	чтобы не	1	1
138	и через	1	1
139	и есть	3	1
140	то в	1	1
141	этого мира	2	1
142	чего не	1	1
143	в строгом	1	1
144	достоевского в	3	1
145	есть не	1	1
146	как против	1	1
147	в сущности	1	1
148	никогда не	9	1
149	быть осуществлено	1	1
150	момент в	2	1
151	собой в	1	1
152	людей в	1	1
153	в преступлении	4	1
154	во внешнем	1	1
155	проникновение в	1	1
156	иных случаях	1	1
157	ивана карамазова	7	1
158	себе и	1	1
159	что они	2	1
160	и я	1	1
161	в истории	2	1
162	отношение человека	1	1
163	в центре	1	1
164	человеческая личность	1	1
165	нему как	1	1
166	тем же	1	1
167	самом начале	1	1
168	силе и	1	1
169	от этого	1	1
170	при чтении	2	1
171	добро и	2	1
172	я верю	1	1
173	к чему	1	1
174	говорят о	1	1
175	из жизни	1	1
176	бы и	1	1
177	что это	1	1
178	что достоевский	2	1
179	за это	1	1
180	ее как	1	1
181	на то	1	1
182	что она	1	1
183	в мир	1	1
184	все это	6	1
185	ключ к	1	1
186	к одному	1	1
187	до которой	1	1
188	на земле	4	1
189	заключает в	1	1
190	что все	2	1
191	в совершенно	1	1
192	том случае	1	1
193	и трагического	1	1
194	не с	1	1
195	широк человек	1	1
196	это было	3	1
197	было бы	3	1
198	он ни	1	1
199	не совпадает	1	1
200	лишь на	1	1
201	в жизни	1	1
202	жизни человека	1	1
203	устремленного к	1	1
204	речь о	1	1
205	он и	1	1
206	в чистом	1	1
