N	4gram	Savitsky_E_1	Narrotol
1	в том числе и	1	4
2	бы то ни было	4	3
3	в то же время	14	3
4	в той или иной	3	2
5	дело в том что	1	1
6	и с точки зрения	1	1
7	одного и того же	1	1
8	в качестве одного из	1	1
9	поскольку речь идет о	1	1
10	и в то же	8	1
11	один и тот же	1	1
12	очевидно что в этом	1	1
13	с этой точки зрения	5	1
14	не кто иной как	1	1
15	может быть сведена к	1	1
16	той или иной степени	1	1
17	но само по себе	1	1
18	в качестве одной из	1	1
19	как же обстоит дело	1	1
20	совершенно очевидно что в	1	1
